14-144201,http://tshop.r10s.jp/aris/cabinet/kawashima/cla-7140d.jpg?fitin=700:700,1554.4000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,CLARKS Pre-Lube ユニバーサル ブレーキ ケーブルキット ブラック,,"7140　ユニバーサルブレーキケーブルキット（ロード用） 
ブラックがモデルチェンジ。 
ダートシールド（インナースリーブ）が追加されて 
ブレーキング操作時におけるケーブルの摩擦抵抗が 
大幅に軽減。 
従来品に比べよりスムーズなブレーキ操作が 
可能となりました。",CLARKS Pre-Lube ユニバーサル ブレーキ ケーブルキット ブラック：アリス・サイクル,トピークパールイズミオーストリッチキャットアイＯＧＫシマノTOPEAKPEARL IZUMI 自転車パーツSHIMANOCATEYECAT EYEOSTRICHCLARKS Pre-Lube ユニバーサル ブレーキ ケーブルキット ブラック,CLARKS Pre-Lube ユニバーサル ブレーキ ケーブルキット ブラック[rn]
14-144202,http://tshop.r10s.jp/aris/cabinet/kawashima/cla-8012.jpg?fitin=700:700,1295.2000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,CLARKS ステンレス ブレーキ ケーブルキット カラー ロード/MTB,,"●ケーブル長：2,000mm 
●カンパニョーロ、シマノ、ロード、ＭＴＢ互換 
●ステンレス ユニバーサルインナーケーブル、 
　 カラーアウター、インナースリーブ、 
　 各種ハードウェア（インナーキャップ、アウターカップ、 
　 Oリングなど） 
●カラー：ホワイト、レッド、ブルー",CLARKS ステンレス ブレーキ ケーブルキット カラー ロード/MTB：アリス・サイクル,トピークパールイズミオーストリッチキャットアイＯＧＫシマノTOPEAKPEARL IZUMI 自転車パーツSHIMANOCATEYECAT EYEOSTRICHCLARKS ステンレス ブレーキ ケーブルキット カラー ロード/MTB,CLARKS ステンレス ブレーキ ケーブルキット カラー ロード/MTB[rn]
14-144203,http://tshop.r10s.jp/aris/cabinet/kawashima/cla-7138d.jpg?fitin=700:700,1554.4000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,CLARKS Pre-Lube ユニバーサル ブレーキ ケーブルキット シルバー,,"7138　ユニバーサルブレーキケーブルキット（ロード用）シルバーがモデルチェンジ。
ダートシールド（インナースリーブ）が追加されてブレーキング操作時におけるケーブルの摩擦抵抗が大幅に軽減。
従来品に比べよりスムーズなブレーキ操作が可能となりました。",CLARKS Pre-Lube ユニバーサル ブレーキ ケーブルキット シルバー：アリス・サイクル,トピークパールイズミオーストリッチキャットアイＯＧＫシマノTOPEAKPEARL IZUMI 自転車パーツSHIMANOCATEYECAT EYEOSTRICHCLARKS Pre-Lube ユニバーサル ブレーキ ケーブルキット シルバー,CLARKS Pre-Lube ユニバーサル ブレーキ ケーブルキット シルバー[rn]
14-144204,http://tshop.r10s.jp/aris/cabinet/10marui/tioga/img59815779.jpg?fitin=700:700,1728.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,TIOGA CNC クイック レリーズセット 2点セット 100/135mm ブラック,タイオガ ハブアクセル CNC Quick Release Set (2 Piece Set),"スリムでシャープなラインのアルミ切削加工。
前後ホイール用クイック２点セット。
●フロント用、リア用、2点セット
●スチールシャフト
●対応エンド幅：100mm（フロント）、135mm（リア）
●重量：52g
●ブラック",TIOGA CNC クイック レリーズセット 2点セット 100/135mm ブラック：アリス・サイクル,トピークパールイズミオーストリッチキャットアイＯＧＫシマノTOPEAKPEARL IZUMI 自転車パーツSHIMANOCATEYECAT EYEOSTRICHTIOGA CNC クイック レリーズセット 2点セット 100/135mm ブラック,タイオガ ハブアクセル CNC Quick Release Set (2 Piece Set)。TIOGA CNC クイック レリーズセット 2点セット 100/135mm ブラック[rn]
14-144205,http://tshop.r10s.jp/auc-cycle-parts/cabinet/sdl/sdb-15-1.jpg?fitin=700:700,1904.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,ブリヂストン エクスプレスジュニア用サドル （ジュニアマウンテンバイク用サドル） BRIDGESTONE 1600457 Jr.MTB用サドル （注文番号：1600457）,,○ブリヂストン エクスプレスジュニア用の補修用サドルです。<br><br>●ポスト直付け<br>●シートポスト径：φ25.4<br>●シートポスト長さ：約190mm<br>,ブリヂストン エクスプレスジュニア用サドル （ジュニアマウンテンバイク用サドル） BRIDGESTONE 1600457 Jr.MTB用サドル （注文番号：1600457）：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランクブリヂストン エクスプレスジュニア用サドル （ジュニアマウンテンバイク用サドル） BRIDGESTONE 1600457 Jr.MTB用サドル （注文番号：1600457）,ブリヂストン エクスプレスジュニア用サドル （ジュニアマウンテンバイク用サドル） BRIDGESTONE 1600457 Jr.MTB用サドル （注文番号：1600457）[rn]
14-144206,http://tshop.r10s.jp/auc-cycle-parts/cabinet/img11/bcb-d-v22-83-11.jpg?fitin=700:700,3420.8000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,（DIA-COMPE/ダイアコンペ)  （自転車用ブレーキ）505 リア用ピストブレーキセット　サンエスオリジナルBK,,<br>●SL・BK&GD・BK<br>●シングルピポットブレーキ・ピスト用ブレーキレバー(右)・ブレーキ取り付けプレート（2枚)・ブレーキワイヤー(後用)・ブレーキアウターバンド(2ヶ)<br>■505Qキャリパーを採用したピストフレームに取り付けられるリアブレーキセット。<br>※オリジナルBKにはブレーキレバーは付属しておりません。<br><br>,（DIA-COMPE/ダイアコンペ)  （自転車用ブレーキ）505 リア用ピストブレーキセット　サンエスオリジナルBK：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランク（DIA-COMPE/ダイアコンペ)  （自転車用ブレーキ）505 リア用ピストブレーキセット　サンエスオリジナルBK,（DIA-COMPE/ダイアコンペ)  （自転車用ブレーキ）505 リア用ピストブレーキセット　サンエスオリジナルBK[rn]
14-144207,http://tshop.r10s.jp/auc-cycle-parts/cabinet/img18/bbw-1603-94.jpg?fitin=700:700,320.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,（DIA-COMPE/ダイアコンペ)（自転車用ブレーキ）2001 チドリ シルバー,,●カンチブレーキやセンタープルブレーキに必須のブレーキチドリ。<br>●アルミ合金<br>●フリーポジションタイプ<br>●11g<br><br>商品のデザイン、仕様、外観、は予告なく変更する場合がありますのでご了承ください。,（DIA-COMPE/ダイアコンペ)（自転車用ブレーキ）2001 チドリ シルバー：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランク（DIA-COMPE/ダイアコンペ)（自転車用ブレーキ）2001 チドリ シルバー,（DIA-COMPE/ダイアコンペ)（自転車用ブレーキ）2001 チドリ シルバー[rn]
14-144208,http://tshop.r10s.jp/auc-cycle-parts/cabinet/img18/bbr-d-1603-119.jpg?fitin=700:700,1792.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,（DIA-COMPE/ダイアコンペ)（自転車用ブレーキレバー）DP-7プラス (左右セット),,●レバー比を変更できる2ポジションパワーコントロール付、Vブレーキ用ブレーキレバー。<br>●ブラケット:アルミ合金<br>●レバー:アルミ合金鍛造<br>●クランプ内径:22.2mm<br>●２ポジションパワーコントロール<br>●L：キャリパーブレーキ用<br>●H：Vブレーキ用<br>●180g/ペア<br><br>商品のデザイン、仕様、外観、は予告なく変更する場合がありますのでご了承ください。,（DIA-COMPE/ダイアコンペ)（自転車用ブレーキレバー）DP-7プラス (左右セット)：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランク（DIA-COMPE/ダイアコンペ)（自転車用ブレーキレバー）DP-7プラス (左右セット),（DIA-COMPE/ダイアコンペ)（自転車用ブレーキレバー）DP-7プラス (左右セット)[rn]
14-144209,http://tshop.r10s.jp/auc-cycle-parts/cabinet/img21/bcb-1702-249.jpg?fitin=700:700,9928.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,(SHIMANO/シマノ)(ディスクブレーキ)DURAACE(デュラエース) BR-R9170 フロント用 レジンパッド（L02A）フィン付 フラットマウント,,"<table width=""100%"" border=""0"" cellspacing=""5"" cellpadding=""5"">  <tr>    <td align=""center""><img src=""http://image.rakuten.co.jp/auc-cycle-parts/cabinet/img21/bcb-1702-249.jpg""></td>  </tr></table><br><br><table width=""100%"" border=""1"" cellspacing=""0"" cellpadding=""5"">  <tr>    <td width=""30%"" bgcolor=""#CCCCCC"">商品概要</td>    <td width=""70%"">レースシーンでも抜群のコントロール性と信頼性を発揮<BR>理想的かつバランスに優れたハイドローリック・ブレーキシスム<BR>さらに進化した放熱性能：アイステクノロジー FREEZA<BR>シンプルな取付けとメンテナンス<BR>ホイール脱着も簡単：ワイドなパッドクリアランス<BR>簡単、クリーンなブリーディング：ワンウェイ・ブリーディング<BR>ロープロファイルデザイン：シマノ・フラットマウントシステム<BR><BR>モデルNo：BRR9170<BR>ブレーキタイプ：ハイドローリックディスクブレーキ<BR>仕様/ホース：フロント用/SM-BH90-SS<BR>マウントタイプ：フラットマウント<BR>パッド材質：レジン、フィン付き（L02A-R）<BR>付属/φ140/160mmローター用　マウントブラケット</td>  </tr>  <tr>    <td width=""30%"" bgcolor=""#CCCCCC"">使用箇所・用途</td>    <td width=""70%"">ロードバイク用ブレーキ</td>  </tr>  <tr>    <td width=""30%"" bgcolor=""#CCCCCC"">メーカー</td>    <td width=""70%"">SHIMANO/シマノ</td>  </tr></table><br><br>※商品のデザイン、仕様、外観、は予告なく変更する場合がありますのでご了承ください。",(SHIMANO/シマノ)(ディスクブレーキ)DURAACE(デュラエース) BR-R9170 フロント用 レジンパッド（L02A）フィン付 フラットマウント：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランク(SHIMANO/シマノ)(ディスクブレーキ)DURAACE(デュラエース) BR-R9170 フロント用 レジンパッド（L02A）フィン付 フラットマウント,(SHIMANO/シマノ)(ディスクブレーキ)DURAACE(デュラエース) BR-R9170 フロント用 レジンパッド（L02A）フィン付 フラットマウント[rn]
14-144210,http://tshop.r10s.jp/auc-cycle-parts/cabinet/img08/nowprint.gif?fitin=700:700,6100.8000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,（HAYES/ヘイズ)（自転車用ブレーキ関連）Ace Complete Caliper Assembly Kit Black,,<br><br>※商品のデザイン、仕様、外観、は予告なく変更する場合がありますのでご了承ください。,（HAYES/ヘイズ)（自転車用ブレーキ関連）Ace Complete Caliper Assembly Kit Black：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランク（HAYES/ヘイズ)（自転車用ブレーキ関連）Ace Complete Caliper Assembly Kit Black,（HAYES/ヘイズ)（自転車用ブレーキ関連）Ace Complete Caliper Assembly Kit Black[rn]
14-144211,http://tshop.r10s.jp/auc-cycle-parts/cabinet/img10/bcb-1606-1130.jpg?fitin=700:700,4160.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,（HAYES/ヘイズ)（自転車用ブレーキ関連）MX-5 Black PostMount V-Series 160mmRotor,,■インナーパッド位置調整式<br>■キャリパー:1ピストン<br>■パッド:セミメタル<br>■L6ローター付属<br>■Vブレーキ用ブレーキレバー対応<br>■フロンドリア兼用<br><br>※商品のデザイン、仕様、外観、は予告なく変更する場合がありますのでご了承ください。,（HAYES/ヘイズ)（自転車用ブレーキ関連）MX-5 Black PostMount V-Series 160mmRotor：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランク（HAYES/ヘイズ)（自転車用ブレーキ関連）MX-5 Black PostMount V-Series 160mmRotor,（HAYES/ヘイズ)（自転車用ブレーキ関連）MX-5 Black PostMount V-Series 160mmRotor[rn]
