15-2301,http://tshop.r10s.jp/gold/oyaizu/img/cat-nenga/lp-nenga/700x700_miyabi.jpg?fitin=700:700,824.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,【年賀】◇「雅の茶」80g◇カテキン 静岡茶 日本茶 緑茶 深蒸し茶 スーパー緑茶 年賀 久能山 献上 tea,★久能山東照宮献上茶★,"<img src=""http://www.rakuten.ne.jp/gold/oyaizu/img/cat-nenga/lp-nenga/miyabi_img01.jpg"" width=""100%"" alt=""アイコン"">
<img src=""http://www.rakuten.ne.jp/gold/oyaizu/img/cat-nenga/lp-nenga/miyabi_img02.jpg"" width=""100%"" alt=""当店人気NO1"">
<img src=""http://www.rakuten.ne.jp/gold/oyaizu/img/cat-nenga/lp-nenga/miyabi_img03.jpg"" width=""100%"" alt=""説明1"">
<img src=""http://www.rakuten.ne.jp/gold/oyaizu/img/cat-nenga/lp-nenga/miyabi_img04.jpg"" width=""100%"" alt=""説明2"">
<img src=""http://www.rakuten.ne.jp/gold/oyaizu/img/cat-nenga/lp-nenga/miyabi_img05.jpg"" width=""100%"" alt=""包装"">
<img alt=""配送ご注意"" src=""http://www.rakuten.ne.jp/gold/oyaizu/site_buhin/kategori/580x200_nenmatuhaisou.jpg"" width=""100%"">
<br>
■名称：　煎茶<br>
■内容量：　80g<br>
■原材料：　緑茶（静岡県産）<br>
■保存方法：　高温多湿を避け、移り香にご注意ください。<br>
■賞味期限：　パッケージに記載（加工日より1年）<br>
■製造者：　株式会社小柳津清一商店　静岡県静岡市駿河区向敷地1198-1",【年賀】◇「雅の茶」80g◇カテキン 静岡茶 日本茶 緑茶 深蒸し茶 スーパー緑茶 年賀 久能山 献上 tea：雅正庵byおやいづ製茶　楽天市場店,お茶屋抹茶お茶バームクーヘンクリーム大福ギフト贈り物雅正庵スイーツ深蒸し茶バウムクーヘン緑茶静岡母の日父の日【年賀】◇「雅の茶」80g◇カテキン 静岡茶 日本茶 緑茶 深蒸し茶 スーパー緑茶 年賀 久能山 献上 tea,★久能山東照宮献上茶★。【年賀】◇「雅の茶」80g◇カテキン 静岡茶 日本茶 緑茶 深蒸し茶 スーパー緑茶 年賀 久能山 献上 tea[rn]
15-2302,http://tshop.r10s.jp/oyaizu/cabinet/04490019/imgrc0073501154.jpg?fitin=700:700,240.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,日本のお茶ティーバッグシリーズ 深むし煎茶ティーバッグ（2g×10袋）,　,おやいず製茶・雅正庵のオリジナル【日本のお茶ティーバッグシリーズ】ができました。<br>「深むし煎茶ティーバッグ」は、渋みが少なく、濃厚で深みのある旨みが楽しめる深むし煎茶を使用しました。<br>茶処・静岡の老舗製茶問屋が自信を持ってお届けするティーバッグは、手軽・簡単・便利なのはもちろんのこと、妥協のないお茶の味。<br>シンプルなスタンドパックは使い勝手が良く、同じシリーズをいくつも並べたくなる飽きの来ないパッケージです。<br>オフィスでのリラックスタイムに、またちょっとした感謝の気持ちをあらわすプチギフトとしても活躍します。<br><br>・各2g×10袋入<br><br><br>----------------------------------------------------<br>■おいしい淹れ方…<br><br>【茶葉の量】1ティーバッグ<br>【お湯の量】150ml<br>【浸出時間】1分<br>※浸出時間はお好みで調節してください。<br>※ティーバッグ は静かに取り出してからお召し上がりください。,日本のお茶ティーバッグシリーズ 深むし煎茶ティーバッグ（2g&times;10袋）：雅正庵byおやいづ製茶　楽天市場店,お茶屋抹茶お茶バームクーヘンクリーム大福ギフト贈り物雅正庵スイーツ深蒸し茶バウムクーヘン緑茶静岡母の日父の日日本のお茶ティーバッグシリーズ 深むし煎茶ティーバッグ（2g&times;10袋）,　。日本のお茶ティーバッグシリーズ 深むし煎茶ティーバッグ（2g&times;10袋）[rn]
15-2303,http://tshop.r10s.jp/oyaizu/cabinet/04490019/imgrc0073501154.jpg?fitin=700:700,240.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,日本のお茶ティーバッグシリーズ 深むし煎茶ティーバッグ（2g×10袋）,　,おやいず製茶・雅正庵のオリジナル【日本のお茶ティーバッグシリーズ】ができました。<br>「深むし煎茶ティーバッグ」は、渋みが少なく、濃厚で深みのある旨みが楽しめる深むし煎茶を使用しました。<br>茶処・静岡の老舗製茶問屋が自信を持ってお届けするティーバッグは、手軽・簡単・便利なのはもちろんのこと、妥協のないお茶の味。<br>シンプルなスタンドパックは使い勝手が良く、同じシリーズをいくつも並べたくなる飽きの来ないパッケージです。<br>オフィスでのリラックスタイムに、またちょっとした感謝の気持ちをあらわすプチギフトとしても活躍します。<br><br>・各2g×10袋入<br><br><br>----------------------------------------------------<br>■おいしい淹れ方…<br><br>【茶葉の量】1ティーバッグ<br>【お湯の量】150ml<br>【浸出時間】1分<br>※浸出時間はお好みで調節してください。<br>※ティーバッグ は静かに取り出してからお召し上がりください。,日本のお茶ティーバッグシリーズ 深むし煎茶ティーバッグ（2g&times;10袋）：雅正庵byおやいづ製茶　楽天市場店,お茶屋抹茶お茶バームクーヘンクリーム大福ギフト贈り物雅正庵スイーツ深蒸し茶バウムクーヘン緑茶静岡母の日父の日日本のお茶ティーバッグシリーズ 深むし煎茶ティーバッグ（2g&times;10袋）,　。日本のお茶ティーバッグシリーズ 深むし煎茶ティーバッグ（2g&times;10袋）[rn]
15-2304,http://tshop.r10s.jp/oyaizu/cabinet/04488525/imgrc0073477881.jpg?fitin=700:700,624.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,抹茶　翠の雫（30g）,　,小柳津の抹茶は選りすぐりの碾茶をていねいに石臼で挽いた逸品です。<br>上品な抹茶の風味は、他のお茶に混ぜてもお料理やお菓子作りなどにも最適です。[30ｇ入],抹茶　翠の雫（30g）：雅正庵byおやいづ製茶　楽天市場店,お茶屋抹茶お茶バームクーヘンクリーム大福ギフト贈り物雅正庵スイーツ深蒸し茶バウムクーヘン緑茶静岡母の日父の日抹茶　翠の雫（30g）,　。抹茶　翠の雫（30g）[rn]
15-2305,http://tshop.r10s.jp/oyaizu/cabinet/04487249/imgrc0073452773.jpg?fitin=700:700,248.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,くき茶　高草,　,煎茶や玉露などの製造時に出るくきを集めたお茶。<br>すっきりとした味わいでありながら、くき茶の持つ独特のコクと、甘みのある味わいをお楽しみいただけます。[100g入],くき茶　高草：雅正庵byおやいづ製茶　楽天市場店,お茶屋抹茶お茶バームクーヘンクリーム大福ギフト贈り物雅正庵スイーツ深蒸し茶バウムクーヘン緑茶静岡母の日父の日くき茶　高草,　。くき茶　高草[rn]
15-2306,http://tshop.r10s.jp/oyaizu/cabinet/04487249/imgrc0073452773.jpg?fitin=700:700,824.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,玉露　静の誉,　,覆いを被せてじっくり育てた、独特の風味。<br>甘くまろやかな味わいと、深い香りが上品。[100g入],玉露　静の誉：雅正庵byおやいづ製茶　楽天市場店,お茶屋抹茶お茶バームクーヘンクリーム大福ギフト贈り物雅正庵スイーツ深蒸し茶バウムクーヘン緑茶静岡母の日父の日玉露　静の誉,　。玉露　静の誉[rn]
15-2307,http://tshop.r10s.jp/oyaizu/cabinet/04490018/imgrc0073501113.jpg?fitin=700:700,352.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,静岡本山茶 らくっとTEA（30g入）,　,"<img src=""http://www.rakuten.ne.jp/gold/oyaizu/site_buhin/rino_item/noshi_dame_700x150.jpg"" alt=""熨斗対応できない"" width=""100%"">
<br><br>


お湯や水を注ぐだけで淹れられる、粉末タイプの静岡茶です。<br>  色鮮やかで爽やかな香りが広がります。<br>  ちょっと一息つきたい時に、いつものマイボトルに、家でも外でも手軽に便利に楽らくっとお茶しましょ。<br>  お茶の栄養成分をまるごといただける、ゴミが出ない…粉末茶の魅力は、簡単・エコ・ヘルシー・美味しい。<br>  また、お料理やお菓子のアクセント、お酒の割材など、使い方はアイデア次第！<br>  チャック式のスタンドパックで、保存もしっかり便利です。[30g]<br>  <br>  <br>  ----------------------------------------------------<br>  ■「らくっとTEA」の作り方…<br>  <br>  【HOT】<br>  お好きなカップにティースプーン半分(0.6g)の「らくっとTEA」を入れ、お湯(180ml)を注ぎスプーンでかき混ぜます。<br>  <br>  【COLD】<br>  マイボトルなどに水(350ml)と氷、ティースプーン1杯分(1.2g)の「らくっとTEA」を入れ、よく振ります。<br>",静岡本山茶 らくっとTEA（30g入）：雅正庵byおやいづ製茶　楽天市場店,お茶屋抹茶お茶バームクーヘンクリーム大福ギフト贈り物雅正庵スイーツ深蒸し茶バウムクーヘン緑茶静岡母の日父の日静岡本山茶 らくっとTEA（30g入）,　。静岡本山茶 らくっとTEA（30g入）[rn]
15-2308,http://tshop.r10s.jp/oyaizu/cabinet/04487249/imgrc0073452773.jpg?fitin=700:700,248.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,芽茶　高草,　,新芽の小さな部分だけを集めたお茶。<br>渋みのある濃いお茶をお楽しみください。[100g入],芽茶　高草：雅正庵byおやいづ製茶　楽天市場店,お茶屋抹茶お茶バームクーヘンクリーム大福ギフト贈り物雅正庵スイーツ深蒸し茶バウムクーヘン緑茶静岡母の日父の日芽茶　高草,　。芽茶　高草[rn]
15-2309,http://tshop.r10s.jp/gold/oyaizu/img/cat-tea/700x700_daitb-h.jpg?fitin=700:700,600.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,【50%off大セール】業務用大容量パック 焙じ茶ティーバッグ（10g×50個） 緑茶 お茶 安い お得 大量 TB 簡単,★1L約7.5円で作れます！！★,"<img src=""http://www.rakuten.ne.jp/gold/oyaizu/img/cat-tea/700x700_daitb-h.jpg"" alt=""ほうじ茶"">
お得な大容量パックができました。<br>温冷両用タイプで、業務用やお茶をたくさん飲むご家庭に便利です。<br><br>

【作り方】
ティーバッグを1個ポットなどに入れて1リットルのお湯を注いでください。
<br>
大きな急須でしたら、約2回分は美味しくご使用になれます。
<br><br>

【冷茶の作り方】
1リットルの水に1個を入れて一晩冷蔵庫にいれてください。
<br>
翌朝には水出しのお茶ができてます！<br><br>


■名称：　ほうじ茶（ティーバッグ）<br>
■内容量：　500g（10g×50個）<br>
■原材料：　緑茶（国産）<br>
■保存方法：　高温多湿を避け、移り香に注意してください。<br>
■賞味期限：　枠外下部記載<br>
■製造者：　株式会社小柳津清一商店　静岡県静岡市駿河区向敷地1198-1",【50%off大セール】業務用大容量パック 焙じ茶ティーバッグ（10g&times;50個） 緑茶 お茶 安い お得 大量 TB 簡単：雅正庵byおやいづ製茶　楽天市場店,お茶屋抹茶お茶バームクーヘンクリーム大福ギフト贈り物雅正庵スイーツ深蒸し茶バウムクーヘン緑茶静岡母の日父の日【50%off大セール】業務用大容量パック 焙じ茶ティーバッグ（10g&times;50個） 緑茶 お茶 安い お得 大量 TB 簡単,★1L約7.5円で作れます！！★。【50%off大セール】業務用大容量パック 焙じ茶ティーバッグ（10g&times;50個） 緑茶 お茶 安い お得 大量 TB 簡単[rn]
15-2310,http://tshop.r10s.jp/oyaizu/cabinet/04490019/imgrc0073501158.jpg?fitin=700:700,240.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,日本のお茶ティーバッグシリーズ 玄米茶ティーバッグ（2g×10袋）,　,おやいず製茶・雅正庵のオリジナル【日本のお茶ティーバッグシリーズ】ができました。<br>「玄米茶ティーバッグ」は、香ばしく香る玄米と、濃厚な味わいの深むし煎茶をブレンドしました。<br>茶処・静岡の老舗製茶問屋が自信を持ってお届けするティーバッグは、手軽・簡単・便利なのはもちろんのこと、妥協のないお茶の味。<br>シンプルなスタンドパックは使い勝手が良く、同じシリーズをいくつも並べたくなる飽きの来ないパッケージです。<br>オフィスでのリラックスタイムに、またちょっとした感謝の気持ちをあらわすプチギフトとしても活躍します。<br><br>・各2g×10袋入<br><br><br>----------------------------------------------------<br>■おいしい淹れ方…<br><br>【茶葉の量】1ティーバッグ<br>【お湯の量】150ml<br>【浸出時間】1分<br>※浸出時間はお好みで調節してください。<br>※ティーバッグ は静かに取り出してからお召し上がりください。,日本のお茶ティーバッグシリーズ 玄米茶ティーバッグ（2g&times;10袋）：雅正庵byおやいづ製茶　楽天市場店,お茶屋抹茶お茶バームクーヘンクリーム大福ギフト贈り物雅正庵スイーツ深蒸し茶バウムクーヘン緑茶静岡母の日父の日日本のお茶ティーバッグシリーズ 玄米茶ティーバッグ（2g&times;10袋）,　。日本のお茶ティーバッグシリーズ 玄米茶ティーバッグ（2g&times;10袋）[rn]
15-2311,http://tshop.r10s.jp/oyaizu/cabinet/04488526/imgrc0073477897.jpg?fitin=700:700,248.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,ほうじ茶　高草,　,番茶やくき茶を強火で焙ってつくり、独特の香ばしさが特長のお茶。<br>さっぱりとした風味でお子さまにも安心です。[100g入],ほうじ茶　高草：雅正庵byおやいづ製茶　楽天市場店,お茶屋抹茶お茶バームクーヘンクリーム大福ギフト贈り物雅正庵スイーツ深蒸し茶バウムクーヘン緑茶静岡母の日父の日ほうじ茶　高草,　。ほうじ茶　高草[rn]
