15-58501,http://tshop.r10s.jp/webike-rb/cabinet/img2186/1349821_0.jpg?fitin=700:700,143816.0000,,車用品・バイク用品 > バイク用品 > マフラー > その他,【イベント開催中！】 r’s gear アールズギア フルエキゾーストマフラー ソニック ツインタイプマフラー カラー：真円ドラッグブルー CB1300SF,フルエキゾーストマフラー ソニック ツインタイプマフラー,カラー：真円カーボンはこちら<br />カラー：真円チタンはこちら<br /><br />※リンク先に商品がない場合、すでに完売している商品となります。予めご了承ください。<br /><br />■商品番号<br>SH04-02DB<br><br>■JANコード<br>4582329783247<br><br>■商品概要<br>重量：7.3kg (STD：20.5kg)<br>車検対応<br>-02モデルCB1300SF (キャブ車)に取付可能<br>集合方式：4-2-1-2<br>【オイル交換：○】<br>【オイルフィルター交換：○】<br>【センタースタンド：○】<br><br>カラー：真円ドラッグブルー<br><br>KITACO製マフラーガスケットの購入はこちら<br><br>■適合車種<br>▼HONDA<br>CB1300SF -02  (SC40)<br><br>■注意点<br>※画像はワイバンシングルタイプ／カラー：真円カーボンのものです。<br>※測定データは気温・測定方法等によって差異が生じることがあります。,【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ソニック ツインタイプマフラー カラー：真円ドラッグブルー CB1300SF：ウェビック　楽天市場店,バイクカスタム改造ドレスアップヘルメットマフラーカウルオートバイ二輪車大型バイク中型バイクバイク用品パーツミラーツーリングジャケットタイヤ原付サーキットオフロード【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ソニック ツインタイプマフラー カラー：真円ドラッグブルー CB1300SF,フルエキゾーストマフラー ソニック ツインタイプマフラー。【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ソニック ツインタイプマフラー カラー：真円ドラッグブルー CB1300SF[rn]
15-58502,http://tshop.r10s.jp/webike-rb/cabinet/img2186/134984747.jpg?fitin=700:700,135904.8000,,車用品・バイク用品 > バイク用品 > マフラー > その他,【イベント開催中！】 r’s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：真円チタン CB1000SF BIG1 (SC30),フルエキゾーストマフラー ワイバン シングルタイプマフラー,カラー：真円カーボンはこちら<br />カラー：真円ドラッグブルーはこちら<br />カラー：オーバルチタンはこちら<br />カラー：オーバルドラッグブルーはこちら<br /><br />※リンク先に商品がない場合、すでに完売している商品となります。予めご了承ください。<br /><br />■商品番号<br>WH05-01TI<br><br>■JANコード<br>4582329780321<br><br>■商品概要<br>重量：3.5kg (STD：13.4kg)<br>最高出力 (シングル)：102.5ps (STD：92.7ps)<br>最大トルク (シングル)：9.7kg-m (STD：8.9kg-m)<br>車検対応<br>集合方式：4-2-1<br>【オイル交換：○】<br>【オイルフィルター交換：○】<br>【センタースタンド：○】<br><br>カラー：真円チタン<br><br>KITACO製マフラーガスケットの購入はこちら<br><br>■適合車種<br>▼HONDA<br>CB1000SF BIG1 (SC30) <br><br>■注意点<br>※画像はイメージです。画像はカラー：真円カーボンのものです。<br>※測定データは気温・測定方法等によって差異が生じることがあります。,【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：真円チタン CB1000SF BIG1 (SC30)：ウェビック　楽天市場店,バイクカスタム改造ドレスアップヘルメットマフラーカウルオートバイ二輪車大型バイク中型バイクバイク用品パーツミラーツーリングジャケットタイヤ原付サーキットオフロード【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：真円チタン CB1000SF BIG1 (SC30),フルエキゾーストマフラー ワイバン シングルタイプマフラー。【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：真円チタン CB1000SF BIG1 (SC30)[rn]
15-58503,http://tshop.r10s.jp/webike-rb/cabinet/img2186/134984848.jpg?fitin=700:700,164263.2000,,車用品・バイク用品 > バイク用品 > マフラー > その他,【イベント開催中！】 r’s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：真円ドラッグブルー CB1000SF BIG1 (SC30),フルエキゾーストマフラー ワイバン シングルタイプマフラー,カラー：真円カーボンはこちら<br />カラー：真円チタンはこちら<br />カラー：オーバルチタンはこちら<br />カラー：オーバルドラッグブルーはこちら<br /><br />※リンク先に商品がない場合、すでに完売している商品となります。予めご了承ください。<br /><br />■商品番号<br>WH05-01DB<br><br>■JANコード<br>4582329780338<br><br>■商品概要<br>重量：3.5kg (STD：13.4kg)<br>最高出力 (シングル)：102.5ps (STD：92.7ps)<br>最大トルク (シングル)：9.7kg-m (STD：8.9kg-m)<br>車検対応<br>集合方式：4-2-1<br>【オイル交換：○】<br>【オイルフィルター交換：○】<br>【センタースタンド：○】<br><br>カラー：真円ドラッグブルー<br><br>KITACO製マフラーガスケットの購入はこちら<br><br>■適合車種<br>▼HONDA<br>CB1000SF BIG1 (SC30) <br><br>■注意点<br>※画像はイメージです。画像はカラー：真円カーボンのものです。<br>※測定データは気温・測定方法等によって差異が生じることがあります。,【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：真円ドラッグブルー CB1000SF BIG1 (SC30)：ウェビック　楽天市場店,バイクカスタム改造ドレスアップヘルメットマフラーカウルオートバイ二輪車大型バイク中型バイクバイク用品パーツミラーツーリングジャケットタイヤ原付サーキットオフロード【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：真円ドラッグブルー CB1000SF BIG1 (SC30),フルエキゾーストマフラー ワイバン シングルタイプマフラー。【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：真円ドラッグブルー CB1000SF BIG1 (SC30)[rn]
15-58504,http://tshop.r10s.jp/webike-rb/cabinet/img2186/134987171.jpg?fitin=700:700,139500.0000,,車用品・バイク用品 > バイク用品 > マフラー > その他,【イベント開催中！】 r’s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：オーバルチタン CB1000SF BIG1 (SC30),フルエキゾーストマフラー ワイバン シングルタイプマフラー,カラー：真円カーボンはこちら<br />カラー：真円チタンはこちら<br />カラー：真円ドラッグブルーはこちら<br />カラー：オーバルドラッグブルーはこちら<br /><br />※リンク先に商品がない場合、すでに完売している商品となります。予めご了承ください。<br /><br />■商品番号<br>WH05-01OT<br><br>■JANコード<br>4582329780345<br><br>■商品概要<br>重量：3.5kg (STD：13.4kg)<br>最高出力 (シングル)：102.5ps (STD：92.7ps)<br>最大トルク (シングル)：9.7kg-m (STD：8.9kg-m)<br>車検対応<br>集合方式：4-2-1<br>【オイル交換：○】<br>【オイルフィルター交換：○】<br>【センタースタンド：○】<br><br>カラー：オーバルチタン<br><br>KITACO製マフラーガスケットの購入はこちら<br><br>■適合車種<br>▼HONDA<br>CB1000SF BIG1 (SC30) <br><br>■注意点<br>※画像はイメージです。画像はカラー：真円カーボンのものです。<br>※測定データは気温・測定方法等によって差異が生じることがあります。,【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：オーバルチタン CB1000SF BIG1 (SC30)：ウェビック　楽天市場店,バイクカスタム改造ドレスアップヘルメットマフラーカウルオートバイ二輪車大型バイク中型バイクバイク用品パーツミラーツーリングジャケットタイヤ原付サーキットオフロード【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：オーバルチタン CB1000SF BIG1 (SC30),フルエキゾーストマフラー ワイバン シングルタイプマフラー。【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：オーバルチタン CB1000SF BIG1 (SC30)[rn]
15-58505,http://tshop.r10s.jp/webike-rb/cabinet/img2186/134987272.jpg?fitin=700:700,143096.0000,,車用品・バイク用品 > バイク用品 > マフラー > その他,【イベント開催中！】 r’s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：オーバルドラッグブルー CB1000SF BIG1 (SC30),フルエキゾーストマフラー ワイバン シングルタイプマフラー,カラー：真円カーボンはこちら<br />カラー：真円チタンはこちら<br />カラー：真円ドラッグブルーはこちら<br />カラー：オーバルチタンはこちら<br /><br />※リンク先に商品がない場合、すでに完売している商品となります。予めご了承ください。<br /><br />■商品番号<br>WH05-01OD<br><br>■JANコード<br>4582329780352<br><br>■商品概要<br>重量：3.5kg (STD：13.4kg)<br>最高出力 (シングル)：102.5ps (STD：92.7ps)<br>最大トルク (シングル)：9.7kg-m (STD：8.9kg-m)<br>車検対応<br>集合方式：4-2-1<br>【オイル交換：○】<br>【オイルフィルター交換：○】<br>【センタースタンド：○】<br><br>カラー：オーバルドラッグブルー<br><br>KITACO製マフラーガスケットの購入はこちら<br><br>■適合車種<br>▼HONDA<br>CB1000SF BIG1 (SC30) <br><br>■注意点<br>※画像はイメージです。画像はカラー：真円カーボンのものです。<br>※測定データは気温・測定方法等によって差異が生じることがあります。,【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：オーバルドラッグブルー CB1000SF BIG1 (SC30)：ウェビック　楽天市場店,バイクカスタム改造ドレスアップヘルメットマフラーカウルオートバイ二輪車大型バイク中型バイクバイク用品パーツミラーツーリングジャケットタイヤ原付サーキットオフロード【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：オーバルドラッグブルー CB1000SF BIG1 (SC30),フルエキゾーストマフラー ワイバン シングルタイプマフラー。【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：オーバルドラッグブルー CB1000SF BIG1 (SC30)[rn]
15-58506,http://tshop.r10s.jp/webike-rb/cabinet/img2186/191322929.jpg?fitin=700:700,181197.6000,,車用品・バイク用品 > バイク用品 > マフラー > その他,【イベント開催中！】 r’s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：真円チタン ZX-14 (ZXNC) 08,フルエキゾーストマフラー ワイバン シングルタイプマフラー,カラー：真円カーボンはこちら<br />カラー：オーバルチタンはこちら<br />カラー：真円ドラッグブルーはこちら<br />カラー：オーバルドラッグブルーはこちら<br /><br />※リンク先に商品がない場合、すでに完売している商品となります。予めご了承ください。<br /><br />■商品番号<br>WK12-01TI<br><br>■JANコード<br>4582329782813<br><br>■商品概要<br>重量：4.3kg (STD：16.7kg)<br>最高出力 (シングル)：163.7ps　 (STD：155.3ps)<br>最大トルク (シングル)：14.1kg-m　 (STD：13.6kg-m)<br>車検対応・JMCA認定品<br>08年モデルのZX-14のみに適合。<br>集合方式：4-2-1<br>排ガス検査成績表付属 (車検時に必要)<br>【オイル交換：○】<br>【オイルフィルター交換：○】<br>カウル・【アンダーカウル：○】<br><br>カラー：真円チタン<br><br>KITACO製マフラーガスケットの購入はこちら<br><br>■適合車種<br>▼KAWASAKI<br>ZX-14 (ZXNC) 08 <br><br>■詳細説明<br>車検証の備考欄に「19年排出ガス規制適合」の文言がある車両には適合しません。<br><br>■注意点<br>※画像はカラー：オーバルチタンのものです。<br>※測定データは気温・測定方法等によって差異が生じることがあります。,【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：真円チタン ZX-14 (ZXNC) 08：ウェビック　楽天市場店,バイクカスタム改造ドレスアップヘルメットマフラーカウルオートバイ二輪車大型バイク中型バイクバイク用品パーツミラーツーリングジャケットタイヤ原付サーキットオフロード【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：真円チタン ZX-14 (ZXNC) 08,フルエキゾーストマフラー ワイバン シングルタイプマフラー。【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：真円チタン ZX-14 (ZXNC) 08[rn]
15-58507,http://tshop.r10s.jp/webike-rb/cabinet/img2186/191323535.jpg?fitin=700:700,184584.8000,,車用品・バイク用品 > バイク用品 > マフラー > その他,【イベント開催中！】 r’s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：オーバルチタン ZX-14 (ZXNC) 08,フルエキゾーストマフラー ワイバン シングルタイプマフラー,カラー：真円カーボンはこちら<br />カラー：真円チタンはこちら<br />カラー：真円ドラッグブルーはこちら<br />カラー：オーバルドラッグブルーはこちら<br /><br />※リンク先に商品がない場合、すでに完売している商品となります。予めご了承ください。<br /><br />■商品番号<br>WK12-01OT<br><br>■JANコード<br>4582329782837<br><br>■商品概要<br>重量：4.3kg (STD：16.7kg)<br>最高出力 (シングル)：163.7ps　 (STD：155.3ps)<br>最大トルク (シングル)：14.1kg-m　 (STD：13.6kg-m)<br>車検対応・JMCA認定品<br>08年モデルのZX-14のみに適合。<br>集合方式：4-2-1<br>排ガス検査成績表付属 (車検時に必要)<br>【オイル交換：○】<br>【オイルフィルター交換：○】<br>カウル・【アンダーカウル：○】<br><br>カラー：オーバルチタン<br><br>KITACO製マフラーガスケットの購入はこちら<br><br>■適合車種<br>▼KAWASAKI<br>ZX-14 (ZXNC) 08 <br><br>■詳細説明<br>車検証の備考欄に「19年排出ガス規制適合」の文言がある車両には適合しません。<br><br>■注意点<br>※画像はカラー：オーバルチタンのものです。<br>※測定データは気温・測定方法等によって差異が生じることがあります。,【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：オーバルチタン ZX-14 (ZXNC) 08：ウェビック　楽天市場店,バイクカスタム改造ドレスアップヘルメットマフラーカウルオートバイ二輪車大型バイク中型バイクバイク用品パーツミラーツーリングジャケットタイヤ原付サーキットオフロード【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：オーバルチタン ZX-14 (ZXNC) 08,フルエキゾーストマフラー ワイバン シングルタイプマフラー。【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：オーバルチタン ZX-14 (ZXNC) 08[rn]
15-58508,http://tshop.r10s.jp/webike-rb/cabinet/img2186/191323636.jpg?fitin=700:700,185431.2000,,車用品・バイク用品 > バイク用品 > マフラー > その他,【イベント開催中！】 r’s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：真円ドラッグブルー ZX-14 (ZXNC) 08,フルエキゾーストマフラー ワイバン シングルタイプマフラー,カラー：真円カーボンはこちら<br />カラー：真円チタンはこちら<br />カラー：オーバルチタンはこちら<br />カラー：オーバルドラッグブルーはこちら<br /><br />※リンク先に商品がない場合、すでに完売している商品となります。予めご了承ください。<br /><br />■商品番号<br>WK12-01DB<br><br>■JANコード<br>4582329782820<br><br>■商品概要<br>重量：4.3kg (STD：16.7kg)<br>最高出力 (シングル)：163.7ps　 (STD：155.3ps)<br>最大トルク (シングル)：14.1kg-m　 (STD：13.6kg-m)<br>車検対応・JMCA認定品<br>08年モデルのZX-14のみに適合。<br>集合方式：4-2-1<br>排ガス検査成績表付属 (車検時に必要)<br>【オイル交換：○】<br>【オイルフィルター交換：○】<br>カウル・【アンダーカウル：○】<br><br>カラー：真円ドラッグブルー<br><br>KITACO製マフラーガスケットの購入はこちら<br><br>■適合車種<br>▼KAWASAKI<br>ZX-14 (ZXNC) 08 <br><br>■詳細説明<br>車検証の備考欄に「19年排出ガス規制適合」の文言がある車両には適合しません。<br><br>■注意点<br>※画像はカラー：オーバルチタンのものです。<br>※測定データは気温・測定方法等によって差異が生じることがあります。,【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：真円ドラッグブルー ZX-14 (ZXNC) 08：ウェビック　楽天市場店,バイクカスタム改造ドレスアップヘルメットマフラーカウルオートバイ二輪車大型バイク中型バイクバイク用品パーツミラーツーリングジャケットタイヤ原付サーキットオフロード【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：真円ドラッグブルー ZX-14 (ZXNC) 08,フルエキゾーストマフラー ワイバン シングルタイプマフラー。【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン シングルタイプマフラー カラー：真円ドラッグブルー ZX-14 (ZXNC) 08[rn]
15-58509,http://tshop.r10s.jp/webike-rb/cabinet/img699/3252760.jpg?fitin=700:700,28068.0000,,車用品・バイク用品 > バイク用品 > マフラー > その他,Rosso ロッソ ベルタ フルエキゾーストマフラー キャタライザー：あり サイレンサー素材：ステンレス(ポリッシュ仕上げ) MAJESTY250[マジェスティ]（SG20J） 4D9,Rosso ロッソ ベルタ フルエキゾーストマフラー,キャタライザー：なし / サイレンサー素材：ステンレス(ポリッシュ仕上げ)はこちら<br />キャタライザー：なし / サイレンサー素材：チタンはこちら<br />キャタライザー：あり / サイレンサー素材：チタンはこちら<br /><br />※リンク先に商品がない場合、すでに完売している商品となります。予めご了承ください。<br /><br />■商品番号<br>26-008-00C<br><br>■商品概要<br>●エキゾーストパイプ材質：ステンレス(ポリッシュ仕上げ)<br>●サイレンサー径：120φ<br>●サイレンサー部全長：約450mm<br>●音量：バッフル装着時 約88db (着脱可)<br>●音質：重低音<br><br>キャタライザー：あり サイレンサー素材：ステンレス(ポリッシュ仕上げ)<br><br>KITACO製マフラーガスケットの購入はこちら<br><br>■適合車種<br>▼YAMAHA<br>MAJESTY250[マジェスティ]（SG20J） 4D9 <br><br>■詳細説明<br>自社開発のトルクフルパイプを内臓し、低中速の落ち込みをなくし全域に渡ってパワーアップを実現しました。<br>,Rosso ロッソ ベルタ フルエキゾーストマフラー キャタライザー：あり サイレンサー素材：ステンレス(ポリッシュ仕上げ) MAJESTY250[マジェスティ]（SG20J） 4D9：ウェビック　楽天市場店,バイクカスタム改造ドレスアップヘルメットマフラーカウルオートバイ二輪車大型バイク中型バイクバイク用品パーツミラーツーリングジャケットタイヤ原付サーキットオフロードRosso ロッソ ベルタ フルエキゾーストマフラー キャタライザー：あり サイレンサー素材：ステンレス(ポリッシュ仕上げ) MAJESTY250[マジェスティ]（SG20J） 4D9,Rosso ロッソ ベルタ フルエキゾーストマフラー。Rosso ロッソ ベルタ フルエキゾーストマフラー キャタライザー：あり サイレンサー素材：ステンレス(ポリッシュ仕上げ) MAJESTY250[マジェスティ]（SG20J） 4D9[rn]
15-58510,http://tshop.r10s.jp/webike-rb/cabinet/img699/3252808.jpg?fitin=700:700,33021.6000,,車用品・バイク用品 > バイク用品 > マフラー > その他,Rosso ロッソ ベルタ フルエキゾーストマフラー キャタライザー：なし サイレンサー素材：チタン MAJESTY250[マジェスティ]（SG20J） 4D9,Rosso ロッソ ベルタ フルエキゾーストマフラー,キャタライザー：なし / サイレンサー素材：ステンレス(ポリッシュ仕上げ)はこちら<br />キャタライザー：あり / サイレンサー素材：ステンレス(ポリッシュ仕上げ)はこちら<br />キャタライザー：あり / サイレンサー素材：チタンはこちら<br /><br />※リンク先に商品がない場合、すでに完売している商品となります。予めご了承ください。<br /><br />■商品番号<br>26-008-01<br><br>■商品概要<br>●エキゾーストパイプ材質：ステンレス(ポリッシュ仕上げ)<br>●サイレンサー径：120φ<br>●サイレンサー部全長：約450mm<br>●音量：バッフル装着時 約88db (着脱可)<br>●音質：重低音<br><br>キャタライザー：なし サイレンサー素材：チタン<br><br>KITACO製マフラーガスケットの購入はこちら<br><br>■適合車種<br>▼YAMAHA<br>MAJESTY250[マジェスティ]（SG20J） 4D9 <br><br>■詳細説明<br>自社開発のトルクフルパイプを内臓し、低中速の落ち込みをなくし全域に渡ってパワーアップを実現しました。<br>,Rosso ロッソ ベルタ フルエキゾーストマフラー キャタライザー：なし サイレンサー素材：チタン MAJESTY250[マジェスティ]（SG20J） 4D9：ウェビック　楽天市場店,バイクカスタム改造ドレスアップヘルメットマフラーカウルオートバイ二輪車大型バイク中型バイクバイク用品パーツミラーツーリングジャケットタイヤ原付サーキットオフロードRosso ロッソ ベルタ フルエキゾーストマフラー キャタライザー：なし サイレンサー素材：チタン MAJESTY250[マジェスティ]（SG20J） 4D9,Rosso ロッソ ベルタ フルエキゾーストマフラー。Rosso ロッソ ベルタ フルエキゾーストマフラー キャタライザー：なし サイレンサー素材：チタン MAJESTY250[マジェスティ]（SG20J） 4D9[rn]
15-58511,http://tshop.r10s.jp/webike-rb/cabinet/img2186/1349971_0.jpg?fitin=700:700,209986.4000,,車用品・バイク用品 > バイク用品 > マフラー > その他,【イベント開催中！】 r’s gear アールズギア フルエキゾーストマフラー ワイバン ツインタイプマフラー カラー：真円チタン CBR1100XX SUPERBLACKBIRD [スーパーブラックバード],フルエキゾーストマフラー ワイバン ツインタイプマフラー,カラー：真円カーボンはこちら<br />カラー：真円ドラッグブルーはこちら<br />カラー：オーバルチタンはこちら<br />カラー：オーバルドラッグブルーはこちら<br /><br />※リンク先に商品がない場合、すでに完売している商品となります。予めご了承ください。<br /><br />■商品番号<br>WH06-02TI<br><br>■JANコード<br>4582329780420<br><br>■商品概要<br>重量：4.9kg (STD：16.5kg)<br>最高出力 (ツイン)：-ps (STD：-ps)<br>最大トルク (ツイン)：-kg-m (STD：-kg-m)<br>車検対応<br>スーパーブラックバード全年式に適合。ツインタイプはインジェクション車・キャブ車共通設計。<br>集合方式：4-2-1-2<br>【オイル交換：○】<br>【オイルフィルター交換：○】<br>【カウル：○】<br>【アンダーカウル：○】<br><br>カラー：真円チタン<br><br>KITACO製マフラーガスケットの購入はこちら<br><br>■適合車種<br>▼HONDA<br>CBR1100XX SUPERBLACKBIRD [スーパーブラックバード] (SC35・スーパーブラックバード)<br><br>■注意点<br>※画像はイメージです。画像はカラー：真円カーボンのものです。<br>※測定データは気温・測定方法等によって差異が生じることがあります。,【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン ツインタイプマフラー カラー：真円チタン CBR1100XX SUPERBLACKBIRD [スーパーブラックバード]：ウェビック　楽天市場店,バイクカスタム改造ドレスアップヘルメットマフラーカウルオートバイ二輪車大型バイク中型バイクバイク用品パーツミラーツーリングジャケットタイヤ原付サーキットオフロード【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン ツインタイプマフラー カラー：真円チタン CBR1100XX SUPERBLACKBIRD [スーパーブラックバード],フルエキゾーストマフラー ワイバン ツインタイプマフラー。【イベント開催中！】 r&rsquo;s gear アールズギア フルエキゾーストマフラー ワイバン ツインタイプマフラー カラー：真円チタン CBR1100XX SUPERBLACKBIRD [スーパーブラックバード][rn]
