17-105499,http://tshop.r10s.jp/pchands/cabinet/imgrc0063727214.jpg?fitin=700:700,12080.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン NEC Mate MY30V Pen4 HT 3.0GHz DVD-ROM WindowsXP Pro/R-d-108/中古,デスクトップパソコン（単体）,"【商品番号：R-d-108】<BR>●CPU：Pentium4 HT 3.0GHz ●メモリ：512MB ●HDD：80GB ●ドライブ：DVD-ROM 

NEC Mate MY30V/C-F。
WindowsXP Proがセットアップ済ですのですぐにご使用いただけます。保守用などに如何でしょうか。

リカバリーデータはHDD内に格納されています。(HDDを全て消去しますとリカバリー領域も削除されますのでご注意願います。) 電源投入時、F11キーより再セットアップ可能です。
付属品は電源コードのみ。リカバリーはDtoD。一ヶ月保証。※北海道・沖縄は+1,080円送料がかかります。
１ヵ月保証。",中古パソコン NEC Mate MY30V Pen4 HT 3.0GHz DVD-ROM WindowsXP Pro/R-d-108/中古：中古パソコン PCshophands,中古パソコン 　ショップ　おすすめゲーミングパソコン　オンラインゲーム　　マインクラフト　フライトシュミレーター中古パソコン デスクトップ windows10中古パソコン デスクトップ windows7 64bit中古パソコン デスクトップ 価格中古パソコン　中古パソコン販売 大阪デュアルモニタ　2画面マルチモニタ　3画面　4画面HDMI　GeforceGTX中古パソコン windows10 アップグレード中古パソコン ノート windows7中古パソコン ノート 激安中古パソコン ノート i5中古パソコン デスクトップ core i3中古パソコン デスクトップ core i5中古パソコン デスクトップ core i7中古パソコン デスクトップ 富士通中古パソコン デスクトップ dell中古パソコン デスクトップ 東芝中古パソコン NEC Mate MY30V Pen4 HT 3.0GHz DVD-ROM WindowsXP Pro/R-d-108/中古,デスクトップパソコン（単体）。中古パソコン NEC Mate MY30V Pen4 HT 3.0GHz DVD-ROM WindowsXP Pro/R-d-108/中古[rn]
17-105500,http://tshop.r10s.jp/pchands/cabinet/img63245628.jpg?fitin=700:700,16080.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン Windows7 64BitWin7Pro 1TB メモリ2GB NEC Mate MY30A Core2 Duo E8400 DVDマルチ /R-d-238/中古,デスクトップパソコン（単体）,"【商品番号：R-d-238】<BR>●CPU：Core2 Duo E8400(3.0GHz) ●メモリ：2GB ●HDD：新品1TB換装 ●ドライブ：DVD-Multi ●OS：Windows7 Professional(64Bit)(MRR) NEC Mate MY30A。Core2 DuoにDVDマルチ搭載で、DVD・CDの再生から書込みに対応。Win7がセットアップ済。中古パソコン再生用の正規Windows7 ProfessionalDVD(MRR)も付属しておりますので再セットアップ可能で安心してお使いいただけます。モニター接続端子はミニD-sub15ピン。中古パソコン再生用セットアップDVD付属。１ヵ月保証。※北海道・沖縄は+1,080円送料がかかります。",中古パソコン Windows7 64BitWin7Pro 1TB メモリ2GB NEC Mate MY30A Core2 Duo E8400 DVDマルチ /R-d-238/中古：中古パソコン PCshophands,中古パソコン 　ショップ　おすすめゲーミングパソコン　オンラインゲーム　　マインクラフト　フライトシュミレーター中古パソコン デスクトップ windows10中古パソコン デスクトップ windows7 64bit中古パソコン デスクトップ 価格中古パソコン　中古パソコン販売 大阪デュアルモニタ　2画面マルチモニタ　3画面　4画面HDMI　GeforceGTX中古パソコン windows10 アップグレード中古パソコン ノート windows7中古パソコン ノート 激安中古パソコン ノート i5中古パソコン デスクトップ core i3中古パソコン デスクトップ core i5中古パソコン デスクトップ core i7中古パソコン デスクトップ 富士通中古パソコン デスクトップ dell中古パソコン デスクトップ 東芝中古パソコン Windows7 64BitWin7Pro 1TB メモリ2GB NEC Mate MY30A Core2 Duo E8400 DVDマルチ /R-d-238/中古,デスクトップパソコン（単体）。中古パソコン Windows7 64BitWin7Pro 1TB メモリ2GB NEC Mate MY30A Core2 Duo E8400 DVDマルチ /R-d-238/中古[rn]
17-105501,http://tshop.r10s.jp/pchands/cabinet/imgrc0065244013.jpg?fitin=700:700,12080.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン NEC MY28A Core2 Duo E8300 2.83GHz メモリ2GB DVD-ROM WindowsXP Pro /R-d-307 /中古,デスクトップパソコン（単体）,"【商品番号：R-d-307】<BR>
●CPU:Core2 Duo E8300(2.83GHz) ●メモリ:2GB ●HDD:80GB ●ドライブ:DVD-ROM  ●OS:Windows XP Pro(Vistaダウングレード)<br>
<br>
NEC Mate MY28A。Core2 Duo(デュアルコア)にメモリー2GB、DVD-ROM搭載でDVD・CDの再生に対応。<br>
<br>
WindowsXP Pro(Vistaダウングレード)がセットアップ済ですのですぐにご使用頂けます。保守用に如何でしょうか。<br>
リカバリメディア・リカバリー領域はございませんのでご注意ください。 <br>
 付属品：電源コードのみ。<br>
 <br>
 ※北海道・沖縄は+1,080円送料がかかります。<br>
１ヵ月保証商品。",中古パソコン NEC MY28A Core2 Duo E8300 2.83GHz メモリ2GB DVD-ROM WindowsXP Pro /R-d-307 /中古：中古パソコン PCshophands,中古パソコン 　ショップ　おすすめゲーミングパソコン　オンラインゲーム　　マインクラフト　フライトシュミレーター中古パソコン デスクトップ windows10中古パソコン デスクトップ windows7 64bit中古パソコン デスクトップ 価格中古パソコン　中古パソコン販売 大阪デュアルモニタ　2画面マルチモニタ　3画面　4画面HDMI　GeforceGTX中古パソコン windows10 アップグレード中古パソコン ノート windows7中古パソコン ノート 激安中古パソコン ノート i5中古パソコン デスクトップ core i3中古パソコン デスクトップ core i5中古パソコン デスクトップ core i7中古パソコン デスクトップ 富士通中古パソコン デスクトップ dell中古パソコン デスクトップ 東芝中古パソコン NEC MY28A Core2 Duo E8300 2.83GHz メモリ2GB DVD-ROM WindowsXP Pro /R-d-307 /中古,デスクトップパソコン（単体）。中古パソコン NEC MY28A Core2 Duo E8300 2.83GHz メモリ2GB DVD-ROM WindowsXP Pro /R-d-307 /中古[rn]
17-105502,http://tshop.r10s.jp/pchands/cabinet/imgrc0063726863.jpg?fitin=700:700,15280.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン NEC Mate MY18A Core2Duo E6300 メモリ2GB DVD-ROM WinXP Pro 17型 液晶 /dtb-205/中古,デスクトップパソコン（セパレート型）,"【商品番号：dtb-205】<BR>●CPU:Core2 Duo E6300(1.86GHz) ●メモリ:2GB ●HDD:80GB ●ドライブ:DVD-ROM ●OS:Windows XP Pro●液晶:17型液晶

NEC Mate MY18A+17型液晶モニターのセットです。Core2 Duo(デュアルコア)にメモリー2GB、DVD-ROM搭載でDVD・CDの再生に対応しております。

WindowsXP Proがセットアップ済ですのですぐにご使用頂けます。保守用にもいかがでしょうか

リカバリーデータはHDD内に格納されています。(HDDを全て消去しますとリカバリ領域も削除されますのでご注意願います。
起動時F11キーより再セットアップ可能です。キーボード・マウス付属(他社製)。一ヶ月保証。",中古パソコン NEC Mate MY18A Core2Duo E6300 メモリ2GB DVD-ROM WinXP Pro 17型 液晶 /dtb-205/中古：中古パソコン PCshophands,中古パソコン 　ショップ　おすすめゲーミングパソコン　オンラインゲーム　　マインクラフト　フライトシュミレーター中古パソコン デスクトップ windows10中古パソコン デスクトップ windows7 64bit中古パソコン デスクトップ 価格中古パソコン　中古パソコン販売 大阪デュアルモニタ　2画面マルチモニタ　3画面　4画面HDMI　GeforceGTX中古パソコン windows10 アップグレード中古パソコン ノート windows7中古パソコン ノート 激安中古パソコン ノート i5中古パソコン デスクトップ core i3中古パソコン デスクトップ core i5中古パソコン デスクトップ core i7中古パソコン デスクトップ 富士通中古パソコン デスクトップ dell中古パソコン デスクトップ 東芝中古パソコン NEC Mate MY18A Core2Duo E6300 メモリ2GB DVD-ROM WinXP Pro 17型 液晶 /dtb-205/中古,デスクトップパソコン（セパレート型）。中古パソコン NEC Mate MY18A Core2Duo E6300 メモリ2GB DVD-ROM WinXP Pro 17型 液晶 /dtb-205/中古[rn]
17-105503,http://tshop.r10s.jp/pchands/cabinet/imgrc0063726707.jpg?fitin=700:700,12080.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン メモリー2GB NEC Mate MY18A Core2 Duo E6300 DVD-ROM WindowsXP Pro /d-072/中古,デスクトップパソコン（単体）,"【商品番号：d-072】<BR>●CPU:Core2 Duo E6300(1.86GHz) ●メモリ:2GB ●HDD:80GB ●ドライブ:DVD-ROM ●OS:Windows XP Pro

NEC Mate MY18A。Core2 Duo(デュアルコア)にメモリー2GB、DVD-ROM搭載でDVD・CDの再生に対応しております。

WindowsXP Proがセットアップ済ですのですぐにご使用頂けます。保守用に如何でしょうか。

リカバリデータはHDD内の別パーティションに格納されています。F11キーより再セットアップ可能です。(HDDを全て消去しますとリカバリー領域も削除されますのでご注意願います。) 付属品：電源コードのみ。１ヵ月保証商品。",中古パソコン メモリー2GB NEC Mate MY18A Core2 Duo E6300 DVD-ROM WindowsXP Pro /d-072/中古：中古パソコン PCshophands,中古パソコン 　ショップ　おすすめゲーミングパソコン　オンラインゲーム　　マインクラフト　フライトシュミレーター中古パソコン デスクトップ windows10中古パソコン デスクトップ windows7 64bit中古パソコン デスクトップ 価格中古パソコン　中古パソコン販売 大阪デュアルモニタ　2画面マルチモニタ　3画面　4画面HDMI　GeforceGTX中古パソコン windows10 アップグレード中古パソコン ノート windows7中古パソコン ノート 激安中古パソコン ノート i5中古パソコン デスクトップ core i3中古パソコン デスクトップ core i5中古パソコン デスクトップ core i7中古パソコン デスクトップ 富士通中古パソコン デスクトップ dell中古パソコン デスクトップ 東芝中古パソコン メモリー2GB NEC Mate MY18A Core2 Duo E6300 DVD-ROM WindowsXP Pro /d-072/中古,デスクトップパソコン（単体）。中古パソコン メモリー2GB NEC Mate MY18A Core2 Duo E6300 DVD-ROM WindowsXP Pro /d-072/中古[rn]
17-105504,http://tshop.r10s.jp/pchands/cabinet/imgrc0066184582.jpg?fitin=700:700,20080.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン DELL Optiplex 745DT Core2Duo E6600 2.4GHz メモリ2GB HDD160GB DVD-ROM WindowsXP Pro /R-d-456/中古,デスクトップパソコン（単体）,"【商品番号：R-d-456】<BR>
●CPU:Core2 Duo E6600(2.4GHz) ●メモリ:2GB ●HDD:160GB ●ドライブ:DVD-ROM ●OS:WindowsXP Pro<br />
<br />
DELL OptiPlex 745DT。Core2 DuoにDVD-ROM搭載でDVD・CDの再生に対応しています。<br>
<br>
WindowsXP Proがセットアップ済ですのですぐにご使用いただけます。<br>
リカバリCDも付属しておりますので安心です。<br>
<br>
保守用にいかがでしょうか。<br>
<br>
※フロッピーディスクは、記録ディスクが無いため動作未確認です。<br>
<br>
<TABLE BORDER=""1"">
  <tr>
    <td colspan=""2"" align=""center"">中古パソコン 製品仕様</td>
  </tr>
  <TR>
    <TD>メーカ型番</TD>
    <TD>DELL Optiplex745DT</TD>
  </TR>
  <TR>
    <TD>CPU</TD>
    <TD>Intel Core2Duo E6600(2.4GHz) </TD>
  </TR>
  <TR>
    <TD>メモリー</TD>
    <TD>2GB (DDR2) </TD>
  </TR>
  <TR>
    <TD>光学ドライブ</TD>
    <TD>DVD-ROM</TD>
  </TR>
  <TR>
    <TD>HDD</TD>
    <TD>160GB</TD>
  </TR>
  <TR>
    <TD>LAN</TD>
    <TD>あり</TD>
  </TR>
  <TR>
    <TD>無線LAN</TD>
    <TD>なし</TD>
  </TR>
  <TR>
    <TD>内蔵スピーカ</TD>
    <TD>無し</TD>
  </TR>
  <tr>
    <TD>USB2.0</TD>
    <TD>前×2 / 後×6</TD>
  </TR>
  <TR>
    <TD>モニタ接続端子</TD>
    <TD>ミニD-sub15ピン</TD>
  </TR>
  <TR>
    <TD>OS</TD>
    <TD>WindowsXP Professional</TD>
  </TR>
  <TR>
    <TD>拡張スロット</TD>
    <TD>・PCI-Express x16 ×1 <br>
      ・PCI ×2<br></TD>
  </TR>
  <TR>
    <TD>付属品</TD>
    <TD>リカバリーCD
      ・電源コード</TD>
  </TR>
</TABLE>
<br>
<br>
1ヵ月保証商品",中古パソコン DELL Optiplex 745DT Core2Duo E6600 2.4GHz メモリ2GB HDD160GB DVD-ROM WindowsXP Pro /R-d-456/中古：中古パソコン PCshophands,中古パソコン 　ショップ　おすすめゲーミングパソコン　オンラインゲーム　　マインクラフト　フライトシュミレーター中古パソコン デスクトップ windows10中古パソコン デスクトップ windows7 64bit中古パソコン デスクトップ 価格中古パソコン　中古パソコン販売 大阪デュアルモニタ　2画面マルチモニタ　3画面　4画面HDMI　GeforceGTX中古パソコン windows10 アップグレード中古パソコン ノート windows7中古パソコン ノート 激安中古パソコン ノート i5中古パソコン デスクトップ core i3中古パソコン デスクトップ core i5中古パソコン デスクトップ core i7中古パソコン デスクトップ 富士通中古パソコン デスクトップ dell中古パソコン デスクトップ 東芝中古パソコン DELL Optiplex 745DT Core2Duo E6600 2.4GHz メモリ2GB HDD160GB DVD-ROM WindowsXP Pro /R-d-456/中古,デスクトップパソコン（単体）。中古パソコン DELL Optiplex 745DT Core2Duo E6600 2.4GHz メモリ2GB HDD160GB DVD-ROM WindowsXP Pro /R-d-456/中古[rn]
17-105505,http://tshop.r10s.jp/pchands/cabinet/imgrc0065874429.jpg?fitin=700:700,24080.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン DELL Optiplex 755MT Core2Duo E6550 2.33GHz 2GB 160GB WindowsXP Pro /R-d-267/中古,デスクトップパソコン（単体）,"【商品番号：R-d-267】<BR>●CPU：Core2 Duo E6550(2.33GHz) ●メモリ：2GB ●HDD：160GB ●ドライブ：DVD-ROM ●OS：WindowsXP Professional

<br>
<br>
DELL OptiPlex 755MT。Core2 DuoにDVD-ROM搭載でDVD・CDの再生に対応しています。保守用に如何でしょうか。<br>
<br>
WindowsXP Proがセットアップ済ですのですぐにご使用いただけます。<br>
モニター接続はミニD-sub15ピン。リカバリCD付属。<br>
<br>
１ヵ月保証。",中古パソコン DELL Optiplex 755MT Core2Duo E6550 2.33GHz 2GB 160GB WindowsXP Pro /R-d-267/中古：中古パソコン PCshophands,中古パソコン 　ショップ　おすすめゲーミングパソコン　オンラインゲーム　　マインクラフト　フライトシュミレーター中古パソコン デスクトップ windows10中古パソコン デスクトップ windows7 64bit中古パソコン デスクトップ 価格中古パソコン　中古パソコン販売 大阪デュアルモニタ　2画面マルチモニタ　3画面　4画面HDMI　GeforceGTX中古パソコン windows10 アップグレード中古パソコン ノート windows7中古パソコン ノート 激安中古パソコン ノート i5中古パソコン デスクトップ core i3中古パソコン デスクトップ core i5中古パソコン デスクトップ core i7中古パソコン デスクトップ 富士通中古パソコン デスクトップ dell中古パソコン デスクトップ 東芝中古パソコン DELL Optiplex 755MT Core2Duo E6550 2.33GHz 2GB 160GB WindowsXP Pro /R-d-267/中古,デスクトップパソコン（単体）。中古パソコン DELL Optiplex 755MT Core2Duo E6550 2.33GHz 2GB 160GB WindowsXP Pro /R-d-267/中古[rn]
17-105506,http://tshop.r10s.jp/pchands/cabinet/img60411695.jpg?fitin=700:700,44000.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン メモリー2GBHP Compaq dc7900SFF Core2 Duo E7400 2.8GHz DVD-ROM WindowsXP Pro 17TFT液晶 /dtb-147/中古,デスクトップパソコン（セパレート型）,【商品番号：dtb-147】<BR>●CPU：Core2 Duo E7400(2.8GHz) ●メモリ：2GB ●HDD：80GB ●ドライブ：DVD-ROM ●OS：WinXP Pro(Vistaダウングレード) ●17型TFT液晶 HP Compaq dc7900SFF。高性能デュアルコアCore2 Duoにメモリー2GB搭載、ドライブはDVD-ROM内蔵でCD・DVDの再生に対応。WindowsXP Pro(Vistaダウングレード)がセットアップ済。リカバリーデータはHDD内に格納。(HDDを全て消去しますとリカバリー領域も削除されますので注意。)リカバリーは起動時F11キーよりセットアップ可能。１ヵ月保証。,中古パソコン メモリー2GBHP Compaq dc7900SFF Core2 Duo E7400 2.8GHz DVD-ROM WindowsXP Pro 17TFT液晶 /dtb-147/中古：中古パソコン PCshophands,中古パソコン 　ショップ　おすすめゲーミングパソコン　オンラインゲーム　　マインクラフト　フライトシュミレーター中古パソコン デスクトップ windows10中古パソコン デスクトップ windows7 64bit中古パソコン デスクトップ 価格中古パソコン　中古パソコン販売 大阪デュアルモニタ　2画面マルチモニタ　3画面　4画面HDMI　GeforceGTX中古パソコン windows10 アップグレード中古パソコン ノート windows7中古パソコン ノート 激安中古パソコン ノート i5中古パソコン デスクトップ core i3中古パソコン デスクトップ core i5中古パソコン デスクトップ core i7中古パソコン デスクトップ 富士通中古パソコン デスクトップ dell中古パソコン デスクトップ 東芝中古パソコン メモリー2GBHP Compaq dc7900SFF Core2 Duo E7400 2.8GHz DVD-ROM WindowsXP Pro 17TFT液晶 /dtb-147/中古,デスクトップパソコン（セパレート型）。中古パソコン メモリー2GBHP Compaq dc7900SFF Core2 Duo E7400 2.8GHz DVD-ROM WindowsXP Pro 17TFT液晶 /dtb-147/中古[rn]
17-105507,http://tshop.r10s.jp/pchands/cabinet/imgrc0065894655.jpg?fitin=700:700,28080.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン DELL Precision T3400 Core 2 Duo E6750メモリ4GB WindowsXP Pro R-w-044 ワークステーション /中古,デスクトップパソコン（セパレート型）,"【商品番号：R-w-044】<BR>
●CPU: Core 2 Duo E6750(2.66GHz) ●メモリ:4GB ●HDD:160GB ●ドライブ:DVD-ROM ●OS :WindowsXP Professional(32Bit)<br>
<br>
DELL Precision Workstation T3400。デュアルコアCPUを搭載したワークステーションになります。Core2   Duo   2.66GHzにメモリー4GBが最高ですネ。OSはWindowsXP(Vistaダウングレード)がセットアップ済みで、すぐにご使用いただけます。モニター接続端子、DVI-I×2。リカバリーCD(WinXP Pro)。<br>
<br>
１ヵ月保証。",中古パソコン DELL Precision T3400 Core 2 Duo E6750メモリ4GB WindowsXP Pro R-w-044 ワークステーション /中古：中古パソコン PCshophands,中古パソコン 　ショップ　おすすめゲーミングパソコン　オンラインゲーム　　マインクラフト　フライトシュミレーター中古パソコン デスクトップ windows10中古パソコン デスクトップ windows7 64bit中古パソコン デスクトップ 価格中古パソコン　中古パソコン販売 大阪デュアルモニタ　2画面マルチモニタ　3画面　4画面HDMI　GeforceGTX中古パソコン windows10 アップグレード中古パソコン ノート windows7中古パソコン ノート 激安中古パソコン ノート i5中古パソコン デスクトップ core i3中古パソコン デスクトップ core i5中古パソコン デスクトップ core i7中古パソコン デスクトップ 富士通中古パソコン デスクトップ dell中古パソコン デスクトップ 東芝中古パソコン DELL Precision T3400 Core 2 Duo E6750メモリ4GB WindowsXP Pro R-w-044 ワークステーション /中古,デスクトップパソコン（セパレート型）。中古パソコン DELL Precision T3400 Core 2 Duo E6750メモリ4GB WindowsXP Pro R-w-044 ワークステーション /中古[rn]
17-105508,http://tshop.r10s.jp/pchands/cabinet/img58303671.jpg?fitin=700:700,12080.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン HP dc5800SFF Core2 Duo E6550 2.33GHz DVD-ROM WinXP Pro /d-082/中古,デスクトップパソコン（単体）,"【商品番号：d-082】<BR>●CPU:Core2 Duo E6550(2.33GHz) ●メモリ:2GB ●HDD:80GB ●ドライブ:DVD-ROM ●OS:WindowsXP Pro

HP Compaq dc5800SFF。高性能デュアルコアCPUに、ドライブはDVD-ROMドライブが内蔵されていますので、CD・DVDの再生に対応。
デスクトップの買替えなどお手頃価格でオススメです。WinXP Proがセットアップ済。リカバリーデータはHDD内に格納。(HDDを全て消去しますとリカバリー領域も削除されますのでご注意願います。)リカバリーは起動時F11キーよりセットアップ可能。１ヵ月保証。",中古パソコン HP dc5800SFF Core2 Duo E6550 2.33GHz DVD-ROM WinXP Pro /d-082/中古：中古パソコン PCshophands,中古パソコン 　ショップ　おすすめゲーミングパソコン　オンラインゲーム　　マインクラフト　フライトシュミレーター中古パソコン デスクトップ windows10中古パソコン デスクトップ windows7 64bit中古パソコン デスクトップ 価格中古パソコン　中古パソコン販売 大阪デュアルモニタ　2画面マルチモニタ　3画面　4画面HDMI　GeforceGTX中古パソコン windows10 アップグレード中古パソコン ノート windows7中古パソコン ノート 激安中古パソコン ノート i5中古パソコン デスクトップ core i3中古パソコン デスクトップ core i5中古パソコン デスクトップ core i7中古パソコン デスクトップ 富士通中古パソコン デスクトップ dell中古パソコン デスクトップ 東芝中古パソコン HP dc5800SFF Core2 Duo E6550 2.33GHz DVD-ROM WinXP Pro /d-082/中古,デスクトップパソコン（単体）。中古パソコン HP dc5800SFF Core2 Duo E6550 2.33GHz DVD-ROM WinXP Pro /d-082/中古[rn]
17-105509,http://tshop.r10s.jp/pchands/cabinet/imgrc0063575471.jpg?fitin=700:700,15280.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン メモリー2GBHP Compaq dc5800SFF Core2 Duo E6550 2.33GHz DVD-ROM WindowsXP Pro 17TFT液晶 /dtb-151/中古,デスクトップパソコン（セパレート型）,【商品番号：dtb-151】<BR>CPU：Core2 Duo E6550(2.33GHz) メモリ：2GB HDD：80GB ドライブ：DVD-ROM OS：WindowsXP Pro 17型TFT液晶 HP Compaq dc5800SFF+17型液晶。Core2 Duo搭載、ドライブはDVD-ROM内蔵でCD・DVDの再生に対応。付属のモニターも映りもとでもキレイでオススメセットです。WindowsXP Proがセットアップ済。リカバリーデータはHDD内に格納。(HDDを全て消去しますとリカバリー領域も削除されますのでご注意願います。)リカバリーは起動時F11キーよりセットアップ可能。１ヵ月保証商品。,中古パソコン メモリー2GBHP Compaq dc5800SFF Core2 Duo E6550 2.33GHz DVD-ROM WindowsXP Pro 17TFT液晶 /dtb-151/中古：中古パソコン PCshophands,中古パソコン 　ショップ　おすすめゲーミングパソコン　オンラインゲーム　　マインクラフト　フライトシュミレーター中古パソコン デスクトップ windows10中古パソコン デスクトップ windows7 64bit中古パソコン デスクトップ 価格中古パソコン　中古パソコン販売 大阪デュアルモニタ　2画面マルチモニタ　3画面　4画面HDMI　GeforceGTX中古パソコン windows10 アップグレード中古パソコン ノート windows7中古パソコン ノート 激安中古パソコン ノート i5中古パソコン デスクトップ core i3中古パソコン デスクトップ core i5中古パソコン デスクトップ core i7中古パソコン デスクトップ 富士通中古パソコン デスクトップ dell中古パソコン デスクトップ 東芝中古パソコン メモリー2GBHP Compaq dc5800SFF Core2 Duo E6550 2.33GHz DVD-ROM WindowsXP Pro 17TFT液晶 /dtb-151/中古,デスクトップパソコン（セパレート型）。中古パソコン メモリー2GBHP Compaq dc5800SFF Core2 Duo E6550 2.33GHz DVD-ROM WindowsXP Pro 17TFT液晶 /dtb-151/中古[rn]
