17-152199,http://tshop.r10s.jp/guts-cycle/cabinet/03084314/imgrc0061350341.jpg?fitin=700:700,54104.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ホイール,シマノ XTR MTBホイール WH-M9000 T/L R：12mm 27.5,シマノ XTR MTBホイール WH-M9000 T/L R：12mm 27.5,,シマノ XTR MTBホイール WH-M9000 T/L R：12mm 27.5：GUTS-CYCLE,シマノ XTR MTBホイール WH-M9000 T/L R：12mm 27.5,シマノ XTR MTBホイール WH-M9000 T/L R：12mm 27.5。シマノ XTR MTBホイール WH-M9000 T/L R：12mm 27.5[rn]
17-152200,http://tshop.r10s.jp/guts-cycle/cabinet/03107580/imgrc0068098380.jpg?fitin=700:700,104320.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ホイール,HED. STINGER 9 ロード ホイール チューブラー （フロント）,HED. STINGER 9 ロード ホイール チューブラー フロント,,HED. STINGER 9 ロード ホイール チューブラー （フロント）：GUTS-CYCLE,HED. STINGER 9 ロード ホイール チューブラー （フロント）,HED. STINGER 9 ロード ホイール チューブラー フロント。HED. STINGER 9 ロード ホイール チューブラー （フロント）[rn]
17-152201,http://tshop.r10s.jp/guts-cycle/cabinet/03734696/imgrc0066739062.jpg?fitin=700:700,23328.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ホイール,ヨシガイ グランコンペ Gran Compe ピストホイール ブラック 前後セット クリンチャー,ヨシガイ グランコンペ Gran Compe ピストホイール BK 前後,,ヨシガイ グランコンペ Gran Compe ピストホイール ブラック 前後セット クリンチャー：GUTS-CYCLE,ヨシガイ グランコンペ Gran Compe ピストホイール ブラック 前後セット クリンチャー,ヨシガイ グランコンペ Gran Compe ピストホイール BK 前後。ヨシガイ グランコンペ Gran Compe ピストホイール ブラック 前後セット クリンチャー[rn]
17-152202,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/s/schwalbe/rimtape.jpg?fitin=700:700,320.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ホイール,【あす楽対応】【在庫処分】自転車 リムテープ SCHWALBE シュワルベ18”用 HP RIMTAPE ハイプレッシャー リムテープ 18インチ用【パーツ総額8640円以上送料無料】,【最大1500円OFFクーポン対象】,"<font color=""#ff0000"">※一本のお値段です</font><br><br>
SCHWALBE HP RIM TAPE<br>
耐久性の高いリムテープ<br>
よりハイプレッシャーに効果を発揮します
<br>
■ 前輪用、後輪用のセット<br>

18インチ用<br>
FB18-355（18mm幅)",【あす楽対応】【在庫処分】自転車 リムテープ SCHWALBE シュワルベ18&rdquo;用 HP RIMTAPE ハイプレッシャー リムテープ 18インチ用【パーツ総額8640円以上送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグ【あす楽対応】【在庫処分】自転車 リムテープ SCHWALBE シュワルベ18&rdquo;用 HP RIMTAPE ハイプレッシャー リムテープ 18インチ用【パーツ総額8640円以上送料無料】,【最大1500円OFFクーポン対象】。【あす楽対応】【在庫処分】自転車 リムテープ SCHWALBE シュワルベ18&rdquo;用 HP RIMTAPE ハイプレッシャー リムテープ 18インチ用【パーツ総額8640円以上送料無料】[rn]
17-152203,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/a/akiworld/ot-lt-001.jpg?fitin=700:700,4160.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ホイール,リアホイールカバー AKI WORLD 700C ロード用 REAR WHEEL COVER 700C FOR GEAR BOX CLEAR ホイールカバー 自転車 ホイール【パーツ総額8640円以上送料無料】,【最大1500円OFFクーポン対象】,"クリアベースなので内側からお好きなカラーでペイントするもよし、ステッカーチューンするもよし街中で目立ち度アップには最適です。<br>
<br>
■サイズ: 700C(直径596mm)<br>
■カラー:クリアー<br>
■重量: 600g(26インチ)<br>
<br>
※車体により加工が必要となります。販売店にてご相談ください。",リアホイールカバー AKI WORLD 700C ロード用 REAR WHEEL COVER 700C FOR GEAR BOX CLEAR ホイールカバー 自転車 ホイール【パーツ総額8640円以上送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグリアホイールカバー AKI WORLD 700C ロード用 REAR WHEEL COVER 700C FOR GEAR BOX CLEAR ホイールカバー 自転車 ホイール【パーツ総額8640円以上送料無料】,【最大1500円OFFクーポン対象】。リアホイールカバー AKI WORLD 700C ロード用 REAR WHEEL COVER 700C FOR GEAR BOX CLEAR ホイールカバー 自転車 ホイール【パーツ総額8640円以上送料無料】[rn]
17-152204,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/a/a-class/pa_xrpjx_828508.jpg?fitin=700:700,86480.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ホイール,エークラス ALX630 【700C/カンパカセット】 前後セット A-CLASS 自転車 ロードホイール【送料無料】,【最大1500円OFFクーポン対象】,"<font color=""red""><br>
※商品発送後、サイズやカラーの返品、交換は一切お受けすることができません。予め、ご了承ください。 
</font><br><br>
アルミリムの限界まで軽さを求めたヒルクライムモデル<br>
700Cカンパカセット<br>
※対応カセット：カンパ9S、10S、11S<br>
●A-CLASSが独自に開発したリム専用特殊アルミ合金「EXA」は強度、剛性、耐久性全てにおいて世界最高レベルのパフォーマンスを発揮。<br>
●究極の回転性能を誇る日本製カートリッジベアリングを使用し圧倒的に回転が滑らか。高速走行時に驚くべきスピードの伸びを体感できます。<br>
●前後のリムハイトを変えることで剛性を保ちながら軽さを維持。<br>
<br>
【WeldedJoint（ウェルデッド・ジョイント）】<br>
重量バランスに優れるA-CLASSのWelded Joint(溶接ジョイント）リムは高速回転時においてブレが少なく完全なバランスを追求しています。<br>
レーシングホイールに求められる重量バランスを高品質溶接ジョイントで実現しています。<br>
<br>
【CSW (CNC sidewalls）(CNC加工サイドウォール）】<br>
高い精度でリムサイドを切削加工することで軽く、剛性に優れるとともに、ブレーキ性能も安定化させます。<br>
<br>
【EXA (Extra Light & Strong Alloy) (エキストラライト＆ストロングアロイ）】<br>
EXAアルミ合金製はA-CLASSのみで使用する2度熱処理を施した特別なアルミニウム合金です。<br>
同じ7000系アルミと比較してもさらに優れたホイール性能を引き出します。<br>",エークラス ALX630 【700C/カンパカセット】 前後セット A-CLASS 自転車 ロードホイール【送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグエークラス ALX630 【700C/カンパカセット】 前後セット A-CLASS 自転車 ロードホイール【送料無料】,【最大1500円OFFクーポン対象】。エークラス ALX630 【700C/カンパカセット】 前後セット A-CLASS 自転車 ロードホイール【送料無料】[rn]
17-152205,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/a/a-class/pa_xrpjx_820425.jpg?fitin=700:700,44800.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ホイール,エークラス フォレックスプロ 20(406) 【(F)100×(R)130mm】 A-CLASS FOLEX PRO 自転車 小径車ホイール【送料無料】,【最大1500円OFFクーポン対象】,"<font color=""red""><br>
※商品発送後、サイズやカラーの返品、交換は一切お受けすることができません。予め、ご了承ください。 
</font><br><br>
20""シマノカセット<br>
※対応カセット：8S、9S、10S<br>
小径車ホイール<br>
●さらなるグレードアップに最適なハイエンドホイール。<br>
●4×5スポークデザインによる軽量化、剛性アップによる最高の加速感。<br>
●リムはA-CLASS EXAアルミニウム合金。<br>
<br>
【WeldedJoint（ウェルデッド・ジョイント）】<br>
重量バランスに優れるA-CLASSのWelded Joint(溶接ジョイント）リムは高速回転時においてブレが少なく完全なバランスを追求しています。<br>
レーシングホイールに求められる重量バランスを高品質溶接ジョイントで実現しています。<br>
<br>
【CSW (CNC sidewalls）(CNC加工サイドウォール）】<br>
高い精度でリムサイドを切削加工することで軽く、剛性に優れるとともに、ブレーキ性能も安定化させます。<br>
<br>
【EXA (Extra Light & Strong Alloy)(エキストラライト＆ストロングアロイ）】<br>
EXAアルミ合金製はA-CLASSのみで使用する2度熱処理を施した特別なアルミニウム合金です。<br>
同じ7000系アルミと比較してもさらに優れたホイール性能を引き出します。<br>",エークラス フォレックスプロ 20(406) 【(F)100&times;(R)130mm】 A-CLASS FOLEX PRO 自転車 小径車ホイール【送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグエークラス フォレックスプロ 20(406) 【(F)100&times;(R)130mm】 A-CLASS FOLEX PRO 自転車 小径車ホイール【送料無料】,【最大1500円OFFクーポン対象】。エークラス フォレックスプロ 20(406) 【(F)100&times;(R)130mm】 A-CLASS FOLEX PRO 自転車 小径車ホイール【送料無料】[rn]
17-152206,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/w/hub_eno_ecc_rear_1.jpg?fitin=700:700,17252.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ホイール,ホワイトインダストリーズ エキセントリックENOリアハブ  WHITE INDUSTRIES【エンド幅：130mm】【カラー：シルバー】リアハブ シングルスピード 自転車【送料無料】,【最大1500円OFFクーポン対象】,"＊写真の色・デザインは実物と異なる場合がございます。<br>
＊商品の仕様は予告無く変更される場合がございます。<br>
■カラー：シルバー<br>
■重量：332g<br>
■ホール数：32H、36H<br>
■OLD：130mm<br>
■フリー：フリー",ホワイトインダストリーズ エキセントリックENOリアハブ  WHITE INDUSTRIES【エンド幅：130mm】【カラー：シルバー】リアハブ シングルスピード 自転車【送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグホワイトインダストリーズ エキセントリックENOリアハブ  WHITE INDUSTRIES【エンド幅：130mm】【カラー：シルバー】リアハブ シングルスピード 自転車【送料無料】,【最大1500円OFFクーポン対象】。ホワイトインダストリーズ エキセントリックENOリアハブ  WHITE INDUSTRIES【エンド幅：130mm】【カラー：シルバー】リアハブ シングルスピード 自転車【送料無料】[rn]
17-152207,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/w/xmr_sl_f.jpg?fitin=700:700,15336.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ホイール,ホワイトインダストリーズ XMRフロントハブ QR 24H WHITE INDUSTRIES【エンド幅：100mm】【カラー：ブラック】自転車【送料無料】,【最大1500円OFFクーポン対象】,"<p><img src=""http://image.rakuten.co.jp/gate-in/cabinet/sp10_750x300.jpg"" width=""100%""></p>
<hr><br><br><p><img src=""http://image.rakuten.co.jp/gate-in/cabinet/sp10_750x300.jpg"" width=""100%""></p>
<hr><br><br>",ホワイトインダストリーズ XMRフロントハブ QR 24H WHITE INDUSTRIES【エンド幅：100mm】【カラー：ブラック】自転車【送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグホワイトインダストリーズ XMRフロントハブ QR 24H WHITE INDUSTRIES【エンド幅：100mm】【カラー：ブラック】自転車【送料無料】,【最大1500円OFFクーポン対象】。ホワイトインダストリーズ XMRフロントハブ QR 24H WHITE INDUSTRIES【エンド幅：100mm】【カラー：ブラック】自転車【送料無料】[rn]
17-152208,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/w/xmr_sl_f.jpg?fitin=700:700,15336.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ホイール,ホワイトインダストリーズ XMRフロントハブ 15mm 24H WHITE INDUSTRIES【エンド幅：100mm】【カラー：ブラック】自転車【送料無料】,【最大1500円OFFクーポン対象】,"<p><img src=""http://image.rakuten.co.jp/gate-in/cabinet/sp10_750x300.jpg"" width=""100%""></p>
<hr><br><br><p><img src=""http://image.rakuten.co.jp/gate-in/cabinet/sp10_750x300.jpg"" width=""100%""></p>
<hr><br><br>",ホワイトインダストリーズ XMRフロントハブ 15mm 24H WHITE INDUSTRIES【エンド幅：100mm】【カラー：ブラック】自転車【送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグホワイトインダストリーズ XMRフロントハブ 15mm 24H WHITE INDUSTRIES【エンド幅：100mm】【カラー：ブラック】自転車【送料無料】,【最大1500円OFFクーポン対象】。ホワイトインダストリーズ XMRフロントハブ 15mm 24H WHITE INDUSTRIES【エンド幅：100mm】【カラー：ブラック】自転車【送料無料】[rn]
17-152209,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/w/xmr_sl_f.jpg?fitin=700:700,14256.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ホイール,ホワイトインダストリーズ XMRフロントハブ 12mm 24H WHITE INDUSTRIES【エンド幅：100mm】【カラー：シルバー】自転車【送料無料】,【最大1500円OFFクーポン対象】,"<p><img src=""http://image.rakuten.co.jp/gate-in/cabinet/sp10_750x300.jpg"" width=""100%""></p>
<hr><br><br><p><img src=""http://image.rakuten.co.jp/gate-in/cabinet/sp10_750x300.jpg"" width=""100%""></p>
<hr><br><br>",ホワイトインダストリーズ XMRフロントハブ 12mm 24H WHITE INDUSTRIES【エンド幅：100mm】【カラー：シルバー】自転車【送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグホワイトインダストリーズ XMRフロントハブ 12mm 24H WHITE INDUSTRIES【エンド幅：100mm】【カラー：シルバー】自転車【送料無料】,【最大1500円OFFクーポン対象】。ホワイトインダストリーズ XMRフロントハブ 12mm 24H WHITE INDUSTRIES【エンド幅：100mm】【カラー：シルバー】自転車【送料無料】[rn]
