17-4101,http://tshop.r10s.jp/akibamac/cabinet/05216987/4967576218818.jpg?fitin=700:700,6384.0000,,インテリア・寝具・収納 > ライト・照明 > シーリングライト（天井照明） > その他,【送料無料】アイリスオーヤマリモコン付LEDシーリングライト 「5.0シリーズ」（～12畳） CL12D5.0KH 調光（昼光色） (CL12D50KH),,■大きさUPしながらも、すっきりとしたデザイン<br>■発光面を天井から離すことで、天井まで明るさが広がり、お部屋を広く見せることが出来ます<br>■ランプ寿命が約40000時間と長寿命です<br>■従来の商品よりもスマートでボタンが大きく使いやすくなっています<br>■工事が不要で、今お使いの器具をそのままで付け替えが簡単にできます,【送料無料】アイリスオーヤマリモコン付LEDシーリングライト 「5.0シリーズ」（～12畳） CL12D5.0KH 調光（昼光色） (CL12D50KH)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】アイリスオーヤマリモコン付LEDシーリングライト 「5.0シリーズ」（～12畳） CL12D5.0KH 調光（昼光色） (CL12D50KH),【送料無料】アイリスオーヤマリモコン付LEDシーリングライト 「5.0シリーズ」（～12畳） CL12D5.0KH 調光（昼光色） (CL12D50KH)[rn]
17-4102,http://tshop.r10s.jp/akibamac/cabinet/05216987/4967576218771.jpg?fitin=700:700,3319.2000,,インテリア・寝具・収納 > ライト・照明 > シーリングライト（天井照明） > その他,アイリスオーヤマリモコン付LEDシーリングライト 「5.0シリーズ」（～6畳） CL6D5.0KH 調光（昼光色） (CL6D50KH),,■大きさUPしながらも、すっきりとしたデザイン<br>■発光面を天井から離すことで、天井まで明るさが広がり、お部屋を広く見せることが出来ます<br>■ランプ寿命が約40000時間と長寿命です<br>■従来の商品よりもスマートでボタンが大きく使いやすくなっています<br>■工事が不要で、今お使いの器具をそのままで付け替えが簡単にできます<br><br>■本体サイズ： 幅×高さ×奥行き（mm）： 約500×93×500<br>■本体重量： 約1200g<br>■器具光束： 3699lm<br>■適用畳数： ～6畳<br>■定格電圧： AC100V（50/60Hz）<br>■色温度： 昼光色相当<br>■定格消費電力： 約30.8W<br>■発光効率： 120lm/W<br>■設計寿命： 40000時間<br>■調光： 10段階<br>■リモコン機能： 明かりメモリ、切タイマー10分・30分,アイリスオーヤマリモコン付LEDシーリングライト 「5.0シリーズ」（～6畳） CL6D5.0KH 調光（昼光色） (CL6D50KH)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンアイリスオーヤマリモコン付LEDシーリングライト 「5.0シリーズ」（～6畳） CL6D5.0KH 調光（昼光色） (CL6D50KH),アイリスオーヤマリモコン付LEDシーリングライト 「5.0シリーズ」（～6畳） CL6D5.0KH 調光（昼光色） (CL6D50KH)[rn]
17-4103,http://tshop.r10s.jp/akibamac/cabinet/05275152/4967576259996.jpg?fitin=700:700,7984.0000,,インテリア・寝具・収納 > ライト・照明 > シーリングライト（天井照明） > その他,【送料無料】アイリスオーヤマ リモコン付LEDシーリングライト （～8畳） CL8DL-FEIII 調光・調色（昼光色～電球色） (CL8DLFEIII),,発光効率150ml/W達成のシンプルなデザインでどんな部屋にでも合うLEDシーリングライト・調色機能でシーンに合わせてお部屋の雰囲気をチェンジ<br><br>■リモコン操作で、調光10段階＋調色11段階+常夜灯2段階切り替え。<br>■おやすみタイマー（10分、30分）は設定後徐々に暗くなり設定時間で消灯する機能で、おやすみ時の消し忘れ防止に役立ちます。<br>■工事が不要で、今お使いのシーリングライトから付け替えが簡単にできます。<br><br>【製品仕様】<br>■適用畳数： ～8畳用<br>■定格電圧： 100V（50/60Hz）<br>■定格消費電力： 約25.3W<br>■器具光束： 3800lm<br>■設計寿命： 40000時間<br>■調光/調色/常夜灯： 10/11/2段階<br>■タイマー： おやすみ30分<br>■発光効率： 150lm/W<br>,【送料無料】アイリスオーヤマ リモコン付LEDシーリングライト （～8畳） CL8DL-FEIII 調光・調色（昼光色～電球色） (CL8DLFEIII)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】アイリスオーヤマ リモコン付LEDシーリングライト （～8畳） CL8DL-FEIII 調光・調色（昼光色～電球色） (CL8DLFEIII),【送料無料】アイリスオーヤマ リモコン付LEDシーリングライト （～8畳） CL8DL-FEIII 調光・調色（昼光色～電球色） (CL8DLFEIII)[rn]
17-4104,http://tshop.r10s.jp/akibamac/cabinet/05216987/4967576218870.jpg?fitin=700:700,5184.0000,,インテリア・寝具・収納 > ライト・照明 > シーリングライト（天井照明） > その他,【送料無料】アイリスオーヤマリモコン付LEDシーリングライト 「5.0シリーズ」（～8畳） CL8D5.0KC 調光（昼光色） (CL8D50KC),,■ボタン数を減らし、操作らくらく！手にフィットするデザインで、ON/OFFが行いやすくなっています！<br>■コンパクトサイズでもしっかり明るい<br>■ランプ寿命が約40000時間と長寿命です<br>■工事が不要で、今お使いの器具をそのままで付け替えが簡単にできます<br>■調光10段階で明るさ調節可能<br><br>■本体サイズ： 幅×高さ×奥行き（mm）： 約450×100×450<br>■本体重量： 約1100g<br>■器具光束： 4000lm<br>■適用畳数： ～8畳<br>■定格電圧： AC100V（50/60Hz）<br>■色温度： 昼光色相当<br>■定格消費電力： 約40W<br>■設計寿命： 40000時間<br>■調光： 10段階<br>■リモコン機能： 明かりメモリ、切タイマー30分,【送料無料】アイリスオーヤマリモコン付LEDシーリングライト 「5.0シリーズ」（～8畳） CL8D5.0KC 調光（昼光色） (CL8D50KC)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】アイリスオーヤマリモコン付LEDシーリングライト 「5.0シリーズ」（～8畳） CL8D5.0KC 調光（昼光色） (CL8D50KC),【送料無料】アイリスオーヤマリモコン付LEDシーリングライト 「5.0シリーズ」（～8畳） CL8D5.0KC 調光（昼光色） (CL8D50KC)[rn]
17-4105,http://tshop.r10s.jp/akibamac/cabinet/05438457/4967576217316.jpg?fitin=700:700,14240.0000,,インテリア・寝具・収納 > ライト・照明 > シーリングライト（天井照明） > その他,【送料無料】アイリスオーヤマリモコン付ＬＥＤシーリングライト（～8畳） CL8DL-FEＩＩ 調色 (CL8DLFE2),,平成27年度、省エネ大賞商品の姉妹モデル！150lm/Wの省エネモデル決定版！,【送料無料】アイリスオーヤマリモコン付ＬＥＤシーリングライト（～8畳） CL8DL-FEＩＩ 調色 (CL8DLFE2)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】アイリスオーヤマリモコン付ＬＥＤシーリングライト（～8畳） CL8DL-FEＩＩ 調色 (CL8DLFE2),【送料無料】アイリスオーヤマリモコン付ＬＥＤシーリングライト（～8畳） CL8DL-FEＩＩ 調色 (CL8DLFE2)[rn]
17-4106,http://tshop.r10s.jp/akibamac/cabinet/05275152/4967576260008.jpg?fitin=700:700,9440.0000,,インテリア・寝具・収納 > ライト・照明 > シーリングライト（天井照明） > その他,【送料無料】アイリスオーヤマ リモコン付LEDシーリングライト （～12畳） CL12D-FEIII 調光 （昼光色） (CL12DFEIII),,発光効率150ml/W達成のシンプルなデザインでどんな部屋にでも合うLEDシーリングライト<br><br>■リモコン操作で、調光10段階＋常夜灯2段階切り替え。<br>■おやすみタイマー（10分、30分）は設定後徐々に暗くなり設定時間で消灯する機能で、おやすみ時の消し忘れ防止に役立ちます。<br>■工事が不要で、今お使いのシーリングライトから付け替えが簡単にできます。<br><br>【製品仕様】<br>■適用畳数： ～12畳用<br>■定格電圧： 100V（50/60Hz）<br>■定格消費電力： 約33.3W<br>■器具光束： 5000lm<br>■設計寿命： 40000時間<br>■調光/常夜灯： 10/2段階<br>■タイマー： おやすみ30分<br>■発光効率： 150lm/W<br>,【送料無料】アイリスオーヤマ リモコン付LEDシーリングライト （～12畳） CL12D-FEIII 調光 （昼光色） (CL12DFEIII)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】アイリスオーヤマ リモコン付LEDシーリングライト （～12畳） CL12D-FEIII 調光 （昼光色） (CL12DFEIII),【送料無料】アイリスオーヤマ リモコン付LEDシーリングライト （～12畳） CL12D-FEIII 調光 （昼光色） (CL12DFEIII)[rn]
17-4107,http://tshop.r10s.jp/akibamac/cabinet/05438457/4968912700356.jpg?fitin=700:700,6842.4000,,インテリア・寝具・収納 > ライト・照明 > シーリングライト（天井照明） > その他,【送料無料】スワン電器LED小型シーリングライト （2000lm） CE-2000 (CE2000),,クラス最高の明るさ2000ルーメンのLED小型シーリング。,【送料無料】スワン電器LED小型シーリングライト （2000lm） CE-2000 (CE2000)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】スワン電器LED小型シーリングライト （2000lm） CE-2000 (CE2000),【送料無料】スワン電器LED小型シーリングライト （2000lm） CE-2000 (CE2000)[rn]
17-4108,http://tshop.r10s.jp/akibamac/cabinet/04946799/4904323772599.jpg?fitin=700:700,11281.6000,,インテリア・寝具・収納 > ライト・照明 > シーリングライト（天井照明） > その他,【送料無料】NEC リモコン・感震機能付LEDシーリングライト （～8畳） HLDCKB0877SG,,■ Wの大光量<br>　生活シーンに合わせた光色選択の楽しみが格段に広がります。昼白色でも昼光色でも適用畳数内ではMAXの明るさとなります。<br><br>■Wの安心でいつもの安心と、もしもの安心をご提供します<br>　ホタルック機能で照明を消してもほのかに光るオリジナル機能が安心をお届けします。感震センサ機能付きなので地震発生時や停電時に点灯、アラームでお知らせしもしもの時の安心をお届けします<br><br>■NEC独自の配光技術　ワイドアングルシステム<br>　LED光源を広範囲に配置し、外周部拡散レンズと内周部拡散レンズを新設計。LEDの光をお部屋の隅々まで効率よく届けます。<br><br>■長期間の安心【5年保証】<br>　LED照明器具のLED光源及びLED電源は5年間の保証。<br><br>※畳数表記のあるLEDシーリング及びLEDペンダントが対象となります。<br>※照明器具本体の保証期間はお買い上げ日より1年間です。<br>※LEDキッチンライト、その他の家庭用照明器具の保証期間は、お買い上げ日より1年間です。<br>※電池などの消耗品やセード（グローブ、カバー）・リモコン送信機は、対象外とさせていただきます。<br><br>■本体サイズ： 外径×高さ（mm）： 564×140<br>■本体重量： 2.6kg<br>■セード： シンプルアクリルセード<br>■消費効率： 126.4lm/W<br>■定格光束： 4299lm<br>■消費電力： 34.0W<br>■モジュール寿命： 40000時間<br>■適用畳数： ～8畳,【送料無料】NEC リモコン・感震機能付LEDシーリングライト （～8畳） HLDCKB0877SG：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】NEC リモコン・感震機能付LEDシーリングライト （～8畳） HLDCKB0877SG,【送料無料】NEC リモコン・感震機能付LEDシーリングライト （～8畳） HLDCKB0877SG[rn]
17-4109,http://tshop.r10s.jp/akibamac/cabinet/05122502/4904323772520.jpg?fitin=700:700,7064.0000,,インテリア・寝具・収納 > ライト・照明 > シーリングライト（天井照明） > その他,【送料無料】NECLEDシーリングライト （6畳） HLDCA0673 調光・調色（昼光色～電球色）,,■NEC独自の配光技術　マルチアングルシステム<br>蛍光灯器具の環形ランプのイメージに併せ、円周状に光源を配置。マルチ拡散カバーにより、直進性のあるLEDの光を均等に拡散させ、広範囲をムラなく照らします。蛍光灯器具から交換された場合でも、違和感なくご使用いただけます。<br><br>■連続・多段調光機能リモコン<br>連続調光（100％～約10％）<br>多段調光（100％～10％）（10段階）<br><br>■調光調色モデルだからお部屋のシーンに合わせてご使用いただけます<br>さわやかな昼光色と癒しの電球色が混合し、自然な光を発します。お好みのお色を調節できます。<br>従来蛍光ランプ（昼光色）とほぼ同じ色温度6700K<br>色の再現性を示した演色評価数は、満足のRa85です。<br><br>■長期間の安心【5年保証】<br>LED照明器具のLED光源及びLED電源は5年間の保証※畳数表記のあるLEDシーリング及びLEDペンダントが対象となります。※照明器具本体の保証期間はお買い上げ日より1年間です。※LEDキッチンライト、その他の家庭用照明器具の保証期間は、お買い上げ日より1年間です。※電池などの消耗品やセード（グローブ、カバー）・リモコン送信機は、対象外とさせていただきます。<br><br>【製品仕様】<br>本体サイズ： 外径×高さ（mm）： 458×148<br>本体重量： 1.6kg<br>スリープタイマー： 30分・60分<br>セード： 乳白色アクリルグローブ<br>消費効率： 115.5lm/W<br>定格光束： 3699lm<br>消費電力： 32W<br>モジュール寿命： 40000時間,【送料無料】NECLEDシーリングライト （6畳） HLDCA0673 調光・調色（昼光色～電球色）：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】NECLEDシーリングライト （6畳） HLDCA0673 調光・調色（昼光色～電球色）,【送料無料】NECLEDシーリングライト （6畳） HLDCA0673 調光・調色（昼光色～電球色）[rn]
17-4110,http://tshop.r10s.jp/akibamac/cabinet/04946799/4904323772636.jpg?fitin=700:700,16089.6000,,インテリア・寝具・収納 > ライト・照明 > シーリングライト（天井照明） > その他,【送料無料】NEC リモコン・感震機能付LEDシーリングライト （～12畳） HLDCKD1292SG,,■ Wの大光量<br>　生活シーンに合わせた光色選択の楽しみが格段に広がります。昼白色でも昼光色でも適用畳数内ではMAXの明るさとなります。<br><br>■Wの安心でいつもの安心と、もしもの安心をご提供します<br>　ホタルック機能で照明を消してもほのかに光るオリジナル機能が安心をお届けします。感震センサ機能付きなので地震発生時や停電時に点灯、アラームでお知らせしもしもの時の安心をお届けします<br><br>■NEC独自の配光技術　ワイドアングルシステム<br>　LED光源を広範囲に配置し、外周部拡散レンズと内周部拡散レンズを新設計。LEDの光をお部屋の隅々まで効率よく届けます。<br><br>■長期間の安心【5年保証】<br>　LED照明器具のLED光源及びLED電源は5年間の保証。<br><br>※畳数表記のあるLEDシーリング及びLEDペンダントが対象となります。<br>※照明器具本体の保証期間はお買い上げ日より1年間です。<br>※LEDキッチンライト、その他の家庭用照明器具の保証期間は、お買い上げ日より1年間です。<br>※電池などの消耗品やセード（グローブ、カバー）・リモコン送信機は、対象外とさせていただきます。<br><br>■本体サイズ： 外径×高さ（mm）： 554×146<br>■本体重量： 2.7kg<br>■セード： スケルトン地Wシルバー飾り、アクリルセード<br>■消費効率： 130.9lm/W<br>■定格光束： 5499lm<br>■消費電力： 42.0W<br>■モジュール寿命： 40000時間<br>■適用畳数： ～12畳,【送料無料】NEC リモコン・感震機能付LEDシーリングライト （～12畳） HLDCKD1292SG：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】NEC リモコン・感震機能付LEDシーリングライト （～12畳） HLDCKD1292SG,【送料無料】NEC リモコン・感震機能付LEDシーリングライト （～12畳） HLDCKD1292SG[rn]
17-4111,http://tshop.r10s.jp/akibamac/cabinet/04946799/4904323772667.jpg?fitin=700:700,22296.0000,,インテリア・寝具・収納 > ライト・照明 > シーリングライト（天井照明） > その他,【送料無料】NEC リモコン・感震機能付LEDシーリングライト （～12畳） HLDCKD1275SG,,■Wの安心でいつもの安心と、もしもの安心をご提供します<br>　ホタルック機能で照明を消してもほのかに光るオリジナル機能が安心をお届けします。感震センサ機能付きなので地震発生時や停電時に点灯、アラームでお知らせしもしもの時の安心をお届けします<br><br>■NEC独自の配光技術　ワイドアングルシステム<br>　LED光源を広範囲に配置し、外周部拡散レンズと内周部拡散レンズを新設計。LEDの光をお部屋の隅々まで効率よく届けます。<br><br>■長期間の安心【5年保証】<br>　LED照明器具のLED光源及びLED電源は5年間の保証。<br><br>※畳数表記のあるLEDシーリング及びLEDペンダントが対象となります。<br>※照明器具本体の保証期間はお買い上げ日より1年間です。<br>※LEDキッチンライト、その他の家庭用照明器具の保証期間は、お買い上げ日より1年間です。<br>※電池などの消耗品やセード（グローブ、カバー）・リモコン送信機は、対象外とさせていただきます。<br><br>■本体サイズ： 外径×高さ（mm）： 560×158<br>■本体重量： 3.5kg<br>■セード： 木製格子枠、アクリルセード<br>■消費効率： 119.0lm/W<br>■定格光束： 5000lm<br>■消費電力： 42.0W<br>■モジュール寿命： 40000時間<br>■適用畳数： ～12畳,【送料無料】NEC リモコン・感震機能付LEDシーリングライト （～12畳） HLDCKD1275SG：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】NEC リモコン・感震機能付LEDシーリングライト （～12畳） HLDCKD1275SG,【送料無料】NEC リモコン・感震機能付LEDシーリングライト （～12畳） HLDCKD1275SG[rn]
