18-8001,,579.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒東京硝子器械/ＴＧＫ【801530610】(4954319) 赤液棒状温度計　０～１００℃　３００Ｌ 受注単位1,研究管理用品\理化学・クリーンルーム用品\実験用器具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●有機液体を赤色に着色し見やすくしています。<br><br><br>●温度範囲(℃)：0～+100<br>●質量(g)：21<br>●全長(mm)：300<br><br>●1目盛：1℃<br><br>●本体：ガラス<br>●液部：有機液体<br>",『カード対応OK！』■〒東京硝子器械/ＴＧＫ【801530610】(4954319) 赤液棒状温度計　０～１００℃　３００Ｌ 受注単位1：クローバー資材館,『カード対応OK！』■〒東京硝子器械/ＴＧＫ【801530610】(4954319) 赤液棒状温度計　０～１００℃　３００Ｌ 受注単位1,研究管理用品\理化学・クリーンルーム用品\実験用器具。『カード対応OK！』■〒東京硝子器械/ＴＧＫ【801530610】(4954319) 赤液棒状温度計　０～１００℃　３００Ｌ 受注単位1[rn]
18-8002,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004346542.jpg?fitin=700:700,80537.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（有）クリーンクロス/ＨＵＢＹ　フラットスワイプ（導電プラ軸使用）　１２５００本入【FS-010】() 受注単位1,研究管理用品\理化学・クリーンルーム用品\綿棒,,『カード対応OK！』■〒（有）クリーンクロス/ＨＵＢＹ　フラットスワイプ（導電プラ軸使用）　１２５００本入【FS-010】() 受注単位1：クローバー資材館,『カード対応OK！』■〒（有）クリーンクロス/ＨＵＢＹ　フラットスワイプ（導電プラ軸使用）　１２５００本入【FS-010】() 受注単位1,研究管理用品\理化学・クリーンルーム用品\綿棒。『カード対応OK！』■〒（有）クリーンクロス/ＨＵＢＹ　フラットスワイプ（導電プラ軸使用）　１２５００本入【FS-010】() 受注単位1[rn]
18-8003,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005212691.jpg?fitin=700:700,11232.0000,,花・ガーデン・DIY > DIY・工具 > その他,∀『カード対応OK！』■〒トクヤマ/トクヤマ　キャビトレー　追加天板【FT-52】() 受注単位1,研究管理用品\研究機器\保管庫,※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。<br>,&forall;『カード対応OK！』■〒トクヤマ/トクヤマ　キャビトレー　追加天板【FT-52】() 受注単位1：クローバー資材館,&forall;『カード対応OK！』■〒トクヤマ/トクヤマ　キャビトレー　追加天板【FT-52】() 受注単位1,研究管理用品\研究機器\保管庫。&forall;『カード対応OK！』■〒トクヤマ/トクヤマ　キャビトレー　追加天板【FT-52】() 受注単位1[rn]
18-8004,,2505.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒フロンケミカル/フロンケミカル 研究用品【NR1042-003】(3916171) フロンケミカル ＰＦＡストレート・ユニオン(Ｆロックシール)ＳＦＵ－10 発注単位1,研究管理用品\理化学・クリーンルーム用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●耐薬品性・耐熱性・非粘着性・高電気絶縁性・滑り性に優れています。<br>
●フッ素樹脂チューブの接続に使用します。<br>
●Ｆロックシールは別売のグルービングカッターでチューブ外側に溝を入れ取り付け、使用ができます。<br>
●グルービングカッターが無くても強く固定することができますが耐圧性は落ちます。<br>
●適用チューブ外径(mm):10<br>
●適用流体:酸、アルカリなど<br>
●PFA/PTFE<br>
●標準はＦロックシール仕様ですがソロバン玉仕様もございますので、お問い合わせ願います。",■〒フロンケミカル/フロンケミカル 研究用品【NR1042-003】(3916171) フロンケミカル ＰＦＡストレート・ユニオン(Ｆロックシール)ＳＦＵ&minus;10 発注単位1：クローバー資材館,■〒フロンケミカル/フロンケミカル 研究用品【NR1042-003】(3916171) フロンケミカル ＰＦＡストレート・ユニオン(Ｆロックシール)ＳＦＵ&minus;10 発注単位1,研究管理用品\理化学・クリーンルーム用品。■〒フロンケミカル/フロンケミカル 研究用品【NR1042-003】(3916171) フロンケミカル ＰＦＡストレート・ユニオン(Ｆロックシール)ＳＦＵ&minus;10 発注単位1[rn]
18-8005,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002903360.jpg?fitin=700:700,77143.2000,,花・ガーデン・DIY > DIY・工具 > その他,∀『カード対応OK！』■〒新光化成/新光　塩ビ流し台　（一槽シンク）【SN-60】() 受注単位1,研究管理用品\研究機器\実験台,※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。<br>,&forall;『カード対応OK！』■〒新光化成/新光　塩ビ流し台　（一槽シンク）【SN-60】() 受注単位1：クローバー資材館,&forall;『カード対応OK！』■〒新光化成/新光　塩ビ流し台　（一槽シンク）【SN-60】() 受注単位1,研究管理用品\研究機器\実験台。&forall;『カード対応OK！』■〒新光化成/新光　塩ビ流し台　（一槽シンク）【SN-60】() 受注単位1[rn]
18-8006,,2478.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アイトス/アイトス ウェア【59705-001-XL】(3800253) アイトス 静電スリッパ 白 ＸＬ 発注単位1,研究管理用品\理化学・クリーンルーム用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●摩擦に強い高密度ウレタン底を採用しています。<br>
●外底・中底を厚くしたクッション性の良い仕様です。<br>
●底意匠は歩行時の足の屈曲ラインにあわせ、曲げやすく疲れにくく、耐すべ性に優れています。<br>
●色:ホワイト<br>
●サイズ:XL<br>
●静電気帯電防止性能(新JIS T 8103相当)<br>
●表面抵抗値:2.2×10[[の8乗]]Ω（0℃測定時）<br>
●足幅サイズ：EEE<br>
●表材:人工皮革（ウレタン系）<br>
●裏底:高密度ウレタン",■〒アイトス/アイトス ウェア【59705-001-XL】(3800253) アイトス 静電スリッパ 白 ＸＬ 発注単位1：クローバー資材館,■〒アイトス/アイトス ウェア【59705-001-XL】(3800253) アイトス 静電スリッパ 白 ＸＬ 発注単位1,研究管理用品\理化学・クリーンルーム用品。■〒アイトス/アイトス ウェア【59705-001-XL】(3800253) アイトス 静電スリッパ 白 ＸＬ 発注単位1[rn]
18-8007,,7812.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ミドリ安全/ミドリ安全　トウガード付　先芯入りクリーン静電靴　フード　２３．５ＣＭ【SCR1200FCAP-H-23.5】(4059557) 受注単位1,研究管理用品\理化学・クリーンルーム用品\シューズ,,『カード対応OK！』■〒ミドリ安全/ミドリ安全　トウガード付　先芯入りクリーン静電靴　フード　２３．５ＣＭ【SCR1200FCAP-H-23.5】(4059557) 受注単位1：クローバー資材館,『カード対応OK！』■〒ミドリ安全/ミドリ安全　トウガード付　先芯入りクリーン静電靴　フード　２３．５ＣＭ【SCR1200FCAP-H-23.5】(4059557) 受注単位1,研究管理用品\理化学・クリーンルーム用品\シューズ。『カード対応OK！』■〒ミドリ安全/ミドリ安全　トウガード付　先芯入りクリーン静電靴　フード　２３．５ＣＭ【SCR1200FCAP-H-23.5】(4059557) 受注単位1[rn]
18-8008,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004361791.jpg?fitin=700:700,4104.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒田村総業/田村　ベルトスリング　Ｐタイプ　３Ｅ　３５×３．０【PE0350300】(3903401) 受注単位1,物流保管用品\吊りクランプ・吊りベルト\ベルトスリング,,『カード対応OK！』■〒田村総業/田村　ベルトスリング　Ｐタイプ　３Ｅ　３５&times;３．０【PE0350300】(3903401) 受注単位1：クローバー資材館,『カード対応OK！』■〒田村総業/田村　ベルトスリング　Ｐタイプ　３Ｅ　３５&times;３．０【PE0350300】(3903401) 受注単位1,物流保管用品\吊りクランプ・吊りベルト\ベルトスリング。『カード対応OK！』■〒田村総業/田村　ベルトスリング　Ｐタイプ　３Ｅ　３５&times;３．０【PE0350300】(3903401) 受注単位1[rn]
18-8009,,12448.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ ツールワゴン【RBW-873HU YG】(8183198) ＴＲＵＳＣＯ ラビットワゴン 700Ｘ450 ハンドル付 ウレタン車輪 ＹＧ色 発注単位1,物流保管用品\ツールワゴン,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●車輪と共に車軸もロックするダブルロック仕様のキャスターです。<br>
●最大積載量(kg/台):180<br>
●均等積載量(kg/段):50<br>
●色:ヤンググリーン<br>
●間口(mm):700<br>
●奥行(mm):450<br>
●高さ(mm):810<br>
●段数(段):3<br>
●キャスター:自在式 75mm（2個）・自在式（Wストッパー付） 75mm（2個）<br>
●キャスター:自在式 75mm（2個） 自在式（Wストッパー付） 75mm（2個）<br>
●車輪:ウレタン<br>
●キャスター金具:スチール（クロムメッキ仕上げ）<br>
●キャスター金具:スチール（クロムメッキ仕上げ）",■〒トラスコ中山/ＴＲＵＳＣＯ ツールワゴン【RBW-873HU YG】(8183198) ＴＲＵＳＣＯ ラビットワゴン 700Ｘ450 ハンドル付 ウレタン車輪 ＹＧ色 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ ツールワゴン【RBW-873HU YG】(8183198) ＴＲＵＳＣＯ ラビットワゴン 700Ｘ450 ハンドル付 ウレタン車輪 ＹＧ色 発注単位1,物流保管用品\ツールワゴン。■〒トラスコ中山/ＴＲＵＳＣＯ ツールワゴン【RBW-873HU YG】(8183198) ＴＲＵＳＣＯ ラビットワゴン 700Ｘ450 ハンドル付 ウレタン車輪 ＹＧ色 発注単位1[rn]
18-8010,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003858023.jpg?fitin=700:700,6544.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三鈴工機/三鈴　スチール製固定脚　ＫＧ型支持脚【KG-2080】() 受注単位1,物流保管用品\コンベヤ\スチールローラーコンベヤ,,『カード対応OK！』■〒三鈴工機/三鈴　スチール製固定脚　ＫＧ型支持脚【KG-2080】() 受注単位1：クローバー資材館,『カード対応OK！』■〒三鈴工機/三鈴　スチール製固定脚　ＫＧ型支持脚【KG-2080】() 受注単位1,物流保管用品\コンベヤ\スチールローラーコンベヤ。『カード対応OK！』■〒三鈴工機/三鈴　スチール製固定脚　ＫＧ型支持脚【KG-2080】() 受注単位1[rn]
18-8011,,35565.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒Ｍｏｖｅｘｘ社/Ｍｏｖｅｘｘ【H0067】(7669470) Ｍｏｖｅｘｘ　牽引用フック　２３ｍｍ 受注単位1,物流保管用品\運搬車輌機器\運搬車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●Ｔ１０００用の牽引フックです。<br>●幅23cmまでのワークを引掛けることが可能です。<br><br><br>●全幅(mm)：250<br>●品名：牽引用フック23mm<br><br><br>",『カード対応OK！』■〒Ｍｏｖｅｘｘ社/Ｍｏｖｅｘｘ【H0067】(7669470) Ｍｏｖｅｘｘ　牽引用フック　２３ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｍｏｖｅｘｘ社/Ｍｏｖｅｘｘ【H0067】(7669470) Ｍｏｖｅｘｘ　牽引用フック　２３ｍｍ 受注単位1,物流保管用品\運搬車輌機器\運搬車。『カード対応OK！』■〒Ｍｏｖｅｘｘ社/Ｍｏｖｅｘｘ【H0067】(7669470) Ｍｏｖｅｘｘ　牽引用フック　２３ｍｍ 受注単位1[rn]
