19-155801,http://tshop.r10s.jp/akibamac/cabinet/04674095/4580096420310.jpg?fitin=700:700,8408.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,【送料無料】KENNERTONカナル型イヤホン LAGUZ（ラグズ）,,・航空機グレードのアルミハウジング<br>・8mmドライバー、マイラー製ダイアフラム<br>・無酸素銅ケーブル<br>・耐久性があり、絡みにくい編込ケーブル<br>・レザーハードケース付き<br>・多種多様なイヤーチップ<br><br>LAGUZはKENNERTONシリーズの中で最も手頃なイヤホンですが、それは品質に妥協したという意味ではありません。LAGUZは他のモデルと同じような品質と卓越性の原理に基づいてデザインされた製品です。<br>LAGUZのドライバーとハウジングは最初から同時に設計され、完全にマッチするように慎重に製造されました。独自性を持った高性能なダイナミック8mmのドライバーは、同価格帯以上のイヤホンと比べても比類のない明瞭さと精度を誇ります。,【送料無料】KENNERTONカナル型イヤホン LAGUZ（ラグズ）：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】KENNERTONカナル型イヤホン LAGUZ（ラグズ）,【送料無料】KENNERTONカナル型イヤホン LAGUZ（ラグズ）[rn]
19-155802,http://tshop.r10s.jp/akibamac/cabinet/01796642/4961310602260.jpg?fitin=700:700,304.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,audio-technica/オーディオテクニカ ファインフィット スペアイヤピース（ブラック/Mサイズ用6個入り） ER-CKM55M BK,,◆ATH-CKM55以降採用の新設計イヤピース2009年8月以降に発売された、オーディオテクニカ製インナーイヤーヘッドホンの多くに採用されているファインフィットタイプのイヤピース。抜け落ちにくい新設計が施されています。【適合機種】AT-VM100、ATH-BT02.BT02T、ATH-CK303S.CK303M、ATH-CK500S.CK500M、ATH-CKM55,audio-technica/オーディオテクニカ ファインフィット スペアイヤピース（ブラック/Mサイズ用6個入り） ER-CKM55M BK：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンaudio-technica/オーディオテクニカ ファインフィット スペアイヤピース（ブラック/Mサイズ用6個入り） ER-CKM55M BK,audio-technica/オーディオテクニカ ファインフィット スペアイヤピース（ブラック/Mサイズ用6個入り） ER-CKM55M BK[rn]
19-155803,http://tshop.r10s.jp/akibamac/cabinet/04354752/4961310131340.jpg?fitin=700:700,1504.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,オーディオテクニカ ATH-CK330M PK(インナーイヤーヘッドホン/ピンク) (ATHCK330MPK),,快適なフィット感で高音質リスニングが楽しめる小型ボディのインナーイヤーヘッドホン。,オーディオテクニカ ATH-CK330M PK(インナーイヤーヘッドホン/ピンク) (ATHCK330MPK)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンオーディオテクニカ ATH-CK330M PK(インナーイヤーヘッドホン/ピンク) (ATHCK330MPK),オーディオテクニカ ATH-CK330M PK(インナーイヤーヘッドホン/ピンク) (ATHCK330MPK)[rn]
19-155804,http://tshop.r10s.jp/akibamac/cabinet/05286693/4549325025337.jpg?fitin=700:700,49312.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,【送料無料】MASTER&DYNAMICブルートゥースヘッドホン Master&Dynamic MW60 BLACK/BLACK MW60B1-BLK (MW60B1BLK),,Bluetooth ワイヤレスヘッドホン「MW60」にオールブラックカラーモデルが登場<br><br>◆Bluetooth ワイヤレスヘッドホン「MW60」は、”最も先進的なモダン・シンキングキャップ“というコンセプトを掲げ、ケーブルから開放される事により、今まで以上に音楽に集中してインスパイアを得ることができる最先端のサウンドツールとして開発を進めました。高い耐久性と強度を誇るこのBluetooth ヘッドホンは、音質面においても優位性を発揮する厳選された素材を採用し、リッチかつウォームなサウンドを提供します。さらに独自の「form-meets-function」構造とステレンススティールの採用により、耐久性やデザインを妥協することなく、クラス最高レベルのBluetooth 受信感度を実現。ストレスフリーでワイヤレスリスニングをお楽しみ頂けます。<br><br>【製品仕様】<br>■ドライバー：45mm ネオジウム<br>■インピーダンス：32 Ω<br>■素材：プレミアムグレインレザー、ラムレザー、ステンレススティール、アルミニウム<br>■接続端子：4 極 3.5ｍｍインプット、microUSB ケーブル（充電、ファームウェアアップデート用）<br>■ヘッドホンタイプ：密閉型（着脱式イヤーカップ）<br>■マイクロフォン：全方位マイクロホン<br>■Ｂｌｕｅｔｏｏｔｈ：バージョン 4.1　プロファイル：A2DP、AVRCP、HFP<br>■電源：バッテリー：内蔵リチウムポリマーバッテリー 300mAh 3.7V<br>■充電時間/駆動時間：約3 時間/約16 時間<br>■サイズ重量 ：約200mm x 185mm x 50mm　約345g,【送料無料】MASTER&amp;DYNAMICブルートゥースヘッドホン Master&amp;Dynamic MW60 BLACK/BLACK MW60B1-BLK (MW60B1BLK)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】MASTER&amp;DYNAMICブルートゥースヘッドホン Master&amp;Dynamic MW60 BLACK/BLACK MW60B1-BLK (MW60B1BLK),【送料無料】MASTER&amp;DYNAMICブルートゥースヘッドホン Master&amp;Dynamic MW60 BLACK/BLACK MW60B1-BLK (MW60B1BLK)[rn]
19-155805,http://tshop.r10s.jp/akibamac/cabinet/05264069/4531465044293.jpg?fitin=700:700,4770.4000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,【送料無料】RADIUS【ハイレゾ音源対応】 カナル型イヤホン(レッド) HP-NEH31R 1.2mコード (HPNEH31R),,■ハイレゾ対応小型ドライバー搭載<br>・広帯域再生を実現した新開発振動板を採用した高感度ハイレゾ対応小型ドライバー搭載。小型ながら高感度のドライバーユニット(Φ8.6mm)がハイレゾ音源を豊かに再生します。<br><br>■高剛性アルミハウジング<br>・筺体は高剛性アルミハウジングを採用。不要な振動を抑制し、明るく澄んだ中高域を実現しました。<br><br>■上質で屈曲性、弾力性に優れたナイロンケーブル<br>・高編組密度構造により、上質で屈曲性、弾力性に優れたナイロンケーブルを採用しました。<br><br>■ディープマウントイヤーピース<br>・ディープマウントイヤーピースは従来型と異なり、耳のより奥でイヤーピースがフィットするため、安定した装着感と豊かな楽曲再生を実現します。<br><br>【製品仕様】<br>■型式：ダイナミック型<br>■ドライバー 径：Φ8.6mm<br>■出力音圧レベル：102±3 dB<br>■再生周波数帯域：20Hz～40.000Hz<br>■最大入力：100mW<br>■インピーダンス：16Ω±15%<br>■プラグ：Φ3.5mm 金メッキステレオミニプラグ<br>■ケーブル長さ：約120cm (Y型)タイプ ナイロン被膜<br>■付属品：イヤーピース(XS、S、M、L)×各1セット、取扱説明書/保証書,【送料無料】RADIUS【ハイレゾ音源対応】 カナル型イヤホン(レッド) HP-NEH31R 1.2mコード (HPNEH31R)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】RADIUS【ハイレゾ音源対応】 カナル型イヤホン(レッド) HP-NEH31R 1.2mコード (HPNEH31R),【送料無料】RADIUS【ハイレゾ音源対応】 カナル型イヤホン(レッド) HP-NEH31R 1.2mコード (HPNEH31R)[rn]
19-155806,http://tshop.r10s.jp/akibamac/cabinet/04674095/0796435301613.jpg?fitin=700:700,20800.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,【送料無料】NUFORCE【ハイレゾ音源対応】［マイク付］カナル型イヤホン（ブルー） HEM2BLU,,■印象的なパフォーマンス<br>ハイレゾ対応バランスドアーマチュアドライバー技術をベースに、細かなディテールの再生にも重きを置いています。その結果、非常に高速なトランジェントスピードで高出力、ほとんど気にならないほどの低歪みで音楽の一貫性を届けるイヤフォンシリーズなのです。極端な電気的インピーダンスや位相の変動も少なく、スマートフォン、タブレット、PC、またはヘッドフォンアンプなどとの使用も可能です。<br><br>■ハイレゾ対応バランスドアーマチュアドライバー<br>HEMイヤフォンには複数のKnowlesバランスドアーマチュアドライバーが搭載されています。これらのドライバーはハイレゾオーディオに対応しており、シームレスで高精度にバランスを保つよう調整されています。個々のドライバーは特定の周波数帯域に最適化されています。<br><br>■直線位相クロスオーバー<br>究極のパフォーマンスを目標に、NuForce エンジニアは真の直線位相クロスオーバー設計を達成する最新のPC モデリングツールを採用しました。この設計により低歪み性能や周波数直線性を犠牲にしません。<br><br>■除振Lexanイヤーピース<br>フィット感、快適性、そしてパフォーマンス向上のため、さらには聴き疲れを避けるため、音響を考慮して作られた除振Lexanイヤーピースを採用。イヤーピースは頑丈で軽量です。サウンドノズルの角度と直径は最高のパフォーマンスのために最適化されています。<br><br>■2本の取り外し可能なイヤフォンケーブル<br>1本目は外出用にマイクロフォンとインラインリモート付き、もう1本は最高のパフォーマンスのためのハイエンドケーブルです。ハイエンドケーブルは手作りで、優れたOFC（無酸素銅）と銀から製造されています。2ピンケーブルコネクタはチャンネル毎に個別にグラウンドリターンしている銀と銅の特許の融合体で作られています。どちらのケーブルもマイクロフォンの影響もなく絡まることもありません。<br><br>■バランスドアーマチュアドライバー<br>HEMイヤフォンは各々の耳に複数のドライバーを使用することで、フルレンジのプロ仕様スピーカー技術を再現しています。バランスドアーマチュアドライバーは小型サイズなので、複数のドライバーでフルレンジのサウンドフィールドを作り上げるために一体化させることが可能です。その結果、大音量時でも鮮明さを保ち、超低音量時でも細部までディテールを再現することが可能な、真に迫った豊かで正確なサウンドになるのです。<br><br>■パフォーマンス<br>バランスドアーマチュアドライバー型のイヤフォンに滅多に見られない信じられないほどの滑らかな周波数特性、非常に高速なトランジェントスピードとパーカッション音の立ち上がりを再現できる直線位相応答、人間の聴覚の限界をはるかに超えたダイナミックなピークの再現にも十分な非常に高い出力性能、そしてほとんどわからないレベルの低歪みを獲得。<br><br>■たくさんのアクセサリ<br>最大限の快適性のため、密着して滑らないフィット感の2種類のイヤーチップが付属。外耳道に完璧にフィットするようそれ自体が成形して優れたアイソレーションと性能を可能にするComplyソフトの高性能な記憶保持フォームイヤーチップも含まれています。パッケージには防水密閉ポリカーボネートケース、小型キャリーケース、クリーニングツールとエアラインアダプタも付属されています。<br><br>【製品仕様】<br>ケーブル長：1m38cm(OFC、Mic 付き共通)<br>ドライバータイプ：Knowelsハイレゾバランスドアーマチュア<br>ドライバー：1ドライバー/ch<br>最大入力：113dB<br>インピーダンス：26Ω<br>最大出力：2mW<br>マイクロフォン能率：-42±5dB<br>再生周波数特性：20Hz-40kHz<br>重量（ケーブル除く）：3.4g,【送料無料】NUFORCE【ハイレゾ音源対応】［マイク付］カナル型イヤホン（ブルー） HEM2BLU：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】NUFORCE【ハイレゾ音源対応】［マイク付］カナル型イヤホン（ブルー） HEM2BLU,【送料無料】NUFORCE【ハイレゾ音源対応】［マイク付］カナル型イヤホン（ブルー） HEM2BLU[rn]
19-155807,http://tshop.r10s.jp/akibamac/cabinet/04659382/4571263352657.jpg?fitin=700:700,18370.4000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,【送料無料】GERMANMAESヘッドホン(ブラック) GMP 8.35 D Monitor 1.5mコード (GMP8.35DMONITOR),,Made in German ハンドメイドによる繊細な音質と卓越した機能美。ドイツ職人の技術が生んだプロ用ヘッドホン,【送料無料】GERMANMAESヘッドホン(ブラック) GMP 8.35 D Monitor 1.5mコード (GMP8.35DMONITOR)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】GERMANMAESヘッドホン(ブラック) GMP 8.35 D Monitor 1.5mコード (GMP8.35DMONITOR),【送料無料】GERMANMAESヘッドホン(ブラック) GMP 8.35 D Monitor 1.5mコード (GMP8.35DMONITOR)[rn]
19-155808,http://tshop.r10s.jp/akibamac/cabinet/05050739/4907034110872.jpg?fitin=700:700,19830.4000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,【送料無料】beyerdynamic（ベイヤーダイナミック）モニターヘッドホン DT 770 PRO 80 (DT770PRO80),,■パワフルなサウンドを提供する演奏者向けの80Ω仕様。<br><br>■ケーブルは、3.0mのストレートケーブルを採用。<br><br>■ケーブル同士が絡みにくく余裕のある長さでホームユースにも最適。<br><br>■屋外でも使いやすい密閉型ヘッドホン<br><br>■低域の響きを高めるバスレフテクノロジー<br><br>■快適な装着感を提供する柔らかいパッドで包まれた丈夫なアジャスタブルヘッドバンド<br><br>■キャリングポーチ付属<br><br>【製品仕様】<br>■型式：ダイナミック・密閉型、オーバーイヤー<br>■周波数特性：5Hz～35000Hz<br>■感度（SPL）：96db<br>■インピーダンス：80Ω<br>■許容入力：100mW<br>■ケーブル：3.0m片出しストレート<br>■コネクター：3.5mmステレオミニプラグ、6.3mmステレオ標準プラグアダプター<br>■質量：270g<br>■付属品：キャリングポーチ,【送料無料】beyerdynamic（ベイヤーダイナミック）モニターヘッドホン DT 770 PRO 80 (DT770PRO80)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】beyerdynamic（ベイヤーダイナミック）モニターヘッドホン DT 770 PRO 80 (DT770PRO80),【送料無料】beyerdynamic（ベイヤーダイナミック）モニターヘッドホン DT 770 PRO 80 (DT770PRO80)[rn]
19-155809,http://tshop.r10s.jp/akibamac/cabinet/04441141/4961310128845.jpg?fitin=700:700,5837.6000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,【送料無料】オーディオテクニカヘッドホン(ホワイト) ATH-PRO5MK3 WH (ATHPRO5MK3WH),,着脱コードを採用し本格的なDJプレイからポータブル機器での楽曲編集まで対応するDJヘッドホン,【送料無料】オーディオテクニカヘッドホン(ホワイト) ATH-PRO5MK3 WH (ATHPRO5MK3WH)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】オーディオテクニカヘッドホン(ホワイト) ATH-PRO5MK3 WH (ATHPRO5MK3WH),【送料無料】オーディオテクニカヘッドホン(ホワイト) ATH-PRO5MK3 WH (ATHPRO5MK3WH)[rn]
19-155810,http://tshop.r10s.jp/akibamac/cabinet/03892613/4043941085015.jpg?fitin=700:700,12128.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,【送料無料】ULTRASONE DJ1(密閉型ダイナミックヘッドホン),,シルバーハウジングとDJロゴが目を引く、スタイリッシュなモデル。このシルバー部分は光が当たると微弱に反射し、クラブのスターであるDJパフォーマーの存在を引き立てます。,【送料無料】ULTRASONE DJ1(密閉型ダイナミックヘッドホン)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ULTRASONE DJ1(密閉型ダイナミックヘッドホン),【送料無料】ULTRASONE DJ1(密閉型ダイナミックヘッドホン)[rn]
19-155811,http://tshop.r10s.jp/akibamac/cabinet/04487524/4907034120680.jpg?fitin=700:700,13800.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,【送料無料】beyerdynamic(ベイヤーダイナミック)ヘッドホン DT100,,海外のスタジオや放送局で愛用されているモニタリング用ヘッドホン。,【送料無料】beyerdynamic(ベイヤーダイナミック)ヘッドホン DT100：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】beyerdynamic(ベイヤーダイナミック)ヘッドホン DT100,【送料無料】beyerdynamic(ベイヤーダイナミック)ヘッドホン DT100[rn]
