19-165801,http://tshop.r10s.jp/hotroadparts/cabinet/1405/7140513200_1.jpg?fitin=700:700,955.2000,,車用品・バイク用品 > カー用品 > カーアクセサリー > 日除け用品 > フロントガラス用,大自工業/Meltec：サンシェード アクア(NHP10系)専用 フロントガラス用 消臭 抗菌 AQW-10,あす楽対応,10系アクア専用のフロントサンシェードです。<br><br>暑い日差しをさえぎり車内を熱から守ります。<br>断熱効果、光りで消臭、抗菌効果もあります！<br><br>また、通常シートの2枚重ねで、車内温度上昇を軽減！<br>酸化チタンの触媒作用で、悪臭の元や細菌の増殖を抑制します。<br><br><br>アクア専用設計のため10系アクアにジャストフィット！<br><br><br>●サイズ：1300(W)×850(H)mm<br>●材質：アルミニウム パウダーコート<br>●吸盤：3個<br><br>●メーカー品番：AQW-10<br>●メーカー：大自動車工業/大自工業/メルテック<br><br>,大自工業/Meltec：サンシェード アクア(NHP10系)専用 フロントガラス用 消臭 抗菌 AQW-10：カー用品通販のホットロードパーツ,大自工業/Meltec：サンシェード アクア(NHP10系)専用 フロントガラス用 消臭 抗菌 AQW-10,あす楽対応。大自工業/Meltec：サンシェード アクア(NHP10系)専用 フロントガラス用 消臭 抗菌 AQW-10[rn]
19-165802,http://tshop.r10s.jp/hotroadparts/cabinet/1208/7120817706_1.jpg?fitin=700:700,355.2000,,車用品・バイク用品 > カー用品 > カーアクセサリー > 日除け用品 > フロントガラス用,ミラリード：純正風 ヨーロピアンシェード ドットタイプ Lサイズ 車検対応 SZ-66,あす楽対応スモークフィルム,ミニバンなど背の高い車種に最適。<br><br>ルームミラーと天井の間から差す眩しい日射しをカットする純正調ドットタイプのシェードです。<br><br>ガラスに糊が残りにくい特殊な糊を使用していますので貼ったりはがしたり繰り返し使えます。<br><br>面倒な接着剤やテープ類はいりません。<br><br>ガラスにそのまま簡単に貼れます。<br><br>車内の色褪せ防止にも最適。<br><br>お肌に有害な紫外線カット。<br><br>◇仕様<br>●カラー：ドットブラック<br>●サイズ：H160×W480(mm)<br><br><br>,ミラリード：純正風 ヨーロピアンシェード ドットタイプ Lサイズ 車検対応 SZ-66：カー用品通販のホットロードパーツ,ミラリード：純正風 ヨーロピアンシェード ドットタイプ Lサイズ 車検対応 SZ-66,あす楽対応スモークフィルム。ミラリード：純正風 ヨーロピアンシェード ドットタイプ Lサイズ 車検対応 SZ-66[rn]
19-165803,http://tshop.r10s.jp/amcom/cabinet/banner1/mel/mel-kps-100p.jpg?fitin=700:700,873.6000,,車用品・バイク用品 > カー用品 > カーアクセサリー > 日除け用品 > フロントガラス用,KPS-100P メルテック 大自工業 サンシェード 軽自動車用フロントシェード レギュラーサイズ ピンク KPS100P 夏期商品 夏物,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで,"<TABLE border=""0"" bgcolor=""#000000"" cellspacing=""1"" cellpadding=""3"">    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">品名</TD>      <TD bgcolor=""#ffffff"">軽自動車用フロントシェード　レギュラーサイズ【ピンク】</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">品番</TD>      <TD bgcolor=""#ffffff"">KPS-100P</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">特長</TD>      <TD bgcolor=""#ffffff"">軽自動車用・日よけシリーズ</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">商品サイズ</TD>      <TD bgcolor=""#ffffff"">約1300ｍｍ（ヨコ）×約600ｍｍ（タテ）</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">材質</TD>      <TD bgcolor=""#ffffff"">アルミパウダーコート</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">吸盤</TD>      <TD bgcolor=""#ffffff"">3個止め</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">発売元</TD>      <TD bgcolor=""#ffffff"">大自工業株式会社</TD>    </TR></TABLE><table border=""0"">      <tr>      <td><img src=""http://image.rakuten.co.jp/amcom/cabinet/decoration/review_s_down.gif"" border=""0"" width=""100%""></td>    </tr>  </table>",KPS-100P メルテック 大自工業 サンシェード 軽自動車用フロントシェード レギュラーサイズ ピンク KPS100P 夏期商品 夏物：バッテリーウェブコム楽天市場店,バッテリー激安販売価格充電器バイク車通販yuasaバッテリユアサボッシュカオス46b24l40B19LYT4L-BS日立オプティメート古河55D23LKPS-100P メルテック 大自工業 サンシェード 軽自動車用フロントシェード レギュラーサイズ ピンク KPS100P 夏期商品 夏物,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで。KPS-100P メルテック 大自工業 サンシェード 軽自動車用フロントシェード レギュラーサイズ ピンク KPS100P 夏期商品 夏物[rn]
19-165804,http://tshop.r10s.jp/amcom/cabinet/banner1/mel/mel-kps-110y.jpg?fitin=700:700,873.6000,,車用品・バイク用品 > カー用品 > カーアクセサリー > 日除け用品 > フロントガラス用,KPS-110Y メルテック 大自工業 サンシェード 軽自動車用フロントシェード レギュラーサイズ イエロー KPS110Y 夏期商品 夏物,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで,"<TABLE border=""0"" bgcolor=""#000000"" cellspacing=""1"" cellpadding=""3"">    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">品名</TD>      <TD bgcolor=""#ffffff"">軽自動車用フロントシェード　レギュラーサイズ【イエロー】</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">品番</TD>      <TD bgcolor=""#ffffff"">KPS-110Y</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">特長</TD>      <TD bgcolor=""#ffffff"">軽自動車用・日よけシリーズ</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">商品サイズ</TD>      <TD bgcolor=""#ffffff"">約1300ｍｍ（ヨコ）×約600ｍｍ（タテ）</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">材質</TD>      <TD bgcolor=""#ffffff"">アルミパウダーコート</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">吸盤</TD>      <TD bgcolor=""#ffffff"">3個止め</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">発売元</TD>      <TD bgcolor=""#ffffff"">大自工業株式会社</TD>    </TR></TABLE><table border=""0"">      <tr>      <td><img src=""http://image.rakuten.co.jp/amcom/cabinet/decoration/review_s_down.gif"" border=""0"" width=""100%""></td>    </tr>  </table>",KPS-110Y メルテック 大自工業 サンシェード 軽自動車用フロントシェード レギュラーサイズ イエロー KPS110Y 夏期商品 夏物：バッテリーウェブコム楽天市場店,バッテリー激安販売価格充電器バイク車通販yuasaバッテリユアサボッシュカオス46b24l40B19LYT4L-BS日立オプティメート古河55D23LKPS-110Y メルテック 大自工業 サンシェード 軽自動車用フロントシェード レギュラーサイズ イエロー KPS110Y 夏期商品 夏物,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで。KPS-110Y メルテック 大自工業 サンシェード 軽自動車用フロントシェード レギュラーサイズ イエロー KPS110Y 夏期商品 夏物[rn]
19-165805,http://tshop.r10s.jp/amcom/cabinet/banner1/mel/mel-kps-120b.jpg?fitin=700:700,873.6000,,車用品・バイク用品 > カー用品 > カーアクセサリー > 日除け用品 > フロントガラス用,KPS-120B メルテック 大自工業 サンシェード 軽自動車用フロントシェード レギュラーサイズ ブルー KPS120B 夏期商品 夏物,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで,"<TABLE border=""0"" bgcolor=""#000000"" cellspacing=""1"" cellpadding=""3"">    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">品名</TD>      <TD bgcolor=""#ffffff"">軽自動車用フロントシェード　レギュラーサイズ【ブルー】</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">品番</TD>      <TD bgcolor=""#ffffff"">KPS-120B</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">特長</TD>      <TD bgcolor=""#ffffff"">軽自動車用・日よけシリーズ</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">商品サイズ</TD>      <TD bgcolor=""#ffffff"">約1300ｍｍ（ヨコ）×約600ｍｍ（タテ）</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">材質</TD>      <TD bgcolor=""#ffffff"">アルミパウダーコート</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">吸盤</TD>      <TD bgcolor=""#ffffff"">3個止め</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">発売元</TD>      <TD bgcolor=""#ffffff"">大自工業株式会社</TD>    </TR></TABLE><table border=""0"">      <tr>      <td><img src=""http://image.rakuten.co.jp/amcom/cabinet/decoration/review_s_down.gif"" border=""0"" width=""100%""></td>    </tr>  </table>",KPS-120B メルテック 大自工業 サンシェード 軽自動車用フロントシェード レギュラーサイズ ブルー KPS120B 夏期商品 夏物：バッテリーウェブコム楽天市場店,バッテリー激安販売価格充電器バイク車通販yuasaバッテリユアサボッシュカオス46b24l40B19LYT4L-BS日立オプティメート古河55D23LKPS-120B メルテック 大自工業 サンシェード 軽自動車用フロントシェード レギュラーサイズ ブルー KPS120B 夏期商品 夏物,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで。KPS-120B メルテック 大自工業 サンシェード 軽自動車用フロントシェード レギュラーサイズ ブルー KPS120B 夏期商品 夏物[rn]
19-165806,http://tshop.r10s.jp/amcom/cabinet/banner1/mel/mel-psw-30.jpg?fitin=700:700,1096.8000,,車用品・バイク用品 > カー用品 > カーアクセサリー > 日除け用品 > フロントガラス用,サンシェード プリウス 専用 ZVW30系 PSW-30 夏期商品 夏物 大自工業 メルテック PSW30,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで,"<TABLE border=""0"">     <TR>      <TD bgcolor=""#00cccc"" align=""center""><B>材質</B></TD>      <TD align=""center"">アルミニウム、パウダーコート<BR>      吸盤…PVC</TD>    </TR>    <TR>      <TD bgcolor=""#00cccc"" align=""center""><B>吸盤</B></TD>      <TD align=""center"">3個</TD>    </TR>    <TR>      <TD bgcolor=""#00cccc"" align=""center""><B>本体サイズ / 重量</B></TD>      <TD align=""center"">約1370(W)×880(H)mm<BR>約466g</TD>    </TR>    <TR>      <TD bgcolor=""#00cccc"" align=""center""><B>パッケージサイズ</B></TD>      <TD align=""center"">約220(W)×955(H)×45(D)mm</TD>    </TR>    <TR>      <TD bgcolor=""#00cccc"" align=""center""><B>本体重量</B></TD>      <TD align=""center"">約466g</TD>    </TR>    <TR>      <TD bgcolor=""#00cccc"" align=""center""><B>アウトカートンサイズ</B></TD>      <TD align=""center"">約530(W)×900(H)×500(D)mm</TD>    </TR>    <TR>      <TD bgcolor=""#00cccc"" align=""center""><B>アウトカートン重量</B></TD>      <TD align=""center"">約17.65kg</TD>    </TR>    <TR>      <TD bgcolor=""#00cccc"" align=""center""><B>カートン入数</B></TD>      <TD align=""center"">30</TD>    </TR>    <TR>      <TD bgcolor=""#00cccc"" align=""center""><B>JANコード</B></TD>      <TD align=""center"">4906918 205413</TD>    </TR>    <TR>      <TD colspan=""2""><IMG src=""http://image.rakuten.co.jp/amcom/cabinet/banner1/mel/mel-psw-30ma.jpg"" border=""0"" alt=""mel-psw-30ma"" width=""100%""></TD>    </TR>    <TR>      <TD colspan=""2""><IMG src=""http://image.rakuten.co.jp/amcom/cabinet/banner1/mel/mel-psw-30mb.jpg"" border=""0"" alt=""mel-psw-30mb"" width=""100%""></TD>    </TR> </TABLE>
<table border=""0"">      <tr>      <td><img src=""http://image.rakuten.co.jp/amcom/cabinet/decoration/review_s_down.gif"" border=""0"" width=""100%""></td>    </tr>  </table>",サンシェード プリウス 専用 ZVW30系 PSW-30 夏期商品 夏物 大自工業 メルテック PSW30：バッテリーウェブコム楽天市場店,バッテリー激安販売価格充電器バイク車通販yuasaバッテリユアサボッシュカオス46b24l40B19LYT4L-BS日立オプティメート古河55D23Lサンシェード プリウス 専用 ZVW30系 PSW-30 夏期商品 夏物 大自工業 メルテック PSW30,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで。サンシェード プリウス 専用 ZVW30系 PSW-30 夏期商品 夏物 大自工業 メルテック PSW30[rn]
19-165807,http://tshop.r10s.jp/amcom/cabinet/banner1/mel/mel-sps-04a.jpg?fitin=700:700,680.8000,,車用品・バイク用品 > カー用品 > カーアクセサリー > 日除け用品 > フロントガラス用,SPS-04 サンシェード 車 消臭・抗菌 LLサイズ よこ1m60cm×たて90cm 夏期商品 SPS04 メルテック 大自工業 夏物,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで,"<TABLE border=""0"" bgcolor=""#000000"" cellspacing=""1"" cellpadding=""3"">    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">品名</TD>      <TD bgcolor=""#ffffff"">消臭・抗菌シェード 【LLサイズ】</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">品番</TD>      <TD bgcolor=""#ffffff"">SPS-04</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">特長</TD>      <TD bgcolor=""#ffffff"">消臭・抗菌・日よけシリーズ</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">商品サイズ</TD>      <TD bgcolor=""#ffffff"">約1600ｍｍ（ヨコ）×約900ｍｍ（タテ）</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">材質</TD>      <TD bgcolor=""#ffffff"">アルミパウダーコート</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">吸盤</TD>      <TD bgcolor=""#ffffff"">2個止め</TD>    </TR>    <TR>      <TD bgcolor=""#cafdfc"" align=""center"">発売元</TD>      <TD bgcolor=""#ffffff"">大自工業株式会社</TD>    </TR></TABLE><table border=""0"">      <tr>      <td><img src=""http://image.rakuten.co.jp/amcom/cabinet/decoration/review_s_down.gif"" border=""0"" width=""100%""></td>    </tr>  </table>",SPS-04 サンシェード 車 消臭・抗菌 LLサイズ よこ1m60cm&times;たて90cm 夏期商品 SPS04 メルテック 大自工業 夏物：バッテリーウェブコム楽天市場店,バッテリー激安販売価格充電器バイク車通販yuasaバッテリユアサボッシュカオス46b24l40B19LYT4L-BS日立オプティメート古河55D23LSPS-04 サンシェード 車 消臭・抗菌 LLサイズ よこ1m60cm&times;たて90cm 夏期商品 SPS04 メルテック 大自工業 夏物,エントリーでポイント5倍 04/14(金) 10:00-04/17(月) 09:59まで。SPS-04 サンシェード 車 消臭・抗菌 LLサイズ よこ1m60cm&times;たて90cm 夏期商品 SPS04 メルテック 大自工業 夏物[rn]
19-165808,http://tshop.r10s.jp/groovy-gbt/cabinet/02132296/9/imgrc0065791481.jpg?fitin=700:700,1022.4000,,車用品・バイク用品 > カー用品 > カーアクセサリー > 日除け用品 > フロントガラス用,サンバイザー UVカット デイ＆ナイト ボタン式伸縮タイプ,紫外線UVカット！夜間は対向車の眩しさガード！,"スモーク　サンバイザー ブラック＆イエロー
<br />
視界確保 UVカット 日焼け+夜間対向車光対策
<br />
<br />
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""350"">
  <tr>
    <td align=""center"">
      <img src=""http://image.rakuten.co.jp/groovy-gbt/cabinet/02132296/9/imgrc0065791481.jpg"" width=""350"" />
    </td>
  </tr>
  <tr>
    <td align=""center"">
      <img src=""http://image.rakuten.co.jp/groovy-gbt/cabinet/02132296/9/imgrc0065791483.jpg"" width=""350"" />
    </td>
  </tr>
  <tr>
    <td align=""center"">
      <img src=""http://image.rakuten.co.jp/groovy-gbt/cabinet/02132296/9/imgrc0065791484.jpg"" width=""350"" />
    </td>
  </tr>
  <tr>
    <td align=""center"">
      <img src=""http://image.rakuten.co.jp/groovy-gbt/cabinet/02132296/9/imgrc0065791485.jpg"" width=""350"" />
    </td>
  </tr>
  <tr>
    <td>
      <font color=""#333333"" size=""-1"">
        <br />
        簡単取り付けできる昼夜兼用カーサンバイザーです！
        <br />
        日中の太陽の眩しさや、夜の対向車のヘッドライトの眩しさをカットしてくれます。
        <br />
        車のサンバイザーに取付けるだけで簡単に設置でき安全運転をサポートします！
      </font>
      <br />
      <br />
    </td>
  </tr>
  <tr>
    <td>
      <p>
        <font color=""#333333"" size=""-1"">
          <br />
          ■本体サイズ
          <br />
          サイズ：W約33cm　H約12cm　D約2.5mm
          <br />
          ※保護フィルムをはがしてからお使いください
          <br />
          <br />
        </font>
      </p>
    </td>
  </tr>
  <tr>
    <td>
      <p>
        <font color=""#FF0000"" size=""-1"">
          <br />
          ※運転席へ装着する場合は【自己責任】にて 運転に支障がないようお願い致します。
          <br />
          <br />
          ※できる限り水平な場所へ取り付けてください。
          <br />
          角度が急な場所への取り付けは落下の恐れがあります。ご注意ください。
          <br />
          <br />
          ※新品ですが、稀に汚れや傷等がある場合がございますが、ご了承下さい。
          <br />
          ※外観及び仕様は予告なく変更になる場合もございます。
          <br />
          <br />
          ※製品の初期不良に関して、商品到着より1週間程度であれば交換などの対応をさせていただきますが、
          <br />
          その他工賃等の製品以外に発生したいかなる費用も一切保証いたしません。ご理解頂けない方はご遠慮下さい。
          <br />
          <br />
          <br />
        </font>
      </p>
    </td>
  </tr>
</table><br>
<table width=""350"" border=""0"" cellpadding=""0"" cellspacing=""0"">
  <tr>
    <td><img src=""http://image.rakuten.co.jp/groovy-gbt/cabinet/02132296/9/imgrc0065791481.jpg"" width=""175"" border=""0""></td>
    <td><img src=""http://image.rakuten.co.jp/groovy-gbt/cabinet/02132296/03102444/img61509641.jpg"" width=""175"" border=""0""></td>
  </tr>
</table>",サンバイザー UVカット デイ＆ナイト ボタン式伸縮タイプ：Groovy,アクア　カスタムヴェルファイア　アルファードプリウスαハイエース200系プリウスプリウス 30 後期ハンモック　自立式汎用 パワーウインドウ キットチェーン　スプレー車 内装 ドレスアップデイライトアクア　ドレスアップヴェルファイア カスタムトヨタ アクア カスタムアクアカスタムNBOXLEDライトledヘッドライトプリウス カスタムt10 LEDサンバイザー UVカット デイ＆ナイト ボタン式伸縮タイプ,紫外線UVカット！夜間は対向車の眩しさガード！。サンバイザー UVカット デイ＆ナイト ボタン式伸縮タイプ[rn]
19-165809,http://tshop.r10s.jp/hotroadtoyohashi/cabinet/1604/7160408201_1.jpg?fitin=700:700,400.0000,,車用品・バイク用品 > カー用品 > カーアクセサリー > 日除け用品 > フロントガラス用,大自工業/Meltec：サンシェード シングルパークシェード Mサイズ 1300×700mm フロントガラス用 消臭 抗菌 PBS-11,【10000円～送料無料】【取寄せ商品】,自動車のフロントガラス用サンシェード<br>シングルタイプ<br><br><br>●空気層で遮光&消臭抗菌<br>●熱とUVから車内を守る！<br><br><br>【仕様】<br>本体サイズ：Mサイズ 約1300（W）×700（H）mm<br>材質：アルミニウム パウダーコート<br>吸盤：2個<br>重さ：約150g<br>メーカー：大自工業 Meltec<br>品番：PBS-11<br><br><br>【サンシェード適合目安】<br>●トヨタ<br>アイシス、アクア、ヴィッツ<br>オーリス、スペイド、ハリアー<br>ピクシス エポック、ポルテ<br>ラクティス、ist、RAV4、SAI<br>●ホンダ<br>アコード HV、ヴェゼル HV<br>グレイス HV、CR-Z<br>●ニッサン<br>ウイングロード、ジューク、ティアナ<br>デイズ、ノート、ムラーノ<br>リーフ、NV200<br> ●マツダ<br>アクセラ、アテンザ、デミオ、プレマシー<br>CX-3、CX-5<br> ●ミツビシ<br>アウトランダー、デリカ D：3、RVR<br>●ダイハツ<br>ムーヴ、ムーヴ カスタム、ミラ<br>●スバル<br>エクシーガ、ステラ、ステラ カスタム<br>XV、プレオ、レヴォーグ<br>レガシー アウトバック/B4、WRX<br>●スズキ<br>アルト、キザシ、ソリオ、ワゴンR<br>SX4 S-CROSS<br>●レクサス<br>GS、HS、LS、NX、RC<br><br>,大自工業/Meltec：サンシェード シングルパークシェード Mサイズ 1300&times;700mm フロントガラス用 消臭 抗菌 PBS-11：カー用品のHot Road Second Shop,大自工業/Meltec：サンシェード シングルパークシェード Mサイズ 1300&times;700mm フロントガラス用 消臭 抗菌 PBS-11,【10000円～送料無料】【取寄せ商品】。大自工業/Meltec：サンシェード シングルパークシェード Mサイズ 1300&times;700mm フロントガラス用 消臭 抗菌 PBS-11[rn]
19-165810,http://tshop.r10s.jp/hotroadtoyohashi/cabinet/1603/7160331208_1.jpg?fitin=700:700,1984.0000,,車用品・バイク用品 > カー用品 > カーアクセサリー > 日除け用品 > フロントガラス用,大型スクリーンサンバイザー 昼夜使える2色 カーバイザー スライド式 視界を確保 遮光/大自工業 メルテック SV-03,,純正バイザーに取り付ける遮光カーバイザー<br><br>ミニバン・乗用車・ハイト軽自動車に最適！<br>大型スクリーンがまぶしい光をカット！<br><br><br>■昼も夜も視界をしっかり確保<br>昼はサングラス効果で日差しを防ぐ！<br>夜は対向車のヘッドライト光を和らげる！<br>雪の日は視界を見やすくする！ <br><br>■色々な角度からの光に対応<br>スライド幅：左右に約155mm/前後に約65mm<br><br>■ストッパー機能を装備<br>安全面を考慮し、それぞれのスクリーンに垂れ落ちないようストッパーを装備<br><br>■UVカット率99％±<br>■可視光線透過率：8％<br> ※スモークスクリーンのみ<br><br><br>【取付可能サイズ】<br>純正サンバイザー奥行：約290mm以下/厚み：約25mm以下<br><br><br>【仕様】<br>スクリーンサイズ：約345(W)×165(H)mm<br> 本体サイズ(折りたたみ時) ：約345(W)×220mm(H)×60(D)mm<br>重量：約460g <br>メーカー：大自工業 メルテック/Meltec<br> 品番：SV-03<br><br>,大型スクリーンサンバイザー 昼夜使える2色 カーバイザー スライド式 視界を確保 遮光/大自工業 メルテック SV-03：カー用品のHot Road Second Shop,大型スクリーンサンバイザー 昼夜使える2色 カーバイザー スライド式 視界を確保 遮光/大自工業 メルテック SV-03,大型スクリーンサンバイザー 昼夜使える2色 カーバイザー スライド式 視界を確保 遮光/大自工業 メルテック SV-03[rn]
19-165811,http://tshop.r10s.jp/hotroad/cabinet/1206/7120615801_1.jpg?fitin=700:700,740.8000,,車用品・バイク用品 > カー用品 > カーアクセサリー > 日除け用品 > フロントガラス用,ディズニー/Disney カーズ サンシェード レッド 1300×700mm フロントガラス用 ナポレックス:DC-53,夏の必需品！自動車用サンシェード！,アナタのお車がカーズに大変身！大人気ディズニー映画カーズのサンシェードです。<br>お子様ウケ間違いなしの大人気商品です。<br><br>吸盤固定タイプが新登場！<br><br><br>●フロントガラスに取り付けることで、アルミコーティングシートにより強烈な太陽光をさえぎり車内の温度上昇とダッシュボードや装着品の劣化を軽減します。<BR>●左右2ヶ所の吸盤取り付けなので、脱着も簡単でフロントガラスに固定することができます。<BR>●中央部のU形カットで、フロントガラスにミラーが付いている車種でも取り付けられます。<BR>●本製品はコンパクトに折りたたみ可能。収納に便利なゴムベルト付きです。<br><br><br>■仕様■<br>メーカー：ナポレックス<br>品番：DC-53<br>カラー：レッド<br>サイズ：H700×W1300×D3mm<br>吸盤：2個<br><br>*お車によってはサイズが足りない場合もございます。ご使用予定のお車のサイズを必ずご確認ください。<br>*他のサイズはございません。<br><br>,ディズニー/Disney カーズ サンシェード レッド 1300&times;700mm フロントガラス用 ナポレックス:DC-53：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットディズニー/Disney カーズ サンシェード レッド 1300&times;700mm フロントガラス用 ナポレックス:DC-53,夏の必需品！自動車用サンシェード！。ディズニー/Disney カーズ サンシェード レッド 1300&times;700mm フロントガラス用 ナポレックス:DC-53[rn]
