20-140801,http://tshop.r10s.jp/plus1tools/cabinet/ts-59/t010006445667.jpg?fitin=700:700,23752.0000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,運賃見積り 直送品 TRUSCO パレット台車 1200x1000 PLK-05-1210,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●フォークリフトの進入できない狭い通路で効果的です。<br>
●別売の固定キャスター（TK-150C）も取り付けが可能です。<br>
<br>
<br>
<br>
【仕様】<br>
●高さ(mm):260<br>
●間口(mm):1200<br>
●奥行(mm):1000<br>
●適合パレット寸法(mm):1200×1000<br>
●最大静荷重(kg):500<br>
●組立式<br>
●150mm自在キャスター、150mm自在ストッパー付キャスター各2個<br>
<br>
【材質・仕上げ】<br>
●本体:スチール<br>
●本体表面処理:メラミン焼き付け塗装<br>
●車輪:ゴム車<br>
●キャスター金具:スチール<br>
<br>
【注意】<br>
●ハンドル使用時は、耐荷重500kgでご使用ください。<br>
<br>
【質量】<br>
●30KG</p>",運賃見積り 直送品 TRUSCO パレット台車 1200x1000 PLK-05-1210：プラスワンツールズ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得運賃見積り 直送品 TRUSCO パレット台車 1200x1000 PLK-05-1210,【代表画像 色/サイズ等注意】。運賃見積り 直送品 TRUSCO パレット台車 1200x1000 PLK-05-1210[rn]
20-140802,http://tshop.r10s.jp/plus1tools/cabinet/ts-38/t010005817122.jpg?fitin=700:700,1697.6000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,TRUSCO ハイテナー用不織布カバー グレー 820×620×1550mm THTN-1-GY,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●丈夫で軽いハイテナー用不織布カバーです。<br>
●不織布にコーティング加工を施してあり多少の水や汚れなどをはじきます。（防水加工ではありません）<br>
<br>
【用途】<br>
●カゴ車内の荷物の保護に。<br>
<br>
【仕様】<br>
●適用サイズ(mm):800×600×1700用<br>
●持ち手:スピンドル紐(ハトメ付)<br>
<br>
【材質・仕上げ】<br>
●ポリプロピレン不織布（ポリエチレンコート）<br>
<br>
【質量】<br>
●440G</p>",TRUSCO ハイテナー用不織布カバー グレー 820&times;620&times;1550mm THTN-1-GY：プラスワンツールズ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TRUSCO ハイテナー用不織布カバー グレー 820&times;620&times;1550mm THTN-1-GY,TRUSCO ハイテナー用不織布カバー グレー 820&times;620&times;1550mm THTN-1-GY[rn]
20-140803,http://tshop.r10s.jp/plus1tools/cabinet/ts-59/t010006445584.jpg?fitin=700:700,23644.0000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,運賃見積り 直送品 TRUSCO ネットパレットカー 1000X1200 S付 NC-12S,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●直進時にはロックして固定に、旋回時にはロックを解除して自在になる、プレート式キャスター付のため、取り回しが簡単です。<br>
●新ストッパー(TLS909-WJ2-BAR01)を採用しています。<br>
<br>
<br>
<br>
【仕様】<br>
●均等荷重(kg):500<br>
●高さ(mm):250<br>
●キャスター径(mm):150<br>
●間口(mm):1000<br>
●奥行(mm):1200<br>
●組立式<br>
●自在車旋回固定式φ150mmキャスター4個付<br>
<br>
【材質・仕上げ】<br>
●本体:スチール<br>
●本体表面処理:メラミン焼き付け塗装<br>
●キャスター金具:スチール<br>
●車輪:ゴム<br>
<br>
【質量】<br>
●40KG</p>",運賃見積り 直送品 TRUSCO ネットパレットカー 1000X1200 S付 NC-12S：プラスワンツールズ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得運賃見積り 直送品 TRUSCO ネットパレットカー 1000X1200 S付 NC-12S,【代表画像 色/サイズ等注意】。運賃見積り 直送品 TRUSCO ネットパレットカー 1000X1200 S付 NC-12S[rn]
20-140804,http://tshop.r10s.jp/plus1tools/cabinet/ts-13/t010002904194.jpg?fitin=700:700,58004.0000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,運賃見積り 直送品 ナカオ アルミ製台車「運ぱん君」 UK-2,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●（株）ナカオ<br>
<br>
【特長】<br>
●スチール製と比べて約35％の軽量化を実現しました。<br>
●アルマイト加工のため美観、衛生面に優れています。<br>
●トラック積載が大幅にアップし輸送効率燃費が向上し環境に優しいです。<br>
<br>
<br>
<br>
【仕様】<br>
●均等荷重(kg):500<br>
●外形寸法(mm)長さ×幅×高さ:800×1100×205<br>
●有効内寸(mm)長さ×幅×高さ:765×1030×1455<br>
●全高(mm):1700<br>
●キャスター径(mm):150<br>
●自在ストッパー付キャスター、自在キャスター各2個<br>
<br>
【材質・仕上げ】<br>
●本体:アルミ<br>
●床板:アルミ<br>
●キャスター金具:スチール<br>
●車輪:ウレタン<br>
<br>
【注意】<br>
●ゴムベルト別売です。<br>
●オプションで棚板もあります。<br>
<br>
【特記事項】<br>
●北海道・沖縄・離島は除く<br>
<br>
【質量】<br>
●33KG</p>",運賃見積り 直送品 ナカオ アルミ製台車「運ぱん君」 UK-2：プラスワンツールズ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得運賃見積り 直送品 ナカオ アルミ製台車「運ぱん君」 UK-2,運賃見積り 直送品 ナカオ アルミ製台車「運ぱん君」 UK-2[rn]
20-140805,http://tshop.r10s.jp/plus1tools/cabinet/ts-59/t010006445066.jpg?fitin=700:700,16888.0000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,運賃見積り 直送品 TRUSCO パレット台車用フレーム 1100x1100 PLK-05-1111F,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●フォークリフトの進入できない狭い通路で効果的です。<br>
●別売の固定キャスター（TK-150C）も取り付けが可能です。<br>
●標準的な自在90×90mm、固定100×56ピッチのキャスターを取り付けることができます。(別売)<br>
<br>
<br>
<br>
【仕様】<br>
●高さ(mm):60<br>
●間口(mm):1100<br>
●奥行(mm):1100<br>
●適合パレット寸法(mm):1100×1100<br>
●最大静荷重(kg):500<br>
●組立式<br>
<br>
【材質・仕上げ】<br>
●本体:スチール<br>
●本体表面処理:メラミン焼き付け塗装<br>
<br>
【注意】<br>
●こちらの商品はフレームのみですので、キャスターを別途購入ください。<br>
●ハンドル使用時は、耐荷重kgでご使用ください。<br>
<br>
【質量】<br>
●20KG</p>",運賃見積り 直送品 TRUSCO パレット台車用フレーム 1100x1100 PLK-05-1111F：プラスワンツールズ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得運賃見積り 直送品 TRUSCO パレット台車用フレーム 1100x1100 PLK-05-1111F,運賃見積り 直送品 TRUSCO パレット台車用フレーム 1100x1100 PLK-05-1111F[rn]
20-140806,http://tshop.r10s.jp/plus1tools/cabinet/ts-40/t010005852881.jpg?fitin=700:700,24127.2000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,運賃見積り 直送品 ワコー 床板スチール製カゴ車 WK-5,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●（株）ワコーパレット<br>
<br>
【特長】<br>
●カチオン電着塗装+粉体塗装の前にリン酸亜鉛処理を施すことにより、防錆力が格段にアップ。仕上がりがきれいで、野外使用時の光沢劣化がほとんど発生しません。<br>
<br>
<br>
<br>
【仕様】<br>
●均等荷重(kg):500<br>
●外形寸法(mm)長さ×幅×高さ:650×850×240<br>
●有効内寸(mm)長さ×幅×高さ:595×790×1460<br>
●全高(mm):1700<br>
●キャスター径(mm):150<br>
●床板ワンタッチ機構<br>
●自在ストッパー付キャスター、自在キャスター各2個<br>
●旋回仕様<br>
<br>
【材質・仕上げ】<br>
●本体・床板:スチール<br>
●本体表面処理:カチオン電着塗装+粉体塗装<br>
●キャスター金具:スチール<br>
●車輪:ジェンゴム<br>
<br>
【特記事項】<br>
●北海道・沖縄・離島は除く<br>
<br>
【質量】<br>
●45KG</p>",運賃見積り 直送品 ワコー 床板スチール製カゴ車 WK-5：プラスワンツールズ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得運賃見積り 直送品 ワコー 床板スチール製カゴ車 WK-5,【代表画像 色/サイズ等注意】。運賃見積り 直送品 ワコー 床板スチール製カゴ車 WK-5[rn]
20-140807,http://tshop.r10s.jp/plus1tools/cabinet/ts-59/t010006445051.jpg?fitin=700:700,21494.4000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,運賃見積り 直送品 TRUSCO ネットパレットカー 800X1000 NC-8,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●直進時にはロックして固定に、旋回時にはロックを解除して自在になる、プレート式キャスター付のため、取り回しが簡単です。<br>
<br>
<br>
<br>
【仕様】<br>
●均等荷重(kg):500<br>
●高さ(mm):250<br>
●キャスター径(mm):150<br>
●間口(mm):800<br>
●奥行(mm):1000<br>
●組立式<br>
●自在車旋回固定式φ150mmキャスター4個付<br>
<br>
【材質・仕上げ】<br>
●本体:スチール<br>
●本体表面処理:メラミン焼き付け塗装<br>
●キャスター金具:スチール<br>
●車輪:ゴム<br>
<br>
【注意】<br>
●ネットパレット固定金具は付いていません。<br>
<br>
【質量】<br>
●27KG</p>",運賃見積り 直送品 TRUSCO ネットパレットカー 800X1000 NC-8：プラスワンツールズ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得運賃見積り 直送品 TRUSCO ネットパレットカー 800X1000 NC-8,運賃見積り 直送品 TRUSCO ネットパレットカー 800X1000 NC-8[rn]
20-140808,http://tshop.r10s.jp/plus1tools/cabinet/ts-04/t010002607791.jpg?fitin=700:700,22569.6000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,運賃見積り 直送品 TRUSCO ハイテナー 800X600X1450 旋回仕様 THT-12C,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●優れた防錆力と汚れが付きにくい粉体塗装仕上げです。<br>
●折りたたんで収納できます。<br>
●商品の積み替え作業を大幅に省力化できます。<br>
<br>
【用途】<br>
●商店・工場・物流・倉庫・オフィスでの商品、荷物の配送に最適。<br>
<br>
【仕様】<br>
●均等荷重(kg):500<br>
●外形寸法(mm)長さ×幅×高さ:600×800×261<br>
●有効内寸(mm)長さ×幅×高さ:540×740×1190<br>
●全高(mm):1458<br>
●キャスター径(mm):150<br>
●色:緑<br>
●自在ストッパー付キャスター、自在キャスター各2個<br>
●棚板取付可能枚数:2枚<br>
<br>
【材質・仕上げ】<br>
●本体:スチール<br>
●本体表面処理:粉体塗装<br>
●床板:スチール<br>
●床板表面処理:粉体塗装<br>
●キャスター金具:スチール<br>
●車輪:ゴム<br>
<br>
【注意】<br>
●ゴムベルト、棚板、黒板はオプションです。<br>
<br>
【特記事項】<br>
●北海道・沖縄・離島は除く<br>
<br>
【質量】<br>
●46KG</p>",運賃見積り 直送品 TRUSCO ハイテナー 800X600X1450 旋回仕様 THT-12C：プラスワンツールズ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得運賃見積り 直送品 TRUSCO ハイテナー 800X600X1450 旋回仕様 THT-12C,【代表画像 色/サイズ等注意】。運賃見積り 直送品 TRUSCO ハイテナー 800X600X1450 旋回仕様 THT-12C[rn]
20-140809,http://tshop.r10s.jp/plus1tools/cabinet/ts-04/t010002607802.jpg?fitin=700:700,26492.0000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,運賃見積り 直送品 TRUSCO ハイテナー 1100X800X1700 直進仕様 THT-5A,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●優れた防錆力と汚れが付きにくい粉体塗装仕上げです。<br>
●折りたたんで収納できます。<br>
●商品の積み替え作業を大幅に省力化できます。<br>
<br>
【用途】<br>
●商店・工場・物流・倉庫・オフィスでの商品、荷物の配送に最適。<br>
<br>
【仕様】<br>
●均等荷重(kg):500<br>
●外形寸法(mm)長さ×幅×高さ:800×1100×261<br>
●有効内寸(mm)長さ×幅×高さ:740×1040×1440<br>
●全高(mm):1708<br>
●キャスター径(mm):150<br>
●色:緑<br>
●自在ストッパー付キャスター、固定キャスター各2個<br>
●棚板取付可能枚数:3枚<br>
<br>
【材質・仕上げ】<br>
●本体:スチール<br>
●本体表面処理:粉体塗装<br>
●床板:スチール<br>
●床板表面処理:粉体塗装<br>
●キャスター金具:スチール<br>
●車輪:ゴム<br>
<br>
【注意】<br>
●ゴムベルト、棚板、黒板はオプションです。<br>
<br>
【特記事項】<br>
●北海道・沖縄・離島は除く<br>
<br>
【質量】<br>
●63KG</p>",運賃見積り 直送品 TRUSCO ハイテナー 1100X800X1700 直進仕様 THT-5A：プラスワンツールズ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得運賃見積り 直送品 TRUSCO ハイテナー 1100X800X1700 直進仕様 THT-5A,運賃見積り 直送品 TRUSCO ハイテナー 1100X800X1700 直進仕様 THT-5A[rn]
20-140810,http://tshop.r10s.jp/plus1tools/cabinet/ts-59/t010006445063.jpg?fitin=700:700,25900.8000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,運賃見積り 直送品 TRUSCO パレット台車 1100x1100 S付 PLK-05-1111S,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●フォークリフトの進入できない狭い通路で効果的です。<br>
●別売の固定キャスター（TK-150C）も取り付けが可能です。<br>
●新ストッパー(TLS909-WJ2-BAR-01)を採用しています。<br>
<br>
<br>
<br>
【仕様】<br>
●高さ(mm):260<br>
●間口(mm):1100<br>
●奥行(mm):1100<br>
●適合パレット寸法(mm):1100×1100<br>
●最大静荷重(kg):500<br>
●組立式<br>
●150mm自在キャスター、150mm自在ストッパー付キャスター各2個<br>
<br>
【材質・仕上げ】<br>
●本体:スチール<br>
●本体表面処理:メラミン焼き付け塗装<br>
●車輪:ゴム車<br>
●キャスター金具:スチール<br>
<br>
【注意】<br>
●ハンドル使用時は、耐荷重500kgでご使用ください。<br>
<br>
【質量】<br>
●31KG</p>",運賃見積り 直送品 TRUSCO パレット台車 1100x1100 S付 PLK-05-1111S：プラスワンツールズ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得運賃見積り 直送品 TRUSCO パレット台車 1100x1100 S付 PLK-05-1111S,運賃見積り 直送品 TRUSCO パレット台車 1100x1100 S付 PLK-05-1111S[rn]
20-140811,http://tshop.r10s.jp/plus1tools/cabinet/ts-14/t010002969301.jpg?fitin=700:700,106536.8000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,運賃見積り 直送品 マイティー ロールボックスパレット 800x600 SUSφ150ゴム車 MC-1D,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●（株）本庄厨房機器製作所<br>
<br>
【特長】<br>
●汚れや湿気、水、海水など、どんな環境下でも丈夫で安心です。<br>
●洗浄剤・殺菌剤など、薬品の使用も可能なので、常に衛生的に活用していただけます。<br>
●廃棄処分も、オールステンレスなので環境に優しい完全リサイクルできます。<br>
<br>
【用途】<br>
●製薬会社、食品会社、半導体関連工場の原材料・包材の保管。<br>
<br>
【仕様】<br>
●均等荷重(kg):500<br>
●外形寸法(mm)長さ×幅×高さ:610×800×233<br>
●有効内寸(mm)長さ×幅×高さ:570×740×1470<br>
●全高(mm):1700<br>
●キャスター径(mm):150<br>
●自在ストッパー付キャスター、自在キャスター各2個<br>
●旋回仕様<br>
<br>
【材質・仕上げ】<br>
●本体:ステンレス（SUS304）<br>
●床板:ステンレス（SUS304）<br>
●車輪:ゴム<br>
<br>
【特記事項】<br>
●沖縄・離島は除く<br>
<br>
【質量】<br>
●38KG</p>",運賃見積り 直送品 マイティー ロールボックスパレット 800x600 SUSφ150ゴム車 MC-1D：プラスワンツールズ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得運賃見積り 直送品 マイティー ロールボックスパレット 800x600 SUSφ150ゴム車 MC-1D,【代表画像 色/サイズ等注意】。運賃見積り 直送品 マイティー ロールボックスパレット 800x600 SUSφ150ゴム車 MC-1D[rn]
