20-23201,http://tshop.r10s.jp/yuzawaya/cabinet/book/393-07-003-09.jpg?fitin=700:700,345.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○DYLON ダイロン マルチブリスター 12 Rose of Paris/ローズパリ[染色 染料],,"60年間、世界中で愛されるダイロンのロングセラー商品。<br>
多彩な色数に加え、混色も可能でオリジナルカラーが作れます。<br>
綿、麻、ナイロン、レーヨンを染めるのに最適で、1缶で約250gの生地が染められます。<br><br>

◆手法：湯染め<br> 　
◆容量：5g<br>　
◆成分：合成染料　直接染料　酸性染料　分散染料<br>
◆英国製<br><br> 　

※色落ちがご心配の方は、「カラーストップ」のご使用をおすすめします。<br>
※色見本は目安です。染める素材によっても多少異なります。",○DYLON ダイロン マルチブリスター 12 Rose of Paris/ローズパリ[染色 染料]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○DYLON ダイロン マルチブリスター 12 Rose of Paris/ローズパリ[染色 染料],　。○DYLON ダイロン マルチブリスター 12 Rose of Paris/ローズパリ[染色 染料][rn]
20-23202,http://tshop.r10s.jp/yuzawaya/cabinet/images/393-25-002.jpg?fitin=700:700,448.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○家庭用染料 DYLON ダイロン プレミアムダイ 03 Tropical Green [染色/中温染め/スニーカー染め/タイダイ染め],,"中温染め（40℃）のお湯で染める染料です。<br><br>

世界トップシェアのダイロンが放つ最高品位の家庭用染料。<br>
色の発色、色落ちの少なさはダイロン染料の中で最も優れています。<br>
中温染めなので布地に負担をかけず、かつ鮮やかに染めることができます。<br>
パッケージデザインを一新し、袋タイプなので使いやすい。 <br>
無害なので下水に流せます。<br><br>

●染まるもの：綿、麻、レーヨン<br>
●染まらないもの：ナイロン、ポリエステル、アクリル<br><br>

※ウール、シルクは薄く染まりますのでお勧め致しません。<br><br>

◆手法：中温染め<br>
◆容量：50ｇ<br>
◆成分：反応染料<br>
◆英国製<br>
◆用意するもの：容器(ステンレス製・またはプラスチック製のもの)、ボウル、泡立て器、ゴム手袋、塩(1袋に対し、250ｇ)<br><br>

※洗濯時の色落ちがご心配の方は、「カラーストップ」のご使用をお勧め致します。<br><br>
※画像とは色合いが異なる場合がございます。",○家庭用染料 DYLON ダイロン プレミアムダイ 03 Tropical Green [染色/中温染め/スニーカー染め/タイダイ染め]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○家庭用染料 DYLON ダイロン プレミアムダイ 03 Tropical Green [染色/中温染め/スニーカー染め/タイダイ染め],　。○家庭用染料 DYLON ダイロン プレミアムダイ 03 Tropical Green [染色/中温染め/スニーカー染め/タイダイ染め][rn]
20-23203,http://tshop.r10s.jp/yuzawaya/cabinet/book/393-07-003-26.jpg?fitin=700:700,345.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○DYLON ダイロン マルチブリスター 53 Desert Dust/デザートダスト[染色 染料],,"60年間、世界中で愛されるダイロンのロングセラー商品。<br>
全32色の多彩な色数に加え、混色も可能でオリジナルカラーが作れます。<br>
綿、麻、ナイロン、レーヨンを染めるのに最適で、1缶で約250gの生地が染められます。<br>
無害なので下水に流せて、容器は分別ゴミとしてリサイクル出来ます。<br><br>

◆手法：湯染め<br>
◆容量：5g<br>
◆成分：合成染料　直接染料　酸性染料　分散染料<br>
◆英国製<br><br>

※ご使用前に取扱説明書をよくお読みください。<br>
※他のものと一緒に洗濯しますと色が移る場合がございます。<br>
※色落ちがご心配の方は、「カラーストップ」のご使用をおすすめします。<br>
※色見本は目安です。染める素材によっても多少異なります。",○DYLON ダイロン マルチブリスター 53 Desert Dust/デザートダスト[染色 染料]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○DYLON ダイロン マルチブリスター 53 Desert Dust/デザートダスト[染色 染料],　。○DYLON ダイロン マルチブリスター 53 Desert Dust/デザートダスト[染色 染料][rn]
20-23204,http://tshop.r10s.jp/yuzawaya/cabinet/images/393-25-011.jpg?fitin=700:700,448.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○家庭用染料 DYLON ダイロン プレミアムダイ 36 Tulip Red[染色/中温染め/スニーカー染め/タイダイ染め],,"中温染め（40℃）のお湯で染める染料です。<br><br>

世界トップシェアのダイロンが放つ最高品位の家庭用染料。<br>
色の発色、色落ちの少なさはダイロン染料の中で最も優れています。<br>
中温染めなので布地に負担をかけず、かつ鮮やかに染めることができます。<br>
パッケージデザインを一新し、袋タイプなので使いやすい。 <br>
無害なので下水に流せます。<br><br>

●染まるもの：綿、麻、レーヨン<br>
●染まらないもの：ナイロン、ポリエステル、アクリル<br><br>

※ウール、シルクは薄く染まりますのでお勧め致しません。<br><br>

◆手法：中温染め<br>
◆容量：50ｇ<br>
◆成分：反応染料<br>
◆英国製<br>
◆用意するもの：容器(ステンレス製・またはプラスチック製のもの)、ボウル、泡立て器、ゴム手袋、塩(1袋に対し、250ｇ)<br><br>

※洗濯時の色落ちがご心配の方は、「カラーストップ」のご使用をお勧め致します。<br><br>
※画像とは色合いが異なる場合がございます。",○家庭用染料 DYLON ダイロン プレミアムダイ 36 Tulip Red[染色/中温染め/スニーカー染め/タイダイ染め]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○家庭用染料 DYLON ダイロン プレミアムダイ 36 Tulip Red[染色/中温染め/スニーカー染め/タイダイ染め],　。○家庭用染料 DYLON ダイロン プレミアムダイ 36 Tulip Red[染色/中温染め/スニーカー染め/タイダイ染め][rn]
20-23205,http://tshop.r10s.jp/yuzawaya/cabinet/images/393-25-007.jpg?fitin=700:700,448.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○家庭用染料 DYLON ダイロン プレミアムダイ 21 Bahama Blue[染色/中温染め/スニーカー染め/タイダイ染め],,"中温染め（40℃）のお湯で染める染料です。<br><br>

世界トップシェアのダイロンが放つ最高品位の家庭用染料。<br>
色の発色、色落ちの少なさはダイロン染料の中で最も優れています。<br>
中温染めなので布地に負担をかけず、かつ鮮やかに染めることができます。<br>
パッケージデザインを一新し、袋タイプなので使いやすい。 <br>
無害なので下水に流せます。<br><br>

●染まるもの：綿、麻、レーヨン<br>
●染まらないもの：ナイロン、ポリエステル、アクリル<br><br>

※ウール、シルクは薄く染まりますのでお勧め致しません。<br><br>

◆手法：中温染め<br>
◆容量：50ｇ<br>
◆成分：反応染料<br>
◆英国製<br>
◆用意するもの：容器(ステンレス製・またはプラスチック製のもの)、ボウル、泡立て器、ゴム手袋、塩(1袋に対し、250ｇ)<br><br>

※洗濯時の色落ちがご心配の方は、「カラーストップ」のご使用をお勧め致します。<br><br>
※画像とは色合いが異なる場合がございます。",○家庭用染料 DYLON ダイロン プレミアムダイ 21 Bahama Blue[染色/中温染め/スニーカー染め/タイダイ染め]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○家庭用染料 DYLON ダイロン プレミアムダイ 21 Bahama Blue[染色/中温染め/スニーカー染め/タイダイ染め],　。○家庭用染料 DYLON ダイロン プレミアムダイ 21 Bahama Blue[染色/中温染め/スニーカー染め/タイダイ染め][rn]
20-23206,http://tshop.r10s.jp/yuzawaya/cabinet/book/393-07-003-23.jpg?fitin=700:700,345.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○DYLON ダイロン マルチブリスター 34 Olive Green/オリーブグリーン[染色 染料],,"60年間、世界中で愛されるダイロンのロングセラー商品。<br>
多彩な色数に加え、混色も可能でオリジナルカラーが作れます。<br>
綿、麻、ナイロン、レーヨンを染めるのに最適で、1缶で約250gの生地が染められます。<br><br><br>

◆手法：湯染め<br> 　
◆容量：5g<br>　
◆成分：合成染料　直接染料　酸性染料　分散染料<br>
◆英国製<br><br> 　

※色落ちがご心配の方は、「カラーストップ」のご使用をおすすめします。<br>
※色見本は目安です。染める素材によっても多少異なります。",○DYLON ダイロン マルチブリスター 34 Olive Green/オリーブグリーン[染色 染料]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○DYLON ダイロン マルチブリスター 34 Olive Green/オリーブグリーン[染色 染料],　。○DYLON ダイロン マルチブリスター 34 Olive Green/オリーブグリーン[染色 染料][rn]
20-23207,http://tshop.r10s.jp/yuzawaya/cabinet/book/393-06-011.jpg?fitin=700:700,96.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○染色用品 ベストフィックスミニ[染色 染料],,"ベストカラー、Rit染料、一般の直接染料用で、綿・麻・レーヨンを染色した場合の「定着剤」です。<br>
洗濯堅牢度の向上（色の定着）に染色が終わってからご使用ください。<br>
※ベストフィックスミニ処理後は、若干色目が変わることがあります。<br>
Tシャツ1枚分（約125gの素材）使い切りサイズ。",○染色用品 ベストフィックスミニ[染色 染料]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○染色用品 ベストフィックスミニ[染色 染料],　。○染色用品 ベストフィックスミニ[染色 染料][rn]
20-23208,http://tshop.r10s.jp/yuzawaya/cabinet/dye/384-19-003.jpg?fitin=700:700,170.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,◎TULIP チューリップ グリッター[3Dペイント 染色 染料],,"アメリカ生まれのチューリップは、ガラス、布、木、金属、ボール紙等あらゆる素材に使用できる3Dペイントです。<br>
立体的な独特のテクスチャーを持ち、筆を使わず直接ノズルから簡単に、そして正確に描く事ができる絵具です。<br>
無色透明のベースにカラーラメ入り（全10色）<br>
布、ガラス、木、金属、ボール紙など、様々なものに描けます。<br>
使い方はとても簡単。筆やパレットがいらず、ボトルからそのまま描けます。<br>
◆完全乾燥：約24時間<br>
使用する1時間程前からボトルを逆さまにしておくと、スムーズに描けます。",◎TULIP チューリップ グリッター[3Dペイント 染色 染料]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形◎TULIP チューリップ グリッター[3Dペイント 染色 染料],　。◎TULIP チューリップ グリッター[3Dペイント 染色 染料][rn]
20-23209,http://tshop.r10s.jp/yuzawaya/cabinet/book/393-07-022.jpg?fitin=700:700,179.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○BEST COLOR ベストカラーミニ/綿・麻・レーヨン用[染色 染料],,"Ｔシャツ1枚分（約125gの素材）を染めるのに計量しなくていい使いきりサイズ！<br>
黒もネイビーブルーも全ての色が1本で染まります。<br>
液体染料なので色の調合も簡単！<br>
飛散や溶け残りによるムラ染めもありません。<br>
洗濯堅牢度の向上（色の定着）にはベストフィックスミニ（直接染料用定着剤）を染色後に使用します。<br>
低温で染めたい場合はベストコールドミニと一緒にお使い下さい。<br>
染まらない生地もあります（特殊加工（撥水・防水・抗菌）された生地、毛糸等）ので、事前にハギレ等でお試し下さい。<br>
※ベストフィックス処理をしてない物は他の白い物と一緒に洗わないで下さい。<br>
※ドライクリーニング表示のあるものは避けてください。<br>
※カラーサンプルは、実際の色とは異なって見える場合があります。",○BEST COLOR ベストカラーミニ/綿・麻・レーヨン用[染色 染料]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○BEST COLOR ベストカラーミニ/綿・麻・レーヨン用[染色 染料],　。○BEST COLOR ベストカラーミニ/綿・麻・レーヨン用[染色 染料][rn]
20-23210,http://tshop.r10s.jp/yuzawaya/cabinet/book/393-07-020-05.jpg?fitin=700:700,310.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○コールダイホット ブロン[染色 染料],,コールダイホット/cold・dyehotは高温（熱湯）で濃く染まるECO染料です。<br>染まる繊維：綿・麻・レーヨン・絹・毛・ナイロン・アセテート・ポリエステル<br>使用染料目安：Tシャツ1枚約180g（1本）、ジーンズ（2～3本）、ハンカチ5枚約70g（染料約1/3）<br>繊維の種類、染色温度、時間により染め上がりの色に差がございます。,○コールダイホット ブロン[染色 染料]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○コールダイホット ブロン[染色 染料],　。○コールダイホット ブロン[染色 染料][rn]
20-23211,http://tshop.r10s.jp/yuzawaya/cabinet/book/393-07-026.jpg?fitin=700:700,207.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○染色用品 ベストコールド[染色 染料],,"ベストカラー（綿・麻・レーヨン用）の低温染色助剤です。<br><br>

★ベストカラーに加えるだけで、水染め染料に早がわりします。<br>
★電熱・ガス等の加熱設備がなくても大丈夫！液体染料ベストカラーにベストコールドを加えるだけで、簡単に、短時間で染色が楽しめます。<br>
★低温染色は、ベストカラーを熱湯で溶かし水を加えた後、ベストコールドを全て混ぜ合わせてから染色をしてください。<br>
★ネイビーブルーのみ通常の高温染色を行ってください。",○染色用品 ベストコールド[染色 染料]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○染色用品 ベストコールド[染色 染料],　。○染色用品 ベストコールド[染色 染料][rn]
20-23212,http://tshop.r10s.jp/yuzawaya/cabinet/book/393-07-019-17.jpg?fitin=700:700,310.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○コールダイオール カーキーブロン[染色 染料],,コールダイオール/cold・dyeallはぬるま湯（低温30度）で染まるECO染料です。<br>染まる繊維：綿・麻・レーヨン・絹・毛・ナイロン<br>使用染料目安：Tシャツ1枚約180g（1本）、ジーンズ（2～3本）、ハンカチ5枚約70g（染料約1/3）<br>ポリエステルは染まりません。<br>繊維の種類、染色温度、時間により染め上がりの色に差がございます。,○コールダイオール カーキーブロン[染色 染料]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○コールダイオール カーキーブロン[染色 染料],　。○コールダイオール カーキーブロン[染色 染料][rn]
