20-23501,http://tshop.r10s.jp/wrapping/cabinet/hobby/4571239804647.jpg?fitin=700:700,823.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-464 ドロップC 立体型（粘土型）,,"レジンクラフトやクレイクラフトに！<br>

貼り合わせて作るドロップ立体型です。レジン等の溶液は注射器で注入でき、つなぎ目のきれいなドロップが出来上がります。 <br>
●全体サイズ：W45xD15xH28mm<br>
●パーツサイズ：丸直径20mm、四角14x20mm<br>
●材質：シリコーンゴム<br>

●対応素材：樹脂粘土・軽量粘土・オーブン粘土・レジン・銀粘土・UVジェル<P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0"" width=""100%""></P>",【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-464 ドロップC 立体型（粘土型）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-464 ドロップC 立体型（粘土型）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-464 ドロップC 立体型（粘土型）[rn]
20-23502,http://tshop.r10s.jp/wrapping/cabinet/003/45136863.jpg?fitin=700:700,129.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】着色剤 タミヤデコレーションシリーズ デコレーションカラー アクリル塗料 D-13 ミルク 76637,,"スイーツデコレーションの色付けに！<br>
スイーツの表現力をアップさせる着色料です♪<br>
鮮やかで美味しそうなスイーツの仕上げには欠かせません！<br>
粘土に混ぜるとより白い粘土になります。微妙な色の調合に最適★<br>
<br>
美味しそうな塗料の名前や、お部屋に飾っても可愛いキュートなボトルデザインも魅力★<br>
<br>
【使い方】<br>
市販の軽量紙粘土や樹脂粘土に混ぜ込んで使ったり、乾燥後に筆塗りをして着色できます。<br>
混ぜ込んだ方が色が均等に混ざって、より綺麗な仕上がりに◎<br>
粘土は乾くと色が濃くなるので、混ぜている時には仕上がりの色のイメージよりも少しうすいぐらいでOK！<br>
<br>
●成分：合成樹脂（アクリル）、顔料、有機溶剤、水<br>
●内容量：10ml<br>
<br>
※本製品は食用ではありません。<br>",【300円OFFクーポン！4月25日まで！】着色剤 タミヤデコレーションシリーズ デコレーションカラー アクリル塗料 D-13 ミルク 76637：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】着色剤 タミヤデコレーションシリーズ デコレーションカラー アクリル塗料 D-13 ミルク 76637,3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】着色剤 タミヤデコレーションシリーズ デコレーションカラー アクリル塗料 D-13 ミルク 76637[rn]
20-23503,http://tshop.r10s.jp/wrapping/cabinet/hobby/4571239804692.jpg?fitin=700:700,823.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-469 ゼリービーンズ立体型 Sサイズ（粘土型）,,"レジンクラフトやクレイクラフトに！<br>
レジンや粘土の型取りに最適なシリコンゴム製のソフトモールドです。<br>
まるで本物のようなジェリービーンズが作れます。<br>
貼り合わせて作る立体型です。<br>
レジン等の溶液は注射器で注入でき、つなぎ目のきれいなジェリービーンズが仕上がります。<br>
樹脂粘土・軽量粘土・オーブン粘土・レジン・銀粘土・UVレジンなどに使えます。 <br>
●全体サイズ：30ｘ25ｘ10mm<br>
●ジェリービーンズサイズ：縦約1.9cm<br>
●材質：シリコーンゴム<br>
※本物のお菓子のように作ることができますので、誤飲にご注意ください。
<P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0"" width=""100%""></P>",【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-469 ゼリービーンズ立体型 Sサイズ（粘土型）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-469 ゼリービーンズ立体型 Sサイズ（粘土型）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-469 ゼリービーンズ立体型 Sサイズ（粘土型）[rn]
20-23504,http://tshop.r10s.jp/wrapping/cabinet/hobby/4571239804654.jpg?fitin=700:700,823.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-465 ゼリービーンズ立体型（粘土型）,,"レジンクラフトやクレイクラフトに！<br>
レジンや粘土の型取りに最適なシリコンゴム製のソフトモールドです。<br>
まるで本物のようなジェリービーンズが作れます。<br>
貼り合わせて作る立体型です。<br>
レジン等の溶液は注射器で注入でき、つなぎ目のきれいなジェリービーンズが仕上がります。<br>
樹脂粘土・軽量粘土・オーブン粘土・レジン・銀粘土・UVレジンなどに使えます。 <br>
●全体サイズ：32ｘ35ｘ13mm<br>
●ジェリービーンズサイズ：縦約2.9cm<br>
●材質：シリコーンゴム<br>
※本物のお菓子のように作ることができますので、誤飲にご注意ください。<P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0"" width=""100%""></P>",【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-465 ゼリービーンズ立体型（粘土型）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-465 ゼリービーンズ立体型（粘土型）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-465 ゼリービーンズ立体型（粘土型）[rn]
20-23505,http://tshop.r10s.jp/wrapping/cabinet/hobby/4571239804050.jpg?fitin=700:700,666.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-405 たい焼きLサイズ（粘土型）,,"レジンクラフトやクレイクラフトに！<br>
たい焼きの抜き型です。貼り合わせると可愛いたい焼きが出来ます！<br>
●全体サイズ：W50xD8xH37mm<br>
●パーツサイズ：約32mm<br>
●材質：シリコーンゴム<br>
●対応素材：シリコーンゴム 樹脂粘土・軽量粘土・オーブン粘土・レジン・銀粘土・発泡ウレタン・UVジェル<P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0"" width=""100%""></P>",【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-405 たい焼きLサイズ（粘土型）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-405 たい焼きLサイズ（粘土型）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-405 たい焼きLサイズ（粘土型）[rn]
20-23506,http://tshop.r10s.jp/wrapping/cabinet/hobby/4571239804371.jpg?fitin=700:700,666.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-437 ドーナツLL 焼きドーナツG（粘土型）,,"レジンクラフトやクレイクラフトに！<br>

LLサイズのドーナツです。トッピングなどをして楽しめます。<br>
●全体サイズ：W40xD10xH40mm<br>
●パーツサイズ：直径約35mm<br>
●材質：シリコーンゴム<br>

●対応素材：樹脂粘土・軽量粘土・オーブン粘土・レジン・銀粘土・発泡ウレタン・UVジェル
<P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0"" width=""100%""></P>",【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-437 ドーナツLL 焼きドーナツG（粘土型）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-437 ドーナツLL 焼きドーナツG（粘土型）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-437 ドーナツLL 焼きドーナツG（粘土型）[rn]
20-23507,http://tshop.r10s.jp/wrapping/cabinet/hobby/4571239804357.jpg?fitin=700:700,666.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-435 ドーナツLLリングE（粘土型）,,"レジンクラフトやクレイクラフトに！<br>

LLサイズのドーナツです。クリームを挟んだり、トッピングなどをして楽しめます。<br>
●全体サイズ：W35xD8xH35mm<br>
●パーツサイズ：直径約34mm<br>
●材質：シリコーンゴム<br>

●対応素材：樹脂粘土・軽量粘土・オーブン粘土・レジン・銀粘土・発泡ウレタン・UVジェル
<P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0"" width=""100%""></P>",【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-435 ドーナツLLリングE（粘土型）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-435 ドーナツLLリングE（粘土型）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-435 ドーナツLLリングE（粘土型）[rn]
20-23508,http://tshop.r10s.jp/wrapping/cabinet/hobby/4571239804340.jpg?fitin=700:700,666.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-434 ドーナツLLリングﾞD（粘土型）,,"レジンクラフトやクレイクラフトに！<br>

LLサイズのドーナツです。クリームを挟んだり、トッピングなどをして楽しめます。<br>
●全体サイズ：W40xD10xH40mm<br>
●パーツサイズ：直径約35mm<br>
●材質：シリコーンゴム<br>

●対応素材：樹脂粘土・軽量粘土・オーブン粘土・レジン・銀粘土・発泡ウレタン・UVジェル<P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0"" width=""100%""></P>",【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-434 ドーナツLLリングﾞD（粘土型）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-434 ドーナツLLリングﾞD（粘土型）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-434 ドーナツLLリングﾞD（粘土型）[rn]
20-23509,http://tshop.r10s.jp/wrapping/cabinet/003/4562349992102.jpg?fitin=700:700,2626.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】デコレジーナ レジンクラフト 2液混合レジン エポキシ樹脂E384（280g）,,"主液と硬化液を混ぜて製作する2液タイプのレジン液です。<br>
加温（70度）することで1時間弱で硬化・取り出しが可能になりました。（常温でも24時間程度で硬化します。）<br>

硬化の際の変色やクラック、収縮が少ないのが特長です。<br>
硬化の際に気泡も抜けるため、透明度の高い美しい作品が作れます！<br>
アクセサリーや小物作りに最適です。<br>
また匂いが少なく、快適に作業をすることができます。<br>
<br>
★2016/08 ボトルリニューアル！★<br>
【主剤】<br>
エポキシ主剤の粘度に見合う様キャップ口が広く中栓付きです。<br>
またスクリューキャップに変更したため利用後もきっちりと締める事ができます。<br>
【硬化剤】<br>
酸素バリア、スクイーズ、2重構造などで酸素を遮断する事で劣化を防ぎ長持ちします。<br>
袋と外側のボトルの2重構造になっているので、袋の中に入っている液体は外ボトルを押して出していただく事によって出て来る構造です。下向けていても出てきません。<br>
また蓋が開いていてもボトルを押さない限り、液体は外に出ません。<br>
<br>
●内容量：280ｇ（主剤200ｇ、硬化剤80ｇ）<br>
●色：透明<br>
      ●成分：変性エポキシ樹脂<br>
      ●作業可能時間：約2時間（室温25度前後）<br>
      ●標準硬化時間：約24時間(100g25度前後）<br>
      （季節や天気、量、作業条件により硬化時間は異なります。）
<br><br>▲レジン液一覧はこちら",【300円OFFクーポン！4月25日まで！】デコレジーナ レジンクラフト 2液混合レジン エポキシ樹脂E384（280g）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】デコレジーナ レジンクラフト 2液混合レジン エポキシ樹脂E384（280g）,3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】デコレジーナ レジンクラフト 2液混合レジン エポキシ樹脂E384（280g）[rn]
20-23510,http://tshop.r10s.jp/wrapping/cabinet/hobby/4965492653461-01.jpg?fitin=700:700,684.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　クラフトレジン拭き取り液CRF-100（100g）,,"ついてしまった硬化前のUVクラフトレジン液を拭き取る洗浄液です！布等に含ませてお使いください。 <br>
注意：硬化後の状態での拭き取りはできません。 <br>
 <br>
●容量：100ｇ <br>
●成分：水・エタノール・トリエタノールアミン等 <br>
●第四類アルコール類　水溶性　危険等級2 <br>
●火気厳禁、エタノール含有 <br>
 <br>
※人体には使用しないでください。 <br>
※拭き取った後は十分に乾燥させてください。 <br>
※アルコールに弱い塗料面、コーティング面には使用しないでください。 <br>
※取り扱い上の注意をよく読み使用してください。 <br>",【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　クラフトレジン拭き取り液CRF-100（100g）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　クラフトレジン拭き取り液CRF-100（100g）,3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　クラフトレジン拭き取り液CRF-100（100g）[rn]
20-23511,http://tshop.r10s.jp/wrapping/cabinet/hobby/4965492653454-01.jpg?fitin=700:700,295.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　クラフトレジン拭き取り液CRF-30（30g）,,"ついてしまった硬化前のUVクラフトレジン液を拭き取る洗浄液です！布等に含ませてお使いください。 <br>
注意：硬化後の状態での拭き取りはできません。 <br>
 <br>
●容量：30ｇ <br>
●成分：水・エタノール・トリエタノールアミン等 <br>
●第四類アルコール類　水溶性　危険等級2 <br>
●火気厳禁、エタノール含有 <br>
 <br>
※人体には使用しないでください。 <br>
※拭き取った後は十分に乾燥させてください。 <br>
※アルコールに弱い塗料面、コーティング面には使用しないでください。 <br>
※取り扱い上の注意をよく読み使用してください。 <br>",【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　クラフトレジン拭き取り液CRF-30（30g）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　クラフトレジン拭き取り液CRF-30（30g）,3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　クラフトレジン拭き取り液CRF-30（30g）[rn]
