21-9901,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,8584.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＯＪ　油圧ナイロンホース　NH52B,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）大阪ジャッキ製作所</b><br><br>【特長】<br>●非常に堅牢なホースで、耐久性に優れています。<br><br>【仕様】<br>●外径(mm):13.0●内径(mm):6.3●ホース材質:ナイロン●付属カップラ:B-6H●長さ:2m●片側カップラ付●最高使用圧力:72MPa<br><br>【質量】　1.3<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2989　ページ≪メーカー在庫品≫■商品コード：trs4574621　●外径(mm):13.0●内径(mm):6.3●ホース材質:ナイロン●付属カップラ:B-6H●長さ:2m●片側カップラ付●最高使用圧力:72MPa,ＯＪ　油圧ナイロンホース　NH52B：工具箱　楽天市場店,ＯＪ　油圧ナイロンホース　NH52B,【業務用】 オレンジブック2017掲載。ＯＪ　油圧ナイロンホース　NH52B[rn]
21-9902,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs40/trs7538677.jpg?fitin=700:700,25436.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＨＩＯＫＩ　メグオームハイテスタ　IR404210,【業務用】 オレンジブック2017掲載,<b>メーカー／日置電機（株）</b><br><br>【特長】<br>●新JIS規格認定品の安全・安心・信頼設計です。●1台で便利な4レンジモデルです。●すっきり見えやすいスケールなので、確実に測定値を読めます。●IR4041-11はテストリードが手元スイッチ付です。<br><br>【用途】<br>●絶縁抵抗測定。●電気工事業務。●ビルメンテナンス・工事設備。●点検・保守業務。●通信設備・計装設備。(新設工事・定期点検)●設計業務。<br><br>【仕様】<br>●定格測定電圧(V/MΩ):125/100、250/100、500/100、1000/2000●最小表示(MΩ):0.1（125/250/500Vレンジ）、2（1000V）●交流電圧(V):600●連続使用時間:20時間●幅×奥行×高さ:152×40×92mm●電源:単3アルカリ乾電池（LR6）×4本（付属）●４レンジ●連続使用20時間●JIS C1302-2002●リードセット(付属)先端長:35mm<br><br>【材質／仕上】<br>●樹脂・プラスチック<br><br>【セット内容／付属品】<br>●テストリード●携帯用ケース●取説●単３形アルカリ乾電池<br><br>【質量】　420G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　1 1252　ページ■商品コード：trs7538677　●定格測定電圧(V/MΩ):125/100、250/100、500/100、1000/2000●最小表示(MΩ):0.1（125/250/500Vレンジ）、2（1000V）●交流電圧(V):600●連続使用時間:20時間●幅×奥行×高さ:152×40×92mm●電源:単3アルカリ乾電池（LR6）×4本（付属）●４レンジ●連続使用20時間●JIS C1302-2002●リードセット(付属)先端長:35mm,ＨＩＯＫＩ　メグオームハイテスタ　IR404210：工具箱　楽天市場店,ＨＩＯＫＩ　メグオームハイテスタ　IR404210,【業務用】 オレンジブック2017掲載。ＨＩＯＫＩ　メグオームハイテスタ　IR404210[rn]
21-9903,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,453.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＢＲＯＷＮ　ビスキャッチビット　インパクト対応タイプ　D14,【業務用】 オレンジブック2017掲載,<b>メーカー／平井工具（株）</b><br><br>【特長】<br>●磁石の効かない奥深い所のビスを落とさず作業ができます。(PAT.)●充電インパクトドライバー14.4Ｖ対応型6.35mm用ビットです。●先端軸径は、φ4.3mmのスリムタイプです。<br><br>【用途】<br>●磁石の効かないビスを落とさず廻せます。<br><br>【仕様】<br>●全長(mm):115●刃先:[[(+)]]No.2●軸長(mm):90●シャンク径：6.35mm<br><br>【質量】　20G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　3 2479　ページ■商品コード：trs3893162　●全長(mm):115●刃先:[[(+)]]No.2●軸長(mm):90●シャンク径：6.35mm,ＢＲＯＷＮ　ビスキャッチビット　インパクト対応タイプ　D14：工具箱　楽天市場店,ＢＲＯＷＮ　ビスキャッチビット　インパクト対応タイプ　D14,【業務用】 オレンジブック2017掲載。ＢＲＯＷＮ　ビスキャッチビット　インパクト対応タイプ　D14[rn]
21-9904,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,17276.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＯＪ　パワージャッキ低身ジャッキ　EL10S3.5,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）大阪ジャッキ製作所</b><br><br>【特長】<br>●低身ジャッキは極小すき間での持ち上げや機械据え付けの微調整用に使用します。●油圧ポンプの選択はジャッキの連結台数と必要油量により選びます。●単動式でスプリングを内蔵しており、1本の高圧ホースで往復します。<br><br>【仕様】<br>●ストローク(mm):35●最低高(mm):86●受圧面積([[平方センチメートル]]):14.52●外径(mm):70●ロッド径(mm):38●揚力(kＮ):100●必要油量([[ミリリットル]]):51●スプリングリターンタイプ●単動式<br><br>【質量】　2.4KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2988　ページ■商品コード：trs4574486　●ストローク(mm):35●最低高(mm):86●受圧面積([[平方センチメートル]]):14.52●外径(mm):70●ロッド径(mm):38●揚力(kＮ):100●必要油量([[ミリリットル]]):51●スプリングリターンタイプ●単動式,ＯＪ　パワージャッキ低身ジャッキ　EL10S3.5：工具箱　楽天市場店,ＯＪ　パワージャッキ低身ジャッキ　EL10S3.5,【業務用】 オレンジブック2017掲載。ＯＪ　パワージャッキ低身ジャッキ　EL10S3.5[rn]
21-9905,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,13565.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＮＫ　ギヤーポンプ　普通単車型　モーター無し　KA06,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）亀嶋鐵工所</b><br><br>【特長】<br>●全型式にギアは当社独自のインボリュート歯型を採用します。●各口径共、軸受には燐青銅含油メタルを採用のため、スムーズな回転、耐久力に優れます。●ポンプ本体のみです。（プーリーはついていません）<br><br>【用途】<br>●潤滑油など、油種の移送。<br><br>【仕様】<br>●吐出量(L/min):28～35●口径:3/4インチ（20A）●最高圧力(MPa):0.3●出力(kW):-●回転数(rpm):400●騒音値(dB):-●常用圧力:0～0.2MPa●使用粘度:50～500mm[[の2乗]]/S●使用温度:60℃以下●使用温度:60℃まで<br><br>【材質／仕上】<br>●鋳鉄<br><br>【質量】　5<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1875　ページ■商品コード：trs1073966　●吐出量(L/min):28～35●口径:3/4インチ（20A）●最高圧力(MPa):0.3●出力(kW):-●回転数(rpm):400●騒音値(dB):-●常用圧力:0～0.2MPa●使用粘度:50～500mm[[の2乗]]/S●使用温度:60℃以下●使用温度:60℃まで,ＮＫ　ギヤーポンプ　普通単車型　モーター無し　KA06：工具箱　楽天市場店,ＮＫ　ギヤーポンプ　普通単車型　モーター無し　KA06,【業務用】 オレンジブック2017掲載。ＮＫ　ギヤーポンプ　普通単車型　モーター無し　KA06[rn]
21-9906,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs22/trs4084179.jpg?fitin=700:700,19076.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＨＩＯＫＩ　メグオームハイテスタ　IR401511,【業務用】 オレンジブック2017掲載,<b>メーカー／日置電機（株）</b><br><br>【特長】<br>●暗い現場で作業効率アップでＬＥＤライト付テストリード(9788-01)が標準付属してます。●1mの落下にも耐える頑丈設計です。(ドロッププルーフ)●危険な電圧の発生を知らせる活線警告赤色LEDを採用しています。<br><br>【用途】<br>●絶縁抵抗測定。●電気工事業務。●ビルメンテナンス・工事設備。●点検・保守業務。●通信設備・計装設備。(新設工事・定期点検)●設計業務。<br><br>【仕様】<br>●定格測定電圧(V/MΩ):1000/2000●最小表示(MΩ):1●交流電圧(V):600●絶縁抵抗測定部定格測定電圧:1000VDC●絶縁抵抗測定部有効最大表示値:2000ＭΩ●交流電圧計:0～600V●幅×奥行×高さ:152×40×92mm●電源:単3アルカリ乾電池(LR6)×4本（付属）●連続使用20時間●JIS C1302-2002●スイッチ付リードセット(9788-01)(付属)先端長:35mm<br><br>【材質／仕上】<br>●樹脂・プラスチック<br><br>【質量】　420G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　1 1251　ページ■商品コード：trs4084179　●定格測定電圧(V/MΩ):1000/2000●最小表示(MΩ):1●交流電圧(V):600●絶縁抵抗測定部定格測定電圧:1000VDC●絶縁抵抗測定部有効最大表示値:2000ＭΩ●交流電圧計:0～600V●幅×奥行×高さ:152×40×92mm●電源:単3アルカリ乾電池(LR6)×4本（付属）●連続使用20時間●JIS C1302-2002●スイッチ付リードセット(9788-01)(付属)先端長:35mm,ＨＩＯＫＩ　メグオームハイテスタ　IR401511：工具箱　楽天市場店,ＨＩＯＫＩ　メグオームハイテスタ　IR401511,【業務用】 オレンジブック2017掲載。ＨＩＯＫＩ　メグオームハイテスタ　IR401511[rn]
21-9907,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,308.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＢＲＯＷＮ　ラバーグリップドライバー　D30306.3100,【業務用】 オレンジブック2017掲載,<b>メーカー／平井工具（株）</b><br><br>【特長】<br>●優れた締付力を生み、強度もあるラバーグリップです。●[[（+）]]No.2×100、[[（-）]]6.3×100の軸部はローレットが付いており早回しや簡単なヤスリにもなります。●強いトルク（JIS規格の30%以上アップ）で確実な締め付けが可能です。<br><br>【仕様】<br>●刃先:[[（-）]]6.3×0.9●軸長(mm):100●全長(mm):210●刃先:マグネット入り●ブラックポイント加工<br><br>【材質／仕上】<br>●特殊鋼<br><br>【質量】　105G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　3 0465　ページ■商品コード：trs1157060　●刃先:[[（-）]]6.3×0.9●軸長(mm):100●全長(mm):210●刃先:マグネット入り●ブラックポイント加工,ＢＲＯＷＮ　ラバーグリップドライバー　D30306.3100：工具箱　楽天市場店,ＢＲＯＷＮ　ラバーグリップドライバー　D30306.3100,【業務用】 オレンジブック2017掲載。ＢＲＯＷＮ　ラバーグリップドライバー　D30306.3100[rn]
21-9908,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs30/trs4574737.jpg?fitin=700:700,42185.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＯＪ　手動油圧ポンプ　TWA1.3,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）大阪ジャッキ製作所</b><br><br>【特長】<br>●ポンプボディーは特殊材の使用で耐久性に優れています。●高低圧二段自動切換吐出形ポンプです。<br><br>【仕様】<br>●吐出圧力(MPa)高圧:72●吐出圧力(MPa)低圧:3●有効油量(L):1.3●吐出口径(Rc):3/8●一操作時の吐出量([[ミリリットル]])低圧:11●一操作時の吐出量([[ミリリットル]])高圧:2●適合パワージャッキ:Sタイプ●単動式<br><br>【質量】　8.5KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2989　ページ■商品コード：trs4574737　●吐出圧力(MPa)高圧:72●吐出圧力(MPa)低圧:3●有効油量(L):1.3●吐出口径(Rc):3/8●一操作時の吐出量([[ミリリットル]])低圧:11●一操作時の吐出量([[ミリリットル]])高圧:2●適合パワージャッキ:Sタイプ●単動式,ＯＪ　手動油圧ポンプ　TWA1.3：工具箱　楽天市場店,ＯＪ　手動油圧ポンプ　TWA1.3,【業務用】 オレンジブック2017掲載。ＯＪ　手動油圧ポンプ　TWA1.3[rn]
21-9909,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs30/trs4575717.jpg?fitin=700:700,97677.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＮＫ　ギヤーポンプ（電動機連結型）　MES10　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）亀嶋鐵工所</b><br><br>【特長】<br>●モーター、エンジンを共通ベースに取り付けた型で、ベースは大小モーター、いずれも取り付けできるスライド式を採用しました。●Vベルト駆動型です。<br><br>【用途】<br>●潤滑油など、油種の移送。<br><br>【仕様】<br>●吐出量(L/min):53～70●口径:1インチ（25A）●最高圧力(MPa):0.5●出力(kW):0.75●回転数(rpm):400●騒音値(dB):-●常用圧力:0～0.3MPa●使用粘度:50～500mm[[の2乗]]/S●使用温度:60℃以下●モーター:三相×200V×4P全閉屋内型付●使用温度:60℃まで<br><br>【材質／仕上】<br>●鋳鉄<br><br><font color=red>【注意】<br>●圧力により所要馬力は異なります。</font><br><br>【質量】　40<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1875　ページ≪メーカー直送品≫■商品コード：trs4575717　●吐出量(L/min):53～70●口径:1インチ（25A）●最高圧力(MPa):0.5●出力(kW):0.75●回転数(rpm):400●騒音値(dB):-●常用圧力:0～0.3MPa●使用粘度:50～500mm[[の2乗]]/S●使用温度:60℃以下●モーター:三相×200V×4P全閉屋内型付●使用温度:60℃まで,ＮＫ　ギヤーポンプ（電動機連結型）　MES10　　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,ＮＫ　ギヤーポンプ（電動機連結型）　MES10　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。ＮＫ　ギヤーポンプ（電動機連結型）　MES10　　【代引き不可・配送時間指定不可】[rn]
21-9910,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs02/trs1125087.jpg?fitin=700:700,7924.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＨＩＯＫＩ　シース形温度プローブ　9472,【業務用】 オレンジブック2017掲載,<b>メーカー／日置電機（株）</b><br><br>【仕様】<br>●プローブ長(mm):2.3×150●使用温度範囲(℃):-100～300<br><br>【原産国】　日本<br><br>【質量】　70G<br><br>【2017　オレンジブック掲載】　1 1296ページ■商品コード：trs1125087　●プローブ長(mm):2.3×150●使用温度範囲(℃):-100～300,ＨＩＯＫＩ　シース形温度プローブ　9472：工具箱　楽天市場店,ＨＩＯＫＩ　シース形温度プローブ　9472,【業務用】 オレンジブック2017掲載。ＨＩＯＫＩ　シース形温度プローブ　9472[rn]
21-9911,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,434.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＢＲＯＷＮ　角軸貫通強力ドライバー　D1168150,【業務用】 オレンジブック2017掲載,<b>メーカー／平井工具（株）</b><br><br>【特長】<br>●尻金をハンマーで叩き、ねじにくいこませ押しつけて強く締めたり緩めたりできます。●角軸のため、モンキー・ペンチではさんでハードに使用できます。<br><br>【仕様】<br>●刃先:[[（-）]]8.0×1.1●軸長(mm):150●全長(mm):265●貫通タイプ●刃先：マグネット入り<br><br>【質量】　181G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　3 0472　ページ■商品コード：trs2217791　●刃先:[[（-）]]8.0×1.1●軸長(mm):150●全長(mm):265●貫通タイプ●刃先：マグネット入り,ＢＲＯＷＮ　角軸貫通強力ドライバー　D1168150：工具箱　楽天市場店,ＢＲＯＷＮ　角軸貫通強力ドライバー　D1168150,【業務用】 オレンジブック2017掲載。ＢＲＯＷＮ　角軸貫通強力ドライバー　D1168150[rn]
