27-86697,http://tshop.r10s.jp/officeedge/cabinet/04083738/04102777/04596307/imgrc0068807029.jpg?fitin=700:700,784.0000,,おもちゃ・ホビー・ゲーム > 趣味・コレクション > 喫煙具（ジッポ・パイプ・灰皿） > 電子タバコ > 電子タバコ本体,B4-03 UD 正規品 【コットンフック】ビルドツール,ステンレス仕様のコットンフック,"UD　正規品　ステンレスコットンフック<br>
<br>
ビルドに役立つコットンフック<br>
<br>
コットンを整えたり<br>
コットンをばらしたり<br>
コイルのビルドに役立つツールです<br>
<br><!-- ここから G-ランキング -->
<div style=""height:425px; width:730px; overflow:hidden; margin:0; padding:0"">
  <img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_grank/signboard_img.png"" width=""730""><br />
        <div style=""border:1px solid #ddd;"">
  
</div></div>
<!-- ここまで G-ランキング -->      
<div style=""margin-top:15px"">
  <img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473112.jpg"" alt=""新着情報"" width=""730"" />
  <!-- ここから G-アライバル -->
  <div style=""height:246px; width:730px; overflow:hidden; margin:00; padding:0"">
    
  </div>
</div>
<!-- ここまで G-アライバル -->

<!-- ここから リア受 -->
<div style=""height:375px; width:730px; overflow:hidden; margin:15px 0 0 0; padding:0"">
<img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_real/signboard_img.png"" width=""730px""><br/>
<div style=""width:730px; height:310px; overflow:hidden;"">

</div>
</div>
<!-- ここまで リア受 -->


<div class=""reviewscroll"">
  <h2><img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473116.jpg"" width=""730"" alt=""このお店のレビュー"" /></h2>
<!-- ここから リアコメ -->        
  
</div>
<!-- ここまで リアコメ -->",B4-03 UD 正規品 【コットンフック】ビルドツール：電子タバコ専門店　オフィスエッジ,B4-03 UD 正規品 【コットンフック】ビルドツール,ステンレス仕様のコットンフック。B4-03 UD 正規品 【コットンフック】ビルドツール[rn]
27-86698,http://tshop.r10s.jp/officeedge/cabinet/04654209/imgrc0069420232.jpg?fitin=700:700,1424.0000,,おもちゃ・ホビー・ゲーム > 趣味・コレクション > 喫煙具（ジッポ・パイプ・灰皿） > 電子タバコ > 電子タバコ本体,A3-03 UD　ハイブリッドクラプトンワイヤー　カンタル線＋SS316L　26g＋32ｇ　15ft,驚きの立ち上がりを実現したＷモード専用,"濃密なフレーバーを味わえますUD クラプトンコイル　<br>
26ゲージにさらに32ゲージで<br>
作成されたＵＤ　クラプトンワイヤー<br>
ss316Lを編込んでいるため驚きの立ち上がりになります。<br>


こちらの商品は十分熟知した上でご使用ください。<br>
セットアップにはΩ数を計測するメーターが必須です。<br>
憶測でのご使用はお控えください。<br><!-- ここから G-ランキング -->
<div style=""height:425px; width:730px; overflow:hidden; margin:0; padding:0"">
  <img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_grank/signboard_img.png"" width=""730""><br />
        <div style=""border:1px solid #ddd;"">
  
</div></div>
<!-- ここまで G-ランキング -->      
<div style=""margin-top:15px"">
  <img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473112.jpg"" alt=""新着情報"" width=""730"" />
  <!-- ここから G-アライバル -->
  <div style=""height:246px; width:730px; overflow:hidden; margin:00; padding:0"">
    
  </div>
</div>
<!-- ここまで G-アライバル -->

<!-- ここから リア受 -->
<div style=""height:375px; width:730px; overflow:hidden; margin:15px 0 0 0; padding:0"">
<img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_real/signboard_img.png"" width=""730px""><br/>
<div style=""width:730px; height:310px; overflow:hidden;"">

</div>
</div>
<!-- ここまで リア受 -->


<div class=""reviewscroll"">
  <h2><img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473116.jpg"" width=""730"" alt=""このお店のレビュー"" /></h2>
<!-- ここから リアコメ -->        
  
</div>
<!-- ここまで リアコメ -->",A3-03 UD　ハイブリッドクラプトンワイヤー　カンタル線＋SS316L　26g＋32ｇ　15ft：電子タバコ専門店　オフィスエッジ,A3-03 UD　ハイブリッドクラプトンワイヤー　カンタル線＋SS316L　26g＋32ｇ　15ft,驚きの立ち上がりを実現したＷモード専用。A3-03 UD　ハイブリッドクラプトンワイヤー　カンタル線＋SS316L　26g＋32ｇ　15ft[rn]
27-86699,http://tshop.r10s.jp/officeedge/cabinet/04083738/04102777/04596307/imgrc0069754617.jpg?fitin=700:700,1104.0000,,おもちゃ・ホビー・ゲーム > 趣味・コレクション > 喫煙具（ジッポ・パイプ・灰皿） > 電子タバコ > 電子タバコ本体,F4-05 ◆Vaporesso Aurora　専用交換用セラミックコイル◆５個セット　オーロラ　電子たばこ,aurora専用　セラミックコイル５個セット,"コイル：1.4ohm CCELLコイル　セラミックコイル<br>
<br>
５個　１パック<br>
<br>
交換する際は<br>
セラミックコイルに十分リキッドを浸透<br>
するまで【約３０分前後】お待ちいただいてから<br>
ご使用ください。<br>
<br>
リキッドの配合比率によって<br>
浸透時間は変わります。<br><!-- ここから G-ランキング -->
<div style=""height:425px; width:730px; overflow:hidden; margin:0; padding:0"">
  <img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_grank/signboard_img.png"" width=""730""><br />
        <div style=""border:1px solid #ddd;"">
  
</div></div>
<!-- ここまで G-ランキング -->      
<div style=""margin-top:15px"">
  <img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473112.jpg"" alt=""新着情報"" width=""730"" />
  <!-- ここから G-アライバル -->
  <div style=""height:246px; width:730px; overflow:hidden; margin:00; padding:0"">
    
  </div>
</div>
<!-- ここまで G-アライバル -->

<!-- ここから リア受 -->
<div style=""height:375px; width:730px; overflow:hidden; margin:15px 0 0 0; padding:0"">
<img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_real/signboard_img.png"" width=""730px""><br/>
<div style=""width:730px; height:310px; overflow:hidden;"">

</div>
</div>
<!-- ここまで リア受 -->


<div class=""reviewscroll"">
  <h2><img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473116.jpg"" width=""730"" alt=""このお店のレビュー"" /></h2>
<!-- ここから リアコメ -->        
  
</div>
<!-- ここまで リアコメ -->",F4-05 ◆Vaporesso Aurora　専用交換用セラミックコイル◆５個セット　オーロラ　電子たばこ：電子タバコ専門店　オフィスエッジ,F4-05 ◆Vaporesso Aurora　専用交換用セラミックコイル◆５個セット　オーロラ　電子たばこ,aurora専用　セラミックコイル５個セット。F4-05 ◆Vaporesso Aurora　専用交換用セラミックコイル◆５個セット　オーロラ　電子たばこ[rn]
27-86700,http://tshop.r10s.jp/officeedge/cabinet/04083738/04102777/04596307/imgrc0068104599.jpg?fitin=700:700,624.0000,,おもちゃ・ホビー・ゲーム > 趣味・コレクション > 喫煙具（ジッポ・パイプ・灰皿） > 電子タバコ > 電子タバコ本体,K6-02 Ultem ウルテム 【スリットバージョン】510　ドリップチップ　電子タバコ用　アトマイザー　vape,ultem素材で超耐久性抜群,"■商品内容<br>
ultemスリット 510 ドリップチップ<br>

メンソール系を好む方や味重視の方に<br>

サイズ<br>
高さ　1.8センチ【接続部含む】<br>
直径　9mm<br>
チャンパーの径　約6ｍｍ<br>
■ご使用方法<br>
お手持ちのアトマイザーに接続してお使いください。<br>
510アトマイザーに対応しております<br>

交換用パッキン等も販売しております。<br><!-- ここから G-ランキング -->
<div style=""height:425px; width:730px; overflow:hidden; margin:0; padding:0"">
  <img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_grank/signboard_img.png"" width=""730""><br />
        <div style=""border:1px solid #ddd;"">
  
</div></div>
<!-- ここまで G-ランキング -->      
<div style=""margin-top:15px"">
  <img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473112.jpg"" alt=""新着情報"" width=""730"" />
  <!-- ここから G-アライバル -->
  <div style=""height:246px; width:730px; overflow:hidden; margin:00; padding:0"">
    
  </div>
</div>
<!-- ここまで G-アライバル -->

<!-- ここから リア受 -->
<div style=""height:375px; width:730px; overflow:hidden; margin:15px 0 0 0; padding:0"">
<img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_real/signboard_img.png"" width=""730px""><br/>
<div style=""width:730px; height:310px; overflow:hidden;"">

</div>
</div>
<!-- ここまで リア受 -->


<div class=""reviewscroll"">
  <h2><img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473116.jpg"" width=""730"" alt=""このお店のレビュー"" /></h2>
<!-- ここから リアコメ -->        
  
</div>
<!-- ここまで リアコメ -->",K6-02 Ultem ウルテム 【スリットバージョン】510　ドリップチップ　電子タバコ用　アトマイザー　vape：電子タバコ専門店　オフィスエッジ,K6-02 Ultem ウルテム 【スリットバージョン】510　ドリップチップ　電子タバコ用　アトマイザー　vape,ultem素材で超耐久性抜群。K6-02 Ultem ウルテム 【スリットバージョン】510　ドリップチップ　電子タバコ用　アトマイザー　vape[rn]
27-86701,http://tshop.r10s.jp/officeedge/cabinet/04083738/04102777/04596307/imgrc0069451221.jpg?fitin=700:700,544.0000,,おもちゃ・ホビー・ゲーム > 趣味・コレクション > 喫煙具（ジッポ・パイプ・灰皿） > 電子タバコ > 電子タバコ本体,K2-01 スパイラルタイプ【2個セット】ドリップチップ　クリアー＆ブラック 510接続タイプ 電子たばこ vape,スピッドバッグ防止のスパイラル構造タイプ。,"スパイラル構造<br>
クリアー＆ブラックセット<br>
<br>
プラスチックタイプ<br><!-- ここから G-ランキング -->
<div style=""height:425px; width:730px; overflow:hidden; margin:0; padding:0"">
  <img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_grank/signboard_img.png"" width=""730""><br />
        <div style=""border:1px solid #ddd;"">
  
</div></div>
<!-- ここまで G-ランキング -->      
<div style=""margin-top:15px"">
  <img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473112.jpg"" alt=""新着情報"" width=""730"" />
  <!-- ここから G-アライバル -->
  <div style=""height:246px; width:730px; overflow:hidden; margin:00; padding:0"">
    
  </div>
</div>
<!-- ここまで G-アライバル -->

<!-- ここから リア受 -->
<div style=""height:375px; width:730px; overflow:hidden; margin:15px 0 0 0; padding:0"">
<img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_real/signboard_img.png"" width=""730px""><br/>
<div style=""width:730px; height:310px; overflow:hidden;"">

</div>
</div>
<!-- ここまで リア受 -->


<div class=""reviewscroll"">
  <h2><img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473116.jpg"" width=""730"" alt=""このお店のレビュー"" /></h2>
<!-- ここから リアコメ -->        
  
</div>
<!-- ここまで リアコメ -->",K2-01 スパイラルタイプ【2個セット】ドリップチップ　クリアー＆ブラック 510接続タイプ 電子たばこ vape：電子タバコ専門店　オフィスエッジ,K2-01 スパイラルタイプ【2個セット】ドリップチップ　クリアー＆ブラック 510接続タイプ 電子たばこ vape,スピッドバッグ防止のスパイラル構造タイプ。。K2-01 スパイラルタイプ【2個セット】ドリップチップ　クリアー＆ブラック 510接続タイプ 電子たばこ vape[rn]
27-86702,http://tshop.r10s.jp/officeedge/cabinet/04083738/04102777/04573271/imgrc0069404374.jpg?fitin=700:700,2784.0000,,おもちゃ・ホビー・ゲーム > 趣味・コレクション > 喫煙具（ジッポ・パイプ・灰皿） > 電子タバコ > 電子タバコ本体,◆話題沸騰中のお手軽VAPE◆Myjet　エクスプレスキット◆ポット 電子タバコ,海外で話題沸騰中の激軽　シンプル　自動vaping,"オフィスエッジオススメ<br>
シンプルなvape kit<br>
<br>
my jet <br>
<br>
持って居ることさえ忘れる驚きの軽さ！<br>
<br>
ポケットにさっと忍ばせて<br>
いつでもスマートvaping <br>
しっかりと味も出るので<br>
お出かけ用にピッタリです<br>
<br>

【商品スペック】<br>
サイズ： 11.5センチx 1.5センチ x 0.7センチ<br>
バッテリー容量：350mAh<br>
出力：20W<br>
容量:1.2ml <br>
<br>
【付属品】<br>
my jet 本体<br>
交換アトマイザーポッド×2<br>
充電ケーブル<br>
<br>

↓交換用コイルはこちらから
<img src=""http://image.rakuten.co.jp/officeedge/cabinet/04083738/04102777/04573264/imgrc0069404556.jpg"" alt="""" width=""250"" height=""250""><!-- ここから G-ランキング -->
<div style=""height:425px; width:730px; overflow:hidden; margin:0; padding:0"">
  <img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_grank/signboard_img.png"" width=""730""><br />
        <div style=""border:1px solid #ddd;"">
  
</div></div>
<!-- ここまで G-ランキング -->      
<div style=""margin-top:15px"">
  <img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473112.jpg"" alt=""新着情報"" width=""730"" />
  <!-- ここから G-アライバル -->
  <div style=""height:246px; width:730px; overflow:hidden; margin:00; padding:0"">
    
  </div>
</div>
<!-- ここまで G-アライバル -->

<!-- ここから リア受 -->
<div style=""height:375px; width:730px; overflow:hidden; margin:15px 0 0 0; padding:0"">
<img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_real/signboard_img.png"" width=""730px""><br/>
<div style=""width:730px; height:310px; overflow:hidden;"">

</div>
</div>
<!-- ここまで リア受 -->


<div class=""reviewscroll"">
  <h2><img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473116.jpg"" width=""730"" alt=""このお店のレビュー"" /></h2>
<!-- ここから リアコメ -->        
  
</div>
<!-- ここまで リアコメ -->",◆話題沸騰中のお手軽VAPE◆Myjet　エクスプレスキット◆ポット 電子タバコ：電子タバコ専門店　オフィスエッジ,◆話題沸騰中のお手軽VAPE◆Myjet　エクスプレスキット◆ポット 電子タバコ,海外で話題沸騰中の激軽　シンプル　自動vaping。◆話題沸騰中のお手軽VAPE◆Myjet　エクスプレスキット◆ポット 電子タバコ[rn]
27-86703,http://tshop.r10s.jp/officeedge/cabinet/04083738/04102777/04596307/imgrc0068560237.jpg?fitin=700:700,1584.0000,,おもちゃ・ホビー・ゲーム > 趣味・コレクション > 喫煙具（ジッポ・パイプ・灰皿） > 電子タバコ > 電子タバコ本体,A2-02 UD 正規品　SS316L ステンレスクラプトンワイヤー　温度管理&Ｗモード　電子タバコ用品　ビルド　コイル,ステンレス仕様のクラプトンワイヤーが登場,"UD　正規品　ステンレスクラプトンワイヤー<br>
<br>
温度管理　ワットモード両用で使用が可能な<br>
クラプトンワイヤーです。<br>
<br>
立ち上がりが早く低Ｗでも運用ができるため<br>
人気の素材となっています。<br>
<br>
こちらの商品は十分熟知した上でご使用ください。<br>
セットアップにはΩ数を計測するメーターが必須です。<br>
憶測でのご使用はお控えください<br><!-- ここから G-ランキング -->
<div style=""height:425px; width:730px; overflow:hidden; margin:0; padding:0"">
  <img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_grank/signboard_img.png"" width=""730""><br />
        <div style=""border:1px solid #ddd;"">
  
</div></div>
<!-- ここまで G-ランキング -->      
<div style=""margin-top:15px"">
  <img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473112.jpg"" alt=""新着情報"" width=""730"" />
  <!-- ここから G-アライバル -->
  <div style=""height:246px; width:730px; overflow:hidden; margin:00; padding:0"">
    
  </div>
</div>
<!-- ここまで G-アライバル -->

<!-- ここから リア受 -->
<div style=""height:375px; width:730px; overflow:hidden; margin:15px 0 0 0; padding:0"">
<img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_real/signboard_img.png"" width=""730px""><br/>
<div style=""width:730px; height:310px; overflow:hidden;"">

</div>
</div>
<!-- ここまで リア受 -->


<div class=""reviewscroll"">
  <h2><img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473116.jpg"" width=""730"" alt=""このお店のレビュー"" /></h2>
<!-- ここから リアコメ -->        
  
</div>
<!-- ここまで リアコメ -->",A2-02 UD 正規品　SS316L ステンレスクラプトンワイヤー　温度管理&amp;Ｗモード　電子タバコ用品　ビルド　コイル：電子タバコ専門店　オフィスエッジ,A2-02 UD 正規品　SS316L ステンレスクラプトンワイヤー　温度管理&amp;Ｗモード　電子タバコ用品　ビルド　コイル,ステンレス仕様のクラプトンワイヤーが登場。A2-02 UD 正規品　SS316L ステンレスクラプトンワイヤー　温度管理&amp;Ｗモード　電子タバコ用品　ビルド　コイル[rn]
27-86704,http://tshop.r10s.jp/officeedge/cabinet/04083738/04102777/04596307/imgrc0068560847.jpg?fitin=700:700,1024.0000,,おもちゃ・ホビー・ゲーム > 趣味・コレクション > 喫煙具（ジッポ・パイプ・灰皿） > 電子タバコ > 電子タバコ本体,UD 正規品 中、上級者専用ワイヤー【チタンワイヤー】各種サイズ titanium wire,素材の特性をよく理解した上でお買い求めください,"中、上級者向け<br>
チタニウムワイヤー<br>
チタンの特性をよくご理解した上で<br>
必ずビルドしてください。<br>
<br>
温度管理専用のため<br>
Ｗモードでは絶対にご使用しないでください<br>
<br>
ビルドの際、バーナーでの焼き入れは<br>
しないでください。<br>
<br>
ホットスポット除去の際は<br>
10Ｗ以下での出力で行い、<br>
青みがかかったくらいの色味で<br>
ビルドしてください。<br>
<br>
高出力では絶対に焼き入れを行わないでください。<br>
憶測でのご使用はお控えください<br><!-- ここから G-ランキング -->
<div style=""height:425px; width:730px; overflow:hidden; margin:0; padding:0"">
  <img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_grank/signboard_img.png"" width=""730""><br />
        <div style=""border:1px solid #ddd;"">
  
</div></div>
<!-- ここまで G-ランキング -->      
<div style=""margin-top:15px"">
  <img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473112.jpg"" alt=""新着情報"" width=""730"" />
  <!-- ここから G-アライバル -->
  <div style=""height:246px; width:730px; overflow:hidden; margin:00; padding:0"">
    
  </div>
</div>
<!-- ここまで G-アライバル -->

<!-- ここから リア受 -->
<div style=""height:375px; width:730px; overflow:hidden; margin:15px 0 0 0; padding:0"">
<img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_real/signboard_img.png"" width=""730px""><br/>
<div style=""width:730px; height:310px; overflow:hidden;"">

</div>
</div>
<!-- ここまで リア受 -->


<div class=""reviewscroll"">
  <h2><img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473116.jpg"" width=""730"" alt=""このお店のレビュー"" /></h2>
<!-- ここから リアコメ -->        
  
</div>
<!-- ここまで リアコメ -->",UD 正規品 中、上級者専用ワイヤー【チタンワイヤー】各種サイズ titanium wire：電子タバコ専門店　オフィスエッジ,UD 正規品 中、上級者専用ワイヤー【チタンワイヤー】各種サイズ titanium wire,素材の特性をよく理解した上でお買い求めください。UD 正規品 中、上級者専用ワイヤー【チタンワイヤー】各種サイズ titanium wire[rn]
27-86705,http://tshop.r10s.jp/officeedge/cabinet/04654209/imgrc0068738217.jpg?fitin=700:700,5984.0000,,おもちゃ・ホビー・ゲーム > 趣味・コレクション > 喫煙具（ジッポ・パイプ・灰皿） > 電子タバコ > 電子タバコ本体,正規品 Tesla 【THREE 150W】抵抗値自動算出　ブラックボディー　5000mAHバッテリー搭載,5000mAH　150Ｗ　モンスターながらコンパクトなＭＯＤ,"5000mAHバッテリー搭載の<br>
モンスターＭＯＤ<br>
max 150ｗの高出力モデルで<br>
抵抗値自動算出<br>
煩わしい設定は一切なし。<br>
<br>
ボタン一つで爆煙＆濃密ミスト<br>
<br>
バッテリー残量がわかるインジケーター付き<br>
<br>
またＵＳＢを介してiphone や　スマートフォンなど<br>
も充電でき、パワーバンクとしても役立ちます。<br>
<br>

■スペック■<br>
サイズ 5.2センチ×2.5センチ×8.1センチ<br>
バッテリー容量: 5000mAh<br>
最大消費電力: 150W<br>
最大出力電圧: 4.2V<br>
最大出力電流: 40A<br>
<br><br>
■ご注意■<br>
工場からの出荷段階でポジティブピンの<br>
調整がされていないロットがございます。<br>
<br>
ポジティブピンが端によっている場合<br>
マイナスドライバーで<br>
右に増し締めしていただくと<br>
真ん中に調整されます。<br>
<br><!-- ここから G-ランキング -->
<div style=""height:425px; width:730px; overflow:hidden; margin:0; padding:0"">
  <img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_grank/signboard_img.png"" width=""730""><br />
        <div style=""border:1px solid #ddd;"">
  
</div></div>
<!-- ここまで G-ランキング -->      
<div style=""margin-top:15px"">
  <img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473112.jpg"" alt=""新着情報"" width=""730"" />
  <!-- ここから G-アライバル -->
  <div style=""height:246px; width:730px; overflow:hidden; margin:00; padding:0"">
    
  </div>
</div>
<!-- ここまで G-アライバル -->

<!-- ここから リア受 -->
<div style=""height:375px; width:730px; overflow:hidden; margin:15px 0 0 0; padding:0"">
<img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_real/signboard_img.png"" width=""730px""><br/>
<div style=""width:730px; height:310px; overflow:hidden;"">

</div>
</div>
<!-- ここまで リア受 -->


<div class=""reviewscroll"">
  <h2><img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473116.jpg"" width=""730"" alt=""このお店のレビュー"" /></h2>
<!-- ここから リアコメ -->        
  
</div>
<!-- ここまで リアコメ -->",正規品 Tesla 【THREE 150W】抵抗値自動算出　ブラックボディー　5000mAHバッテリー搭載：電子タバコ専門店　オフィスエッジ,正規品 Tesla 【THREE 150W】抵抗値自動算出　ブラックボディー　5000mAHバッテリー搭載,5000mAH　150Ｗ　モンスターながらコンパクトなＭＯＤ。正規品 Tesla 【THREE 150W】抵抗値自動算出　ブラックボディー　5000mAHバッテリー搭載[rn]
27-86706,http://tshop.r10s.jp/officeedge/cabinet/04083738/04102777/04596307/imgrc0068998885.jpg?fitin=700:700,784.0000,,おもちゃ・ホビー・ゲーム > 趣味・コレクション > 喫煙具（ジッポ・パイプ・灰皿） > 電子タバコ > 電子タバコ本体,ポリッシュ仕上げ【ツヤあり】レジンドリップチップ　510　ブルー　ブラック　ホワイト　3カラー,ポリッシュで高級感のある光沢,"高さ　1.6センチ【接続部含む】<br>
直径　1.1センチ<br>
■ご使用方法<br>
お手持ちのアトマイザーに接続してお使いください。<br>
510アトマイザーに対応しております<br>

交換用パッキン等も販売しております。<br><!-- ここから G-ランキング -->
<div style=""height:425px; width:730px; overflow:hidden; margin:0; padding:0"">
  <img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_grank/signboard_img.png"" width=""730""><br />
        <div style=""border:1px solid #ddd;"">
  
</div></div>
<!-- ここまで G-ランキング -->      
<div style=""margin-top:15px"">
  <img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473112.jpg"" alt=""新着情報"" width=""730"" />
  <!-- ここから G-アライバル -->
  <div style=""height:246px; width:730px; overflow:hidden; margin:00; padding:0"">
    
  </div>
</div>
<!-- ここまで G-アライバル -->

<!-- ここから リア受 -->
<div style=""height:375px; width:730px; overflow:hidden; margin:15px 0 0 0; padding:0"">
<img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_real/signboard_img.png"" width=""730px""><br/>
<div style=""width:730px; height:310px; overflow:hidden;"">

</div>
</div>
<!-- ここまで リア受 -->


<div class=""reviewscroll"">
  <h2><img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473116.jpg"" width=""730"" alt=""このお店のレビュー"" /></h2>
<!-- ここから リアコメ -->        
  
</div>
<!-- ここまで リアコメ -->",ポリッシュ仕上げ【ツヤあり】レジンドリップチップ　510　ブルー　ブラック　ホワイト　3カラー：電子タバコ専門店　オフィスエッジ,ポリッシュ仕上げ【ツヤあり】レジンドリップチップ　510　ブルー　ブラック　ホワイト　3カラー,ポリッシュで高級感のある光沢。ポリッシュ仕上げ【ツヤあり】レジンドリップチップ　510　ブルー　ブラック　ホワイト　3カラー[rn]
27-86707,http://tshop.r10s.jp/officeedge/cabinet/04083738/04102777/04573271/imgrc0067261721.jpg?fitin=700:700,10240.0000,,おもちゃ・ホビー・ゲーム > 趣味・コレクション > 喫煙具（ジッポ・パイプ・灰皿） > 電子タバコ > 電子タバコ本体,正規品 Aspire プラチナムキット platinum kit CF sub-ohm＋atlantis tank【20P23Apr16】,手軽に爆煙　正規品　プラチナムキット,"aspire 正規品商品仕様<br>
■ 5クリックプロテクション<br>
2秒以内にバッテリーボタンを5回連打することで<br>
内部通電スイッチがON/OFFします。<br>
<br>
■ LEDライトインジケータ<br>
LED青色　3.5&#12316;4.2ｖ<br>
LEDオレンジ色　3.5ｖ未満（要充電）<br>
<br>
■ スペック<br>
電圧　4.2ｖ<br>
対応抵抗値　0.3&#12316;1.0Ωアトマイザー<br>
電流　40A<br>
容量　2000ｍAh<br>
<br>
対応抵抗値：0.3Ω以上です。 <br>
材質：ステンレス及びカーボンファイバー<br> 
外径：22mm <br>
長さ：114.5mm <br>
重さ：102.5g <br>
接続：510<br>
バッテリー容量：2000mAh<br>
最大放電：40A <br>
■内容品<br>
・ Aspire - Atlantisアトマイザー × 1<br>
・Aspire - CF SUB Ωバッテリー（ブラック） × 1<br>
・Aspire - USB充電ケーブル × 1<br>
・Aspire - Atlantis 交換コイルヘッド(BVC)<br>
 5個入り × 1<br>
・Aspire - Atlantis リプレースメントタンク × 1<br>
・Aspire - レザーケース × 1<br>
・ ユーザーマニュアル（英語） × 1<br><!-- ここから G-ランキング -->
<div style=""height:425px; width:730px; overflow:hidden; margin:0; padding:0"">
  <img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_grank/signboard_img.png"" width=""730""><br />
        <div style=""border:1px solid #ddd;"">
  
</div></div>
<!-- ここまで G-ランキング -->      
<div style=""margin-top:15px"">
  <img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473112.jpg"" alt=""新着情報"" width=""730"" />
  <!-- ここから G-アライバル -->
  <div style=""height:246px; width:730px; overflow:hidden; margin:00; padding:0"">
    
  </div>
</div>
<!-- ここまで G-アライバル -->

<!-- ここから リア受 -->
<div style=""height:375px; width:730px; overflow:hidden; margin:15px 0 0 0; padding:0"">
<img src=""http://www.rakuten.ne.jp/gold/officeedge/asp/1_real/signboard_img.png"" width=""730px""><br/>
<div style=""width:730px; height:310px; overflow:hidden;"">

</div>
</div>
<!-- ここまで リア受 -->


<div class=""reviewscroll"">
  <h2><img src=""http://image.rakuten.co.jp/officeedge/cabinet/04278684/imgrc0065473116.jpg"" width=""730"" alt=""このお店のレビュー"" /></h2>
<!-- ここから リアコメ -->        
  
</div>
<!-- ここまで リアコメ -->",正規品 Aspire プラチナムキット platinum kit CF sub-ohm＋atlantis tank【20P23Apr16】：電子タバコ専門店　オフィスエッジ,正規品 Aspire プラチナムキット platinum kit CF sub-ohm＋atlantis tank【20P23Apr16】,手軽に爆煙　正規品　プラチナムキット。正規品 Aspire プラチナムキット platinum kit CF sub-ohm＋atlantis tank【20P23Apr16】[rn]
