27-9401,http://tshop.r10s.jp/egaos/cabinet/trusco-h/2/12/3986161.jpg?fitin=700:700,756.0000,,花・ガーデン・DIY > DIY・工具 > その他,ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ,,■用途<br>●工事写真の分類・整理・保管や官公庁や施工主様への提出用にもご利用頂けます。<br><br>■特長<br>●工事写真の分類整理、提出用に最適です。<br><br>■仕様<br>●色:白<br>●タイプ:25穴<br>●ロッ骨式<br>●サイズ:四ツ切＋方眼入フリー台紙(7枚）<br>●台紙:四ツ切判・方眼入フリー台紙7枚(貼付有効サイズ：タテ314×ヨコ245mm),ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ：GAOS　楽天市場店,ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ,ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ[rn]
27-9402,http://tshop.r10s.jp/egaos/cabinet/trusco-a/1/1/4251997.jpg?fitin=700:700,2073.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＮＳ　無限コーティング　ロングネックＥＭ　ＭＨＲ２３０　Φ２Ｘ６　ＭＨＲ２３０２Ｘ６,,■用途<br>●金型及び部品の切削加工。<br><br>■特長<br>●NSオリジナルの深リブ用エンドミルに無限コーティングを採用しています。<br>●狭くて深い加工に適した首逃げタイプです。<br><br>■仕様<br>●刃径(D):2<br>●有効長(L1)6<br>●刃長(L):3<br>●全長(L):50<br>●シャンク径(d):4<br>●無限コーティング<br>●ネジレ角30°<br><br>■材質・仕上げ<br>●超微粒子超硬合金,ＮＳ　無限コーティング　ロングネックＥＭ　ＭＨＲ２３０　Φ２Ｘ６　ＭＨＲ２３０２Ｘ６：GAOS　楽天市場店,ＮＳ　無限コーティング　ロングネックＥＭ　ＭＨＲ２３０　Φ２Ｘ６　ＭＨＲ２３０２Ｘ６,ＮＳ　無限コーティング　ロングネックＥＭ　ＭＨＲ２３０　Φ２Ｘ６　ＭＨＲ２３０２Ｘ６[rn]
27-9403,http://tshop.r10s.jp/egaos/cabinet/trusco-a/2/3/6301401.jpg?fitin=700:700,1166.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＯＳＧ　ハイスドリル　ＥＸＧＤＮ０．７,,■用途<br>●被削材:中・高炭素鋼、合金鋼、調質鋼、工具鋼、鋳鉄、ダクタイル鋳鉄、アルミ展伸材、アルミ合金鋳物、マグネシウム合金。<br><br>■特長<br>●スタブとレギュラの中間溝長で、小径でも直径4倍までのノンステップ高速加工を実現します。<br><br>■仕様<br>●刃径(mm):0.7<br>●溝長(mm):8<br>●全長(mm):40<br>●シャンク径(mm):3<br>●表面処理:TiNコーティング<br><br>■材質・仕上げ<br>●コバルト高速度鋼（HSS-Co）,ＯＳＧ　ハイスドリル　ＥＸＧＤＮ０．７：GAOS　楽天市場店,ＯＳＧ　ハイスドリル　ＥＸＧＤＮ０．７,ＯＳＧ　ハイスドリル　ＥＸＧＤＮ０．７[rn]
27-9404,http://tshop.r10s.jp/egaos/cabinet/trusco-e/1/8/3565823.jpg?fitin=700:700,1284.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　エコマスク　１００枚入　ＤＰＭＥＣＬ,,■用途<br>●軽作業の使い捨てに。<br><br>■特長<br>●バクテリア捕集効率95%以上です。<br>●3層構造フィルター採用でホコリをブロックします。<br><br>■仕様<br>●縦(mm):95<br>●横(mm):175<br>●構造:3層<br>●耳掛けタイプ,ＴＲＵＳＣＯ　エコマスク　１００枚入　ＤＰＭＥＣＬ：GAOS　楽天市場店,ＴＲＵＳＣＯ　エコマスク　１００枚入　ＤＰＭＥＣＬ,ＴＲＵＳＣＯ　エコマスク　１００枚入　ＤＰＭＥＣＬ[rn]
27-9405,http://tshop.r10s.jp/egaos/cabinet/trusco-b/10/6/4432436.jpg?fitin=700:700,212.8000,,花・ガーデン・DIY > DIY・工具 > その他,東発　強力ばね（重荷重）　ＴＨ１６Ｘ３０,,■用途<br>●プレス金型<br>●クラッチ・ブレーキ部品<br>●精密機械部品<br>●工作機械部品<br>●免震部品<br><br>■特長<br>●豊富なラインナップで金型部品としてのスプリングの標準化を実現しました。<br>●金型業界はもとより、機械部品として幅広くユーザーにご愛用頂いております。<br><br>■仕様<br>●自由長(mm):30<br>●たわみ(mm):7.2<br>●外径(mm):16<br>●内径(mm):8<br>●防錆処理：電着塗装<br>●使用温度：-30～150度<br><br>■材質・仕上げ<br>●ばね用シリコンクロム鋼<br><br>■注意事項<br>●自由長×２４．０％を超えるたわみでは使用しないでください。,東発　強力ばね（重荷重）　ＴＨ１６Ｘ３０：GAOS　楽天市場店,東発　強力ばね（重荷重）　ＴＨ１６Ｘ３０,東発　強力ばね（重荷重）　ＴＨ１６Ｘ３０[rn]
27-9406,http://tshop.r10s.jp/egaos/cabinet/trusco-b/10/19/4322240.jpg?fitin=700:700,533.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　平行ピン（Ｓ４５Ｃ）　６．０×２０　２０本入　Ｂ６１０６２０,,■用途<br>●穴に差し込んで継手、位置決め、廻り止めなどに使用。<br><br>■特長<br>●断面が円形で側面が円筒になっている頭なしピンです。<br>●ピン径の公差がプラス目のｍ６になっています。<br><br>■仕様<br>●呼径d×L(mm):6.0×20<br><br>■材質・仕上げ<br>●S45C(生）,ＴＲＵＳＣＯ　平行ピン（Ｓ４５Ｃ）　６．０&times;２０　２０本入　Ｂ６１０６２０：GAOS　楽天市場店,ＴＲＵＳＣＯ　平行ピン（Ｓ４５Ｃ）　６．０&times;２０　２０本入　Ｂ６１０６２０,ＴＲＵＳＣＯ　平行ピン（Ｓ４５Ｃ）　６．０&times;２０　２０本入　Ｂ６１０６２０[rn]
27-9407,http://tshop.r10s.jp/egaos/cabinet/trusco-a/1/1/3409821.jpg?fitin=700:700,9729.6000,,花・ガーデン・DIY > DIY・工具 > その他,ユニオンツール　超硬エンドミル　スクエア　φ８．９×刃長１９　ＣＣＥＳ２０８９,,■用途<br>●被削材：炭素鋼、合金鋼、プリハードン鋼、焼入れ鋼(～55HRC)、鋳鉄、銅。<br><br>■特長<br>●炭素鋼から焼き入れ鋼（～55HRC）までの水溶性、油性切削油を用いた加工に最適です。<br><br>■仕様<br>●刃径(mm):8.9<br>●刃長(mm):19<br>●全長(mm):70<br>●シャンク径(mm):10<br>●表面処理：UT COATコーティング<br>●ねじれ角30°<br>●ISO9001認証取得工場製<br>●ISO14001認証取得工場製<br>●フラットランドコーナタイプ<br>●2枚刃スクエアエンドミルC-CES<br><br>■材質・仕上げ<br>●超硬微粒子合金（スーパーMG）<br><br>■注意事項<br>●シャンクテーパー角は目安です。<br>●ワークとの干渉が必要な場合は必ず実測して確認してください。,ユニオンツール　超硬エンドミル　スクエア　φ８．９&times;刃長１９　ＣＣＥＳ２０８９：GAOS　楽天市場店,ユニオンツール　超硬エンドミル　スクエア　φ８．９&times;刃長１９　ＣＣＥＳ２０８９,ユニオンツール　超硬エンドミル　スクエア　φ８．９&times;刃長１９　ＣＣＥＳ２０８９[rn]
27-9408,http://tshop.r10s.jp/egaos/cabinet/trusco-b/3/4083440.jpg?fitin=700:700,777.6000,,花・ガーデン・DIY > DIY・工具 > その他,シンワ　自由スコヤ２５０ｍｍ　６２５９６,,■用途<br>●ケガキ、角度写しに。<br>●ありほぞの工作。<br><br>■特長<br>●角度を任意に調節できます。<br>●止めねじ付なので、設定した角度で固定することができます。<br><br>■仕様<br>●幅(mm):19<br>●厚み(mm):5.5<br>●全長(mm):250<br>●呼び寸法(mm):250<br>●２５０(長さ)×１９(巾)×５．５ｍｍ(厚さ)。<br>●目盛なし<br><br>■材質・仕上げ<br>●本体：ステンレス（SUS420J2）<br>●ねじ：真鍮<br><br>■注意事項<br>●用途以外には使用しないで下さい。,シンワ　自由スコヤ２５０ｍｍ　６２５９６：GAOS　楽天市場店,シンワ　自由スコヤ２５０ｍｍ　６２５９６,シンワ　自由スコヤ２５０ｍｍ　６２５９６[rn]
27-9409,http://tshop.r10s.jp/egaos/cabinet/trusco-d/8/13/4364139.jpg?fitin=700:700,1317.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　超硬バー　砲弾型　Φ３Ｘ刃長１２Ｘ軸６　ダブルカット　ＴＢ３Ｃ０３０,,■用途<br>●あらゆる金属、非鉄金属、樹脂などの研削、バリ取り、面取りから溶接のビードの削落しに。<br><br>■特長<br>●理想的な切れ刃形状の設計により優れた切れ味を実現しています。<br><br>■仕様<br>●形状:砲弾（ダブルカット）<br>●刃径(mm):3<br>●刃長(mm):12<br>●軸径(mm):6<br>●軸長(mm):38<br>●タイプ:オール超硬<br>●最高使用回転数(rpm):39000<br><br>■注意事項<br>●作業時は必ず安全帽、安全メガネなどの保護具をご着用ください。<br>●最高使用回転数は推奨値です。,ＴＲＵＳＣＯ　超硬バー　砲弾型　Φ３Ｘ刃長１２Ｘ軸６　ダブルカット　ＴＢ３Ｃ０３０：GAOS　楽天市場店,ＴＲＵＳＣＯ　超硬バー　砲弾型　Φ３Ｘ刃長１２Ｘ軸６　ダブルカット　ＴＢ３Ｃ０３０,ＴＲＵＳＣＯ　超硬バー　砲弾型　Φ３Ｘ刃長１２Ｘ軸６　ダブルカット　ＴＢ３Ｃ０３０[rn]
27-9410,http://tshop.r10s.jp/egaos/cabinet/trusco-b/3/1075004.jpg?fitin=700:700,500.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　超硬自動ポンチ用替バネ・替ピン　ＡＰ１５０用　ＡＰ１５０ＢＡＮＥ,,<br><br>■仕様<br>●摘要:AP-150用先端バネ・ガイドピン,ＴＲＵＳＣＯ　超硬自動ポンチ用替バネ・替ピン　ＡＰ１５０用　ＡＰ１５０ＢＡＮＥ：GAOS　楽天市場店,ＴＲＵＳＣＯ　超硬自動ポンチ用替バネ・替ピン　ＡＰ１５０用　ＡＰ１５０ＢＡＮＥ,ＴＲＵＳＣＯ　超硬自動ポンチ用替バネ・替ピン　ＡＰ１５０用　ＡＰ１５０ＢＡＮＥ[rn]
27-9411,http://tshop.r10s.jp/egaos/cabinet/trusco-d/13/21/2487632.jpg?fitin=700:700,15066.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＯＰ　ハンドパンチセット　ＰＵ１０５,,<br><br>■特長<br>●板金・レザーなどの穴あけに使用できます。<br>●返りバリができず、きれいに穴あけができます。<br>●本体はオール鍛造品で熱処理済のため、強靭でゆがみません。<br><br>■仕様<br>●セット内容(点):11<br>●セット内容(mm):ハンドパンチ本体・ポンチ:5.5、6.5、7.5、8.5、10.5　ダイス:5.7、6.7、7.7、8.7、10.7<br>●穴抜能力:鉄板1枚：1.6mm、ステンレス材：約1.0mm<br><br>■材質・仕上げ<br>●特殊合金鋼<br><br>■注意事項<br>●ステンレス板の穴開能力は1.0ミリ厚までです。,ＴＯＰ　ハンドパンチセット　ＰＵ１０５：GAOS　楽天市場店,ＴＯＰ　ハンドパンチセット　ＰＵ１０５,ＴＯＰ　ハンドパンチセット　ＰＵ１０５[rn]
