38-10863,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs45/trs7958331.jpg?fitin=700:700,25217.6000,,花・ガーデン・DIY > DIY・工具 > その他,アスカ　マイクロカットシュレッダー　S57M　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）アスカ</b><br><br>【特長】<br>●マイクロカットでセキュリティ性がアップしました。<br><br>【仕様】<br>●細断最大枚数(枚):10●メディア細断:×●ダストボックス容量(L):18●色:ホワイト＆グレー●幅(mm):395●高さ(mm):555●奥行(mm):240●電源(V):AC100●定格使用時間(分):18●投入口幅(mm):218●カットサイズ(mm):2×12●電源コード長さ(m):1.5●消費電力(W)50Hz:200●消費電力(W)60Hz:200●細断速度(m/min)50Hz:1.7●細断速度(m/min)60Hz:1.9●細断最大枚数(枚)50Hz:10●細断最大枚数(枚)60Hz:1●電源:AC100V●消費電力(50/60Hz）:200W●定格使用時間:18分●投入口幅:218mm●細断速度(50/60Hz):1.7/1.9m/min●カットサイズ:2×12mm●ダストボックス容量:18L<br><br>【材質／仕上】<br>●ABS●スチール<br><br>【質量】　15KG<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　5 2895　ページ≪メーカー直送品≫■商品コード：trs7958331　●細断最大枚数(枚):10●メディア細断:×●ダストボックス容量(L):18●色:ホワイト＆グレー●幅(mm):395●高さ(mm):555●奥行(mm):240●電源(V):AC100●定格使用時間(分):18●投入口幅(mm):218●カットサイズ(mm):2×12●電源コード長さ(m):1.5●消費電力(W)50Hz:200●消費電力(W)60Hz:200●細断速度(m/min)50Hz:1.7●細断速度(m/min)60Hz:1.9●細断最大枚数(枚)50Hz:10●細断最大枚数(枚)60Hz:1●電源:AC100V●消費電力(50/60Hz）:200W●定格使用時間:18分●投入口幅:218mm●細断速度(50/60Hz):1.7/1.9m/min●カットサイズ:2×12mm●ダストボックス容量:18L,アスカ　マイクロカットシュレッダー　S57M　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,アスカ　マイクロカットシュレッダー　S57M　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。アスカ　マイクロカットシュレッダー　S57M　【代引き不可・配送時間指定不可】[rn]
38-10864,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs43/trs7738242.jpg?fitin=700:700,24680.8000,,花・ガーデン・DIY > DIY・工具 > その他,アスカ　マイクロカットシュレッダー　S56MC,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）アスカ</b><br><br>【特長】<br>●マイクロカットのため復元しにくく、ゴミの少量化も可能です。<br><br>【仕様】<br>●細断最大枚数(枚):11●メディア細断:○●幅(mm):370●高さ(mm):525●奥行(mm):280●最大裁断サイズ:A4●裁断最大枚数(枚):10●電源:AC100V●消費電力(50/60Hz):340/400W●定格使用時間:10分●細断速度(50/60Hz):3.3/3.8m/min●カットサイズ:2.0×10mm●ダストボックス容量:A4用紙約650枚、メディア約7枚<br><br>【質量】　12.5KG<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　5 2895　ページ■商品コード：trs7738242　●細断最大枚数(枚):11●メディア細断:○●幅(mm):370●高さ(mm):525●奥行(mm):280●最大裁断サイズ:A4●裁断最大枚数(枚):10●電源:AC100V●消費電力(50/60Hz):340/400W●定格使用時間:10分●細断速度(50/60Hz):3.3/3.8m/min●カットサイズ:2.0×10mm●ダストボックス容量:A4用紙約650枚、メディア約7枚,アスカ　マイクロカットシュレッダー　S56MC：工具箱　楽天市場店,アスカ　マイクロカットシュレッダー　S56MC,【業務用】 オレンジブック2017掲載。アスカ　マイクロカットシュレッダー　S56MC[rn]
38-10865,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs40/trs7550341.jpg?fitin=700:700,58820.8000,,花・ガーデン・DIY > DIY・工具 > その他,シグマー　フェローズシュレッダ９９ＣＩ‐２　99CI2,【業務用】 オレンジブック2017掲載,<b>メーカー／シグマー技研（株）</b><br><br>【特長】<br>●投入口に触れると自動的に止まる安全機構セーフセンスを搭載しています。●規定枚数を超えて投入した場合に紙詰まりを防ぐジャムプルーフシステムを搭載しています。●カード・メディア・ホチキスの針なども細断可能です。<br><br>【仕様】<br>●細断最大枚数(枚):18●メディア細断:○●最大裁断サイズ:A3●裁断最大枚数(枚):18●電源：AC100V●消費電力（50/60Hz)：600W●定格使用時間：30分●投入口幅：230mm（用紙）、124mm（メディア）●細断速度：3.0ｍ/min●カットサイズ：4×38mm(クロスカット）●ダストボックス容量：３４L（用紙）●幅×奥行×高さ：290×440×640mm<br><br>【原産国】　中国<br><br>【質量】　17KG<br><br>【2017　オレンジブック掲載】　5 2896ページ■商品コード：trs7550341　●細断最大枚数(枚):18●メディア細断:○●最大裁断サイズ:A3●裁断最大枚数(枚):18●電源：AC100V●消費電力（50/60Hz)：600W●定格使用時間：30分●投入口幅：230mm（用紙）、124mm（メディア）●細断速度：3.0ｍ/min●カットサイズ：4×38mm(クロスカット）●ダストボックス容量：３４L（用紙）●幅×奥行×高さ：290×440×640mm,シグマー　フェローズシュレッダ９９ＣＩ‐２　99CI2：工具箱　楽天市場店,シグマー　フェローズシュレッダ９９ＣＩ‐２　99CI2,【業務用】 オレンジブック2017掲載。シグマー　フェローズシュレッダ９９ＣＩ‐２　99CI2[rn]
38-10866,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs45/trs7958315.jpg?fitin=700:700,9926.4000,,花・ガーデン・DIY > DIY・工具 > その他,アスカ　クロスカットシュレッダー　S40CB,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）アスカ</b><br><br>【特長】<br>●デスクの下に置けて、手軽に使用できる引き出し式のモデルです。<br><br>【仕様】<br>●細断最大枚数(枚):10●メディア細断:◯●ダストボックス容量(L):15●色:ホワイト＆ダークブルー●幅(mm):210●高さ(mm):400●奥行(mm):365●電源(V):AC100●定格使用時間(分):6●投入口幅(mm):220●カットサイズ(mm):4×40●電源コード長さ(m):1.5●消費電力(W)50Hz:100●消費電力(W)60Hz:100●細断速度(m/min)50Hz:2.3●細断速度(m/min)60Hz:2.3●細断最大枚数(枚)50Hz:10●細断最大枚数(枚)60Hz●電源:AC100V●消費電力(50/60Hz）:100W●定格使用時間:6分●投入口幅:220mm●細断速度(50/60Hz):2.3m/min●カットサイズ:4×40mm●ダストボックス容量:15L<br><br>【材質／仕上】<br>●ABS●スチール<br><br>【質量】　7KG<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　5 2894　ページ■商品コード：trs7958315　●細断最大枚数(枚):10●メディア細断:◯●ダストボックス容量(L):15●色:ホワイト＆ダークブルー●幅(mm):210●高さ(mm):400●奥行(mm):365●電源(V):AC100●定格使用時間(分):6●投入口幅(mm):220●カットサイズ(mm):4×40●電源コード長さ(m):1.5●消費電力(W)50Hz:100●消費電力(W)60Hz:100●細断速度(m/min)50Hz:2.3●細断速度(m/min)60Hz:2.3●細断最大枚数(枚)50Hz:10●細断最大枚数(枚)60Hz●電源:AC100V●消費電力(50/60Hz）:100W●定格使用時間:6分●投入口幅:220mm●細断速度(50/60Hz):2.3m/min●カットサイズ:4×40mm●ダストボックス容量:15L,アスカ　クロスカットシュレッダー　S40CB：工具箱　楽天市場店,アスカ　クロスカットシュレッダー　S40CB,【業務用】 オレンジブック2017掲載。アスカ　クロスカットシュレッダー　S40CB[rn]
38-10867,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs33/trs4741765.jpg?fitin=700:700,119232.0000,,花・ガーデン・DIY > DIY・工具 > その他,スイデン　集塵機（集じん装置）小型集塵機　ＳＤＣ－４００　６０Ｈｚ　SDC4006　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）スイデン</b><br><br>【特長】<br>●ゴミ処理が簡単な紙パックフィルタータイプです。●卓上研磨作業にも使えるコンパクト設計です。●オプションフィルターを使用することで用途が広がります。<br><br>【用途】<br>●歯科技工作業やＦＡラインへの組み込みに。●宝石、貴金属類の仕上げ研磨作業など。<br><br>【仕様】<br>●電源(V):三相200●出力(kW):0.4●集じん容量(L):-●風量([[立米]]/min)(50/60Hz):-/4.5●騒音値(dB(A))(50/60Hz):-/69●本体寸法(mm)幅×奥行×高さ:335×455×355●吸込口径(mm):74●周波数(Hz):60●標準消費電力料金:5.4円/h●フィルター：紙パック●５０Ｈｚ専用機種●ちり落とし方式:手動式●電源コード:1m<br><br>【材質／仕上】<br>●本体：鉄<br><br>【質量】　30KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2279　ページ≪メーカー直送品≫■商品コード：trs4741765　●電源(V):三相200●出力(kW):0.4●集じん容量(L):-●風量([[立米]]/min)(50/60Hz):-/4.5●騒音値(dB(A))(50/60Hz):-/69●本体寸法(mm)幅×奥行×高さ:335×455×355●吸込口径(mm):74●周波数(Hz):60●標準消費電力料金:5.4円/h●フィルター：紙パック●５０Ｈｚ専用機種●ちり落とし方式:手動式●電源コード:1m,スイデン　集塵機（集じん装置）小型集塵機　ＳＤＣ&minus;４００　６０Ｈｚ　SDC4006　　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,スイデン　集塵機（集じん装置）小型集塵機　ＳＤＣ&minus;４００　６０Ｈｚ　SDC4006　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。スイデン　集塵機（集じん装置）小型集塵機　ＳＤＣ&minus;４００　６０Ｈｚ　SDC4006　　【代引き不可・配送時間指定不可】[rn]
38-10868,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs09/trs2985624.jpg?fitin=700:700,31799.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ハンディジェット　ステンレス製　ハネ外径２００ｍｍ　HJF200S,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●サビに強いので、造船所・土木・建築現場でも使用可能です。●両端部が空気抵抗を低減するために釣鐘型にしたベルマウス仕様で、低騒音化を実現。●1台で送風・排気のいずれも可能です。<br><br>【用途】<br>●マンホール・トンネルなど、閉所作業での酸欠防止、局所作業の酸欠防止に。●加工作業時に発生する粉じんやガスの排気に、ダクト工事のできない現場での冷気供給。<br><br>【仕様】<br>●電源(V):単相100●騒音値(dB(A))(50/60Hz):71/74●標準消費電力料金(50Hz):3.65円/h●標準消費電力料金(60Hz):5.40円/h●消費電力(W)(50/60Hz):135/200●適合ダクト径(mm):230●ハネ径(mm):200●ファン翼数(枚):6●出力(kW):0.135/0.2●風量([[立米]]/min)(50/60Hz):19/23●電流値(50Hz/60Hz):1.7A/2.1A●電源コード:1.8m（アースクリップ付）●ハネの材質:樹脂●防食塗装仕上げ(モーター表面)●ファン外径(mm):200<br><br><font color=red>【注意】<br>●防爆タイプではありません。●ダクト別売です。</font><br><br>【質量】　7.5KG<br><br>【原産国】　台湾<br><br>【2017　オレンジブック掲載】　5 2310　ページ■商品コード：trs2985624　●電源(V):単相100●騒音値(dB(A))(50/60Hz):71/74●標準消費電力料金(50Hz):3.65円/h●標準消費電力料金(60Hz):5.40円/h●消費電力(W)(50/60Hz):135/200●適合ダクト径(mm):230●ハネ径(mm):200●ファン翼数(枚):6●出力(kW):0.135/0.2●風量([[立米]]/min)(50/60Hz):19/23●電流値(50Hz/60Hz):1.7A/2.1A●電源コード:1.8m（アースクリップ付）●ハネの材質:樹脂●防食塗装仕上げ(モーター表面)●ファン外径(mm):200,ＴＲＵＳＣＯ　ハンディジェット　ステンレス製　ハネ外径２００ｍｍ　HJF200S：工具箱　楽天市場店,ＴＲＵＳＣＯ　ハンディジェット　ステンレス製　ハネ外径２００ｍｍ　HJF200S,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　ハンディジェット　ステンレス製　ハネ外径２００ｍｍ　HJF200S[rn]
38-10869,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,26867.2000,,花・ガーデン・DIY > DIY・工具 > その他,テラル　圧力扇　三相２００Ｖ　ハネ径３０ｃｍ　PF12BT2G,【業務用】 オレンジブック2017掲載,<b>メーカー／テラル（株）</b><br><br>【特長】<br>●独自の3次元の開発とベルマウス構造の改良により、当社従来品よりも平均2dB～5dBの低騒音化を実現しました。<br><br>【仕様】<br>●電源(V):三相200●出力(W):50●風量([[立米]]/min)(50/60Hz):30/34●縦(mm):349●横(mm):378●ハネ径(cm):30●標準消費電力料金:0.68円/h●1速式<br><br>【質量】　5<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2318　ページ≪メーカー在庫品≫■商品コード：trs4623134　●電源(V):三相200●出力(W):50●風量([[立米]]/min)(50/60Hz):30/34●縦(mm):349●横(mm):378●ハネ径(cm):30●標準消費電力料金:0.68円/h●1速式,テラル　圧力扇　三相２００Ｖ　ハネ径３０ｃｍ　PF12BT2G：工具箱　楽天市場店,テラル　圧力扇　三相２００Ｖ　ハネ径３０ｃｍ　PF12BT2G,【業務用】 オレンジブック2017掲載。テラル　圧力扇　三相２００Ｖ　ハネ径３０ｃｍ　PF12BT2G[rn]
38-10870,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs31/trs4620089.jpg?fitin=700:700,141488.8000,,花・ガーデン・DIY > DIY・工具 > その他,小倉クラッチ　　オイルミスト除去装置　０．４ＫＷ　OMS400　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／小倉クラッチ（株）</b><br><br>【特長】<br>●高いミスト捕集率です。●簡単メンテナンス設計です。●小型・計量・単独据付タイプです。<br><br>【用途】<br>●NC旋盤。●汎用旋盤。●マシニングセンター。●歯切盤。●NCフライス盤。<br><br>【仕様】<br>●電源(V):三相200●出力(kW):0.4●風量([[立米]]/min)(50/60Hz):7.1/8.1●本体寸法(mm)幅×奥行×高さ:372×567×577●取付寸法(mm):280×240●吸込口径(mm):125●標準消費電力料金:5.4円/h●水溶性ミスト対応機・油性ミスト対応機●捕集効率:99%(0.3μm以上)●除去方式:遠心分離式・フィルター式併用●50/60Ｈｚ兼用<br><br>【質量】　24<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2297　ページ≪メーカー直送品≫■商品コード：trs4620089　●電源(V):三相200●出力(kW):0.4●風量([[立米]]/min)(50/60Hz):7.1/8.1●本体寸法(mm)幅×奥行×高さ:372×567×577●取付寸法(mm):280×240●吸込口径(mm):125●標準消費電力料金:5.4円/h●水溶性ミスト対応機・油性ミスト対応機●捕集効率:99%(0.3μm以上)●除去方式:遠心分離式・フィルター式併用●50/60Ｈｚ兼用,小倉クラッチ　　オイルミスト除去装置　０．４ＫＷ　OMS400　　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,小倉クラッチ　　オイルミスト除去装置　０．４ＫＷ　OMS400　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。小倉クラッチ　　オイルミスト除去装置　０．４ＫＷ　OMS400　　【代引き不可・配送時間指定不可】[rn]
38-10871,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs37/trs4962761.jpg?fitin=700:700,167720.0000,,花・ガーデン・DIY > DIY・工具 > その他,スイデン　集塵機　低騒音小型集塵機ＳＤＣ－Ｌ４００　１００Ｖ　６０Ｈｚ　SDCL4001V6　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）スイデン</b><br><br>【特長】<br>●卓上研磨作業にも使えるコンパクト設計です。●手動ちりおとし機能が付いてフィルターの目詰まりを防ぎます。●カセットフィルターなので簡単にメンテナンスができます。●着脱可能なダストチャンバーでダスト処理が簡単です。●従来の小型集塵機の低騒音化を実現しました。●電源コード:2m<br><br>【用途】<br>●歯科技工作業やＦＡラインへの組み込みに。●宝石、貴金属類の仕上げ研磨作業など。<br><br>【仕様】<br>●電源(V):単相100●出力(kW):0.4●集じん容量(L):4●風量([[立米]]/min)(50/60Hz):-/6.5●騒音値(dB(A))(50/60Hz):-/64●本体寸法(mm)幅×奥行×高さ:400×590×435●吸込口径(mm):74●周波数(Hz):60●標準消費電力料金:10.8円/h●騒音値(dB):64●ちり落とし方式:手動式●角型フィルター:0.4[[平米]]●電源コード:2m●60Hz専用機種●風量([[立方メートル]]/min):6.5<br><br>【材質／仕上】<br>●本体：鉄●フィルター：ポリエステル<br><br>【質量】　51KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2279　ページ≪メーカー直送品≫■商品コード：trs4962761　●電源(V):単相100●出力(kW):0.4●集じん容量(L):4●風量([[立米]]/min)(50/60Hz):-/6.5●騒音値(dB(A))(50/60Hz):-/64●本体寸法(mm)幅×奥行×高さ:400×590×435●吸込口径(mm):74●周波数(Hz):60●標準消費電力料金:10.8円/h●騒音値(dB):64●ちり落とし方式:手動式●角型フィルター:0.4[[平米]]●電源コード:2m●60Hz専用機種●風量([[立方メートル]]/min):6.5,スイデン　集塵機　低騒音小型集塵機ＳＤＣ&minus;Ｌ４００　１００Ｖ　６０Ｈｚ　SDCL4001V6　　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,スイデン　集塵機　低騒音小型集塵機ＳＤＣ&minus;Ｌ４００　１００Ｖ　６０Ｈｚ　SDCL4001V6　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。スイデン　集塵機　低騒音小型集塵機ＳＤＣ&minus;Ｌ４００　１００Ｖ　６０Ｈｚ　SDCL4001V6　　【代引き不可・配送時間指定不可】[rn]
38-10872,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs32/trs4659333.jpg?fitin=700:700,135944.0000,,花・ガーデン・DIY > DIY・工具 > その他,ムラコシ　集塵機　０．７５ＫＷ　インバーター付き　MY75X　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ムラコシ</b><br><br>【特長】<br>●フィルターが立ち上がる簡易型の集じん機です。●プレートファンでフィルターに粉じんを直接押し込む独自の方式を採用しています。●設置面積が小さい省スペース型の設計です。●下袋・上袋フィルターはワンタッチで取り付け可能です。メンテナンス性に大変優れています。●キャスター付で移動が容易です。<br><br>【用途】<br>●粗じん用。●一般粉じん。<br><br>【仕様】<br>●電源(V):単相100●出力(kW):0.75●集じん容量(L):68●風量([[立米]]/min)(50/60Hz):13●騒音値(dB(A))(50/60Hz):68●本体寸法(mm)幅×奥行×高さ:805×430×2053●吸込口径(mm):98●フィルター:上下各1本●周波数(Hz):50/60●標準消費電力料金:20.25円/h●最大静圧(kPa):3.04●ちり落とし方式:なし●ファン:プレートファン<br><br>【質量】　45<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2287　ページ≪メーカー直送品≫■商品コード：trs4659333　●電源(V):単相100●出力(kW):0.75●集じん容量(L):68●風量([[立米]]/min)(50/60Hz):13●騒音値(dB(A))(50/60Hz):68●本体寸法(mm)幅×奥行×高さ:805×430×2053●吸込口径(mm):98●フィルター:上下各1本●周波数(Hz):50/60●標準消費電力料金:20.25円/h●最大静圧(kPa):3.04●ちり落とし方式:なし●ファン:プレートファン,ムラコシ　集塵機　０．７５ＫＷ　インバーター付き　MY75X　　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,ムラコシ　集塵機　０．７５ＫＷ　インバーター付き　MY75X　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。ムラコシ　集塵機　０．７５ＫＷ　インバーター付き　MY75X　　【代引き不可・配送時間指定不可】[rn]
38-10873,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,50554.4000,,花・ガーデン・DIY > DIY・工具 > その他,テラル　圧力扇（排気形）　PF16BT2F,【業務用】 オレンジブック2017掲載,<b>メーカー／テラル（株）</b><br><br>【特長】<br>●独自の3次元の開発とベルマウス構造の改良により、当社従来品よりも平均2dB～5dBの低騒音化を実現しました。<br><br>【仕様】<br>●電源(V):三相200●出力(W):400●風量([[立米]]/min)(50/60Hz):80/90●縦(mm):485●横(mm):518●ハネ径(cm):40●標準消費電力料金:5.4円/h●1速式<br><br>【質量】　12.3<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2318　ページ≪メーカー在庫品≫■商品コード：trs4623177　●電源(V):三相200●出力(W):400●風量([[立米]]/min)(50/60Hz):80/90●縦(mm):485●横(mm):518●ハネ径(cm):40●標準消費電力料金:5.4円/h●1速式,テラル　圧力扇（排気形）　PF16BT2F：工具箱　楽天市場店,テラル　圧力扇（排気形）　PF16BT2F,【業務用】 オレンジブック2017掲載。テラル　圧力扇（排気形）　PF16BT2F[rn]
