38-18463,http://tshop.r10s.jp/route1/cabinet/2013nb2315000/t010002939489.jpg?fitin=700:700,7743.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,[ HS23]ＲＥＸ　ハイパーソーのこ刃　Ｎｏ．２３　5枚入【レッキス工業（株）】,,"<br><img
src=""http://image.rakuten.co.jp/route1/cabinet/icon/nouki.jpg""width=""470"" height=""85"" border=""0""><br><br><br><br>●山数:8<br>●厚さ×幅×長さ（mm）:1.6×25×290<br>●能力（A）:～150（6B）<br>
<!--<Img Src=""https://image.rakuten.co.jp/route1/cabinet/icon/2015summer.jpg
""><br><br>-->
<img src=""https://image.rakuten.co.jp/route1/cabinet/design/top_banner.jpg"" border=""0"" />

<table cellspacing=""0"" style=""margin-top:20px;"">
	<tr>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho1.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0px 15px;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho2.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho3.jpg"" border=""0"" /></td>
	</tr>
</table>",[ HS23]ＲＥＸ　ハイパーソーのこ刃　Ｎｏ．２３　5枚入【レッキス工業（株）】：機械工具と部品の店　ルートワン,日立　コンプレッサー日立　ベビコンインバータ三菱　インバータインバータ　FRベビコンエアーコンプレッサーピスコ　継手PISCOピスコ継手トラスコ中山オレンジブックミスミハンドパレットモータ三菱日立　モータ　ザ・モートル日立　モートルインバータ[ HS23]ＲＥＸ　ハイパーソーのこ刃　Ｎｏ．２３　5枚入【レッキス工業（株）】,[ HS23]ＲＥＸ　ハイパーソーのこ刃　Ｎｏ．２３　5枚入【レッキス工業（株）】[rn]
38-18464,http://tshop.r10s.jp/route1/cabinet/2013nb2315000/t010002810117.jpg?fitin=700:700,28824.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,[ 2607336108]ボッシュ　バッテリー　３６Ｖリチウムイオン【ボッシュ（株）】,,"<br><img
src=""http://image.rakuten.co.jp/route1/cabinet/icon/nouki.jpg""width=""470"" height=""85"" border=""0""><br><br><br><br>●容量(Ah):2.6<br>●電圧(V):36<br>●消費電力(W):-<br>●種類:電池パック<br>●電源(V):-<br>●バッテリー2個<br>●充電器<br>●サイドハンドル<br>●深さゲージ<br>●ケース<br>
<!--<Img Src=""https://image.rakuten.co.jp/route1/cabinet/icon/2015summer.jpg
""><br><br>-->
<img src=""https://image.rakuten.co.jp/route1/cabinet/design/top_banner.jpg"" border=""0"" />

<table cellspacing=""0"" style=""margin-top:20px;"">
	<tr>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho1.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0px 15px;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho2.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho3.jpg"" border=""0"" /></td>
	</tr>
</table>",[ 2607336108]ボッシュ　バッテリー　３６Ｖリチウムイオン【ボッシュ（株）】：機械工具と部品の店　ルートワン,日立　コンプレッサー日立　ベビコンインバータ三菱　インバータインバータ　FRベビコンエアーコンプレッサーピスコ　継手PISCOピスコ継手トラスコ中山オレンジブックミスミハンドパレットモータ三菱日立　モータ　ザ・モートル日立　モートルインバータ[ 2607336108]ボッシュ　バッテリー　３６Ｖリチウムイオン【ボッシュ（株）】,[ 2607336108]ボッシュ　バッテリー　３６Ｖリチウムイオン【ボッシュ（株）】[rn]
38-18465,http://tshop.r10s.jp/route1/cabinet/2013nb2325000/t010005097106.jpg?fitin=700:700,6942.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,[ TBT3SS09H]ＫＴＣ　９．５ｓｑ．スタッビヘキサゴンビットソケットセット[ ９コ組］【京都機械工具（株）】,,"<br><img
src=""http://image.rakuten.co.jp/route1/cabinet/icon/nouki.jpg""width=""470"" height=""85"" border=""0""><br><br><br><br>●汎用工具<br>●差込角(mm):9.5<br>●タイプ:スタッビ<br>●セット内容(点):9<br>●セット内容:3、4、5、6、7、8、9、10、12<br>●ソケットホルダ<br>
<!--<Img Src=""https://image.rakuten.co.jp/route1/cabinet/icon/2015summer.jpg
""><br><br>-->
<img src=""https://image.rakuten.co.jp/route1/cabinet/design/top_banner.jpg"" border=""0"" />

<table cellspacing=""0"" style=""margin-top:20px;"">
	<tr>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho1.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0px 15px;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho2.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho3.jpg"" border=""0"" /></td>
	</tr>
</table>",[ TBT3SS09H]ＫＴＣ　９．５ｓｑ．スタッビヘキサゴンビットソケットセット[ ９コ組］【京都機械工具（株）】：機械工具と部品の店　ルートワン,日立　コンプレッサー日立　ベビコンインバータ三菱　インバータインバータ　FRベビコンエアーコンプレッサーピスコ　継手PISCOピスコ継手トラスコ中山オレンジブックミスミハンドパレットモータ三菱日立　モータ　ザ・モートル日立　モートルインバータ[ TBT3SS09H]ＫＴＣ　９．５ｓｑ．スタッビヘキサゴンビットソケットセット[ ９コ組］【京都機械工具（株）】,[ TBT3SS09H]ＫＴＣ　９．５ｓｑ．スタッビヘキサゴンビットソケットセット[ ９コ組］【京都機械工具（株）】[rn]
38-18466,http://tshop.r10s.jp/route1/cabinet/2013nb2325000/t010004392879.jpg?fitin=700:700,6672.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,[ 652]ボッシュ　ハンマーチャック【ボッシュ（株）】,,"<br><img
src=""http://image.rakuten.co.jp/route1/cabinet/icon/nouki.jpg""width=""470"" height=""85"" border=""0""><br><br><br><br>●SDSプラスシャンクハンマードリルを利用したストレートシャンクビットの使用に<br>●チャック能力(mm):2.5～13<br>●全長(mm):127<br>●把握範囲min-max(mm):2.5-13<br>
<!--<Img Src=""https://image.rakuten.co.jp/route1/cabinet/icon/2015summer.jpg
""><br><br>-->
<img src=""https://image.rakuten.co.jp/route1/cabinet/design/top_banner.jpg"" border=""0"" />

<table cellspacing=""0"" style=""margin-top:20px;"">
	<tr>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho1.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0px 15px;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho2.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho3.jpg"" border=""0"" /></td>
	</tr>
</table>",[ 652]ボッシュ　ハンマーチャック【ボッシュ（株）】：機械工具と部品の店　ルートワン,日立　コンプレッサー日立　ベビコンインバータ三菱　インバータインバータ　FRベビコンエアーコンプレッサーピスコ　継手PISCOピスコ継手トラスコ中山オレンジブックミスミハンドパレットモータ三菱日立　モータ　ザ・モートル日立　モートルインバータ[ 652]ボッシュ　ハンマーチャック【ボッシュ（株）】,[ 652]ボッシュ　ハンマーチャック【ボッシュ（株）】[rn]
38-18467,http://tshop.r10s.jp/route1/cabinet/2013nb2325000/t010005079992.jpg?fitin=700:700,1741.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,[ 21025]コンパクトツール　ウールテーパーバフ　黒　１０Ｘ１５０Ｘ３０【コンパクト・ツール（株）】,,"<br><img
src=""http://image.rakuten.co.jp/route1/cabinet/icon/nouki.jpg""width=""470"" height=""85"" border=""0""><br><br><br><br>●寸法(mm):10×150×30<br>
<!--<Img Src=""https://image.rakuten.co.jp/route1/cabinet/icon/2015summer.jpg
""><br><br>-->
<img src=""https://image.rakuten.co.jp/route1/cabinet/design/top_banner.jpg"" border=""0"" />

<table cellspacing=""0"" style=""margin-top:20px;"">
	<tr>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho1.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0px 15px;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho2.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho3.jpg"" border=""0"" /></td>
	</tr>
</table>",[ 21025]コンパクトツール　ウールテーパーバフ　黒　１０Ｘ１５０Ｘ３０【コンパクト・ツール（株）】：機械工具と部品の店　ルートワン,日立　コンプレッサー日立　ベビコンインバータ三菱　インバータインバータ　FRベビコンエアーコンプレッサーピスコ　継手PISCOピスコ継手トラスコ中山オレンジブックミスミハンドパレットモータ三菱日立　モータ　ザ・モートル日立　モートルインバータ[ 21025]コンパクトツール　ウールテーパーバフ　黒　１０Ｘ１５０Ｘ３０【コンパクト・ツール（株）】,[ 21025]コンパクトツール　ウールテーパーバフ　黒　１０Ｘ１５０Ｘ３０【コンパクト・ツール（株）】[rn]
38-18468,http://tshop.r10s.jp/route1/cabinet/2013nb2315000/t010002810261.jpg?fitin=700:700,21612.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,[ CH-462][ リョービ　コンクリートハンマ　ケース付（コードNo.656739A）【送料無料】【[ リョービ（株）】(CH462),,"<TABLE width=""700"" height=""160"" style=""FONT-SIZE: 14px; FONT-FAMILY: Meiryo UI; color: #ff72b4; border: 5px double #ff72b4; background-color: #ffffff"">
        
          <tr>
            <td>
<TD><IMG SRC=""http://image.rakuten.co.jp/route1/cabinet/icon/aquabotan1.gif""  width=""150"" height=""150""></TD>
            <center>
            <br>
<TD><FONT color=""#ff0066""><FONT size=""3""><B>こちらの商品は「メーカー直送品」のため【代金引換（代引き）】及び【エコ配】をご利用いただけません</B></FONT></FONT>

<br><br>
お支払方法選択画面では「代金引換」が選べますが、ご利用できません。<br>
恐れ入りますが「代金引換」以外のお支払方法をお選びください。<br>
※北海道・沖縄・その他離島地域は、別途配送料が必要となる場合がございます。</TD>
</center>
 </td>
            </td>
          </tr>
        
      </TABLE><br><img
src=""http://image.rakuten.co.jp/route1/cabinet/icon/shouhinhassou202.jpg""width=""470"" height=""84"" border=""0""><br><br><br><br>●コンクリートの破粋、はつり作業。<br>●打撃数(min[[の-1乗]]):3000<br>●消費電力(W):1050<br>●定格電流(A):11<br>●電源:AC100V<br>●六角対辺:17mmシャンク<br>●コード長さ:5m<br>●ブルポイント（280mm）<br>●補助ハンドル<br>●キャリングケース<br>
<!--<Img Src=""https://image.rakuten.co.jp/route1/cabinet/icon/2015summer.jpg
""><br><br>-->
<img src=""https://image.rakuten.co.jp/route1/cabinet/design/top_banner.jpg"" border=""0"" />

<table cellspacing=""0"" style=""margin-top:20px;"">
	<tr>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho1.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0px 15px;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho2.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho3.jpg"" border=""0"" /></td>
	</tr>
</table>",[ CH-462][ リョービ　コンクリートハンマ　ケース付（コードNo.656739A）【送料無料】【[ リョービ（株）】(CH462)：機械工具と部品の店　ルートワン,日立　コンプレッサー日立　ベビコンインバータ三菱　インバータインバータ　FRベビコンエアーコンプレッサーピスコ　継手PISCOピスコ継手トラスコ中山オレンジブックミスミハンドパレットモータ三菱日立　モータ　ザ・モートル日立　モートルインバータ[ CH-462][ リョービ　コンクリートハンマ　ケース付（コードNo.656739A）【送料無料】【[ リョービ（株）】(CH462),[ CH-462][ リョービ　コンクリートハンマ　ケース付（コードNo.656739A）【送料無料】【[ リョービ（株）】(CH462)[rn]
38-18469,http://tshop.r10s.jp/route1/cabinet/2013nb2325000/t010004397148.jpg?fitin=700:700,131.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,[ XB209]ＯＬＦＡ　一枚切りカッター　キリヌーク替刃【オルファ（株）】,,"<br><img
src=""http://image.rakuten.co.jp/route1/cabinet/icon/nouki.jpg""width=""470"" height=""85"" border=""0""><br><br><br><br>●「209B 一枚切りカッター キリヌーク」用替刃<br>●適合本体:209B<br>●刃厚(mm):0.3<br>●刃厚:0.3mm<br>
<!--<Img Src=""https://image.rakuten.co.jp/route1/cabinet/icon/2015summer.jpg
""><br><br>-->
<img src=""https://image.rakuten.co.jp/route1/cabinet/design/top_banner.jpg"" border=""0"" />

<table cellspacing=""0"" style=""margin-top:20px;"">
	<tr>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho1.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0px 15px;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho2.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho3.jpg"" border=""0"" /></td>
	</tr>
</table>",[ XB209]ＯＬＦＡ　一枚切りカッター　キリヌーク替刃【オルファ（株）】：機械工具と部品の店　ルートワン,日立　コンプレッサー日立　ベビコンインバータ三菱　インバータインバータ　FRベビコンエアーコンプレッサーピスコ　継手PISCOピスコ継手トラスコ中山オレンジブックミスミハンドパレットモータ三菱日立　モータ　ザ・モートル日立　モートルインバータ[ XB209]ＯＬＦＡ　一枚切りカッター　キリヌーク替刃【オルファ（株）】,[ XB209]ＯＬＦＡ　一枚切りカッター　キリヌーク替刃【オルファ（株）】[rn]
38-18470,http://tshop.r10s.jp/route1/cabinet/2013nb2315000/t010003874985.jpg?fitin=700:700,2073.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,[ 213371]コンパクトツール　ウールテーパーバフ　黒　１５Ｘ１７５Ｘ５０【コンパクト・ツール（株）】,,"<br><img
src=""http://image.rakuten.co.jp/route1/cabinet/icon/nouki.jpg""width=""470"" height=""85"" border=""0""><br><br><br><br>●寸法(mm):15×175×50<br>
<!--<Img Src=""https://image.rakuten.co.jp/route1/cabinet/icon/2015summer.jpg
""><br><br>-->
<img src=""https://image.rakuten.co.jp/route1/cabinet/design/top_banner.jpg"" border=""0"" />

<table cellspacing=""0"" style=""margin-top:20px;"">
	<tr>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho1.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0px 15px;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho2.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho3.jpg"" border=""0"" /></td>
	</tr>
</table>",[ 213371]コンパクトツール　ウールテーパーバフ　黒　１５Ｘ１７５Ｘ５０【コンパクト・ツール（株）】：機械工具と部品の店　ルートワン,日立　コンプレッサー日立　ベビコンインバータ三菱　インバータインバータ　FRベビコンエアーコンプレッサーピスコ　継手PISCOピスコ継手トラスコ中山オレンジブックミスミハンドパレットモータ三菱日立　モータ　ザ・モートル日立　モートルインバータ[ 213371]コンパクトツール　ウールテーパーバフ　黒　１５Ｘ１７５Ｘ５０【コンパクト・ツール（株）】,[ 213371]コンパクトツール　ウールテーパーバフ　黒　１５Ｘ１７５Ｘ５０【コンパクト・ツール（株）】[rn]
38-18471,http://tshop.r10s.jp/route1/cabinet/2013nb2325000/t010005145895.jpg?fitin=700:700,1170.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,[ PD07]エンジニア　電工ペンチ１７５ｍｍ【（株）エンジニア】,,"<br><img
src=""http://image.rakuten.co.jp/route1/cabinet/icon/nouki.jpg""width=""470"" height=""85"" border=""0""><br><br><br><br><br>【特長】
<br>●抜群の切断能力と耐久性を誇る、実力派の電工ペンチです。
<br>●手にフィットするソフトグリップです。
<br>●刃部硬度は、HRC60±4です。

<br><br>【用途】
<br>●電気工事、金工作業や機械部品の組立、修理等の幅広い用途に使用できます。

<br><br>【仕様】
<br>●切断能力(mm)鉄線:φ1.8
<br>●切断能力(mm)銅線:φ3.6
<br>●切断能力(mm)VA線(VVF):-
<br>●落下防止用ひも取付穴:無
<br>●全長(mm):185
<br>●質量(g):275<br>
<!--<Img Src=""https://image.rakuten.co.jp/route1/cabinet/icon/2015summer.jpg
""><br><br>-->
<img src=""https://image.rakuten.co.jp/route1/cabinet/design/top_banner.jpg"" border=""0"" />

<table cellspacing=""0"" style=""margin-top:20px;"">
	<tr>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho1.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0px 15px;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho2.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho3.jpg"" border=""0"" /></td>
	</tr>
</table>",[ PD07]エンジニア　電工ペンチ１７５ｍｍ【（株）エンジニア】：機械工具と部品の店　ルートワン,日立　コンプレッサー日立　ベビコンインバータ三菱　インバータインバータ　FRベビコンエアーコンプレッサーピスコ　継手PISCOピスコ継手トラスコ中山オレンジブックミスミハンドパレットモータ三菱日立　モータ　ザ・モートル日立　モートルインバータ[ PD07]エンジニア　電工ペンチ１７５ｍｍ【（株）エンジニア】,[ PD07]エンジニア　電工ペンチ１７５ｍｍ【（株）エンジニア】[rn]
38-18472,http://tshop.r10s.jp/route1/cabinet/ryobi/ajp2100gqimage.jpg?fitin=700:700,36864.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,[ AJP-2100GQ 50HZ/60HZ][ リョービ　高圧洗浄機　ハイエンドモデル【送料無料】【RYOBI（[ リョービ）】(AJP2100GQ 50HZ/60HZ),,"<IMG
src=""http://image.rakuten.co.jp/route1/cabinet/ryobi/ajp2100gq1.jpg""
width=""602"" height=""767"" border=""0""></P>

<IMG
src=""http://image.rakuten.co.jp/route1/cabinet/ryobi/ajp2100gq2.jpg""
width=""602"" height=""700"" border=""0""></P>

<IMG
src=""http://image.rakuten.co.jp/route1/cabinet/ryobi/ajp2100gq3.jpg""
width=""602"" height=""700"" border=""0""></P>

<IMG
src=""http://image.rakuten.co.jp/route1/cabinet/ryobi/ajp2100gq4.jpg""
width=""604"" height=""240"" border=""0""></P>

<TABLE width=""720"" height=""160"" style=""FONT-SIZE: 14px; FONT-FAMILY: Meiryo UI; color: #ff72b4; border: 5px double #ff72b4; background-color: #ffffff"">
        
          <tr>
            <td>
<TD><IMG SRC=""http://image.rakuten.co.jp/route1/cabinet/icon/aquabotan1.gif""  width=""150"" height=""150""></TD>
            <center>
            <br>
<TD><FONT color=""#ff0066""><FONT size=""3""><B>こちらの商品は「メーカー直送品」のため【代金引換（代引き）】及び【エコ配】をご利用いただけません</B></FONT></FONT>

<br><br>
お支払方法選択画面では「代金引換」が選べますが、ご利用できません。<br>
恐れ入りますが「代金引換」以外のお支払方法をお選びください。<br>
※北海道・沖縄・その他離島地域は、別途配送料が必要となる場合がございます。</TD>
</center>
 </td>
            </td>
          </tr>
        
      </TABLE><br><img
src=""http://image.rakuten.co.jp/route1/cabinet/icon/shouhinhassou202.jpg""width=""470"" height=""84"" border=""0""><br><br><br>


【特長】<br>
●『静音』・・・体感音50％カット<br>
●『耐久性3倍』・・・プロ機並みの耐久時間を実現<br>
●『15mのソフトタイプ高圧ホース』・・・作業時の取り回しが楽な高圧ホース<br>
●『ホースリール』・・・ハンドルを回すだけできれいに巻き取れるホースリール<br>
●『自吸機能』・・・エア抜きバルブ方式で、簡単確実な自吸機能<br>
●『使いやすいさまざまな機能』<br>
　　ガンやノズルを本体に収納できます<br>
　　長い延長コードもスッキリ収納できる専用ホルダ付<br>
　　移動時に便利なハンドルとゴム車輪付き<br>
　　伸縮式ハンドルで収納時にスペースを取りません<br>
　　ダイヤル式スイッチでON/OFFが簡単に切り替えられます<br><br>

【仕様】<br>
■周　波　数 ：50Hz/60Hz <br>
■最大許容圧力 ：11.0MPa max. <br>
■吐出圧力 ：7.5MPa <br>
■最大吐出水量 ：6.5L/min <br>
■吐出水量 ：6.0L/min <br>
■許容水温 ：40℃以下 <br>
■質　　量 ：17.8kg <br>
■サ イ ズ ：長さ367×幅368×高973（591）mm <br>
 ※（）内の数値はハンドル折りたたみ時の高さです。 <br><br>


【付属品】<br>
・ガン<br>
・バリアブルノズルランス<br>
・ターボノズルランス<br>
・高圧ホース（15ｍ）（本体取付）<br>
・吸水ホース<br>
・ホースバンド<br>
・ノズルクリーナーピン<br>
・ワンタッチジョイント<br>
・吸水コネクタ（本体取付）<br>
・オイル（100ｍｌ）<br>
・オイルノズル<br>
《自吸キット》<br>
・エア抜きホース（3ｍ）<br>
・自吸フィルタ<br>
・自吸ホース（ストレーナ付）<br><br>
<!--<Img Src=""https://image.rakuten.co.jp/route1/cabinet/icon/2015summer.jpg
""><br><br>-->
<img src=""https://image.rakuten.co.jp/route1/cabinet/design/top_banner.jpg"" border=""0"" />

<table cellspacing=""0"" style=""margin-top:20px;"">
	<tr>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho1.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0px 15px;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho2.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho3.jpg"" border=""0"" /></td>
	</tr>
</table>",[ AJP-2100GQ 50HZ/60HZ][ リョービ　高圧洗浄機　ハイエンドモデル【送料無料】【RYOBI（[ リョービ）】(AJP2100GQ 50HZ/60HZ)：機械工具と部品の店　ルートワン,日立　コンプレッサー日立　ベビコンインバータ三菱　インバータインバータ　FRベビコンエアーコンプレッサーピスコ　継手PISCOピスコ継手トラスコ中山オレンジブックミスミハンドパレットモータ三菱日立　モータ　ザ・モートル日立　モートルインバータ[ AJP-2100GQ 50HZ/60HZ][ リョービ　高圧洗浄機　ハイエンドモデル【送料無料】【RYOBI（[ リョービ）】(AJP2100GQ 50HZ/60HZ),[ AJP-2100GQ 50HZ/60HZ][ リョービ　高圧洗浄機　ハイエンドモデル【送料無料】【RYOBI（[ リョービ）】(AJP2100GQ 50HZ/60HZ)[rn]
38-18473,http://tshop.r10s.jp/route1/cabinet/2013nb23210000/t010003823166.jpg?fitin=700:700,264384.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,[ SGI28SE]ＳＵＢＡＲＵ　インバータ発電機【富士重工業（株）】,,"<TABLE width=""720"" height=""160"" style=""FONT-SIZE: 14px; FONT-FAMILY: Meiryo UI; color: #ff72b4; border: 5px double #ff72b4; background-color: #ffffff"">
        
          <tr>
            <td>
<TD><IMG SRC=""http://image.rakuten.co.jp/route1/cabinet/icon/aquabotan1.gif""  width=""150"" height=""150""></TD>
            <center>
            <br>
<TD><FONT color=""#ff0066""><FONT size=""3"">
こちらの商品は、誠に勝手ながら<br>
<FONT size=""4"">銀行振込(前払い)での決済のみ</FONT>とさせていただきます。<br>

ご不便おかけしますが、何卒ご容赦ください。<br>
</FONT></FONT>

</TD>
</center>
 </td>
            </td>
          </tr>
        
      </TABLE><br><img
src=""http://image.rakuten.co.jp/route1/cabinet/icon/nouki.jpg""width=""470"" height=""85"" border=""0""><br><br><br><br>●マイコン制御機器、計測機。<br>●電子機器。<br>●屋外でのコンピューターや高精度電子機器を使用する時に。<br>●夜間作業の照明、あらゆる現場作業の電源として。<br>●タンク容量(L):10.8<br>●全高(mm):583<br>●全長(mm):537<br>●全幅(mm):482<br>●騒音値(dB):84～92<br>●定格交流出力50/60Hz:100V-2.8kVA<br>●定格直流出力:12V-8.3A<br>●連続運転時間(h)(1/4負荷～定格負荷):16.9～6.5<br>●周波数切替スイッチ付<br>●オイル警告装置付<br>●オートパワーセーブ付<br>●リコイルスタータ<br>
<!--<Img Src=""https://image.rakuten.co.jp/route1/cabinet/icon/2015summer.jpg
""><br><br>-->
<img src=""https://image.rakuten.co.jp/route1/cabinet/design/top_banner.jpg"" border=""0"" />

<table cellspacing=""0"" style=""margin-top:20px;"">
	<tr>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho1.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0px 15px;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho2.jpg"" border=""0"" /></td>
		<td style=""margin:0; padding:0;""><img src=""https://image.rakuten.co.jp/route1/cabinet/design/tokucho3.jpg"" border=""0"" /></td>
	</tr>
</table>",[ SGI28SE]ＳＵＢＡＲＵ　インバータ発電機【富士重工業（株）】：機械工具と部品の店　ルートワン,日立　コンプレッサー日立　ベビコンインバータ三菱　インバータインバータ　FRベビコンエアーコンプレッサーピスコ　継手PISCOピスコ継手トラスコ中山オレンジブックミスミハンドパレットモータ三菱日立　モータ　ザ・モートル日立　モートルインバータ[ SGI28SE]ＳＵＢＡＲＵ　インバータ発電機【富士重工業（株）】,[ SGI28SE]ＳＵＢＡＲＵ　インバータ発電機【富士重工業（株）】[rn]
