7-8201,,408.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒積水化学工業/積水【K504X04】(4976568) スーパークラフトテープＮｏ．５０４ＮＳ　６０×５０ 受注単位1,環境安全用品\テープ用品\梱包用テープ,"K504X04<br><p><p align=""center""><font size=""4""><b>↓↓↓↓↓↓商品はこちら↓↓↓↓↓↓</font></b><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●本来の使いやすさに加え、滑りにくい・重ねて貼れる・油性インキで文字が書けるという３つの機能をプラスしました。<br><br><br>●色：ダンボール<br>●幅(mm)：60<br>●長さ(m)：50<br>●厚み(mm)：0.14<br><br>●粘着力：3.3Ｎ/10mm<br>●引張強度：60Ｎ/10mm<br><br>●基材：クラフト紙<br>●粘着剤：ゴム系<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒積水化学工業/積水【K504X04】(4976568) スーパークラフトテープＮｏ．５０４ＮＳ　６０&times;５０ 受注単位1：クローバー資材館,『カード対応OK！』■〒積水化学工業/積水【K504X04】(4976568) スーパークラフトテープＮｏ．５０４ＮＳ　６０&times;５０ 受注単位1,環境安全用品\テープ用品\梱包用テープ。『カード対応OK！』■〒積水化学工業/積水【K504X04】(4976568) スーパークラフトテープＮｏ．５０４ＮＳ　６０&times;５０ 受注単位1[rn]
7-8202,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004179233.jpg?fitin=700:700,5572.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タカギ/タカギ　オ－ロラＮＡＮＯ　３０ｍ【RM330FJ】(3754073) 受注単位1,環境安全用品\ホース・散水用品\ホースリール,"375-4073<br><br><br><br><br><br><br>●適合ホース長さ(m):30<br>●適合ホース(mm)径×外径:9.0×11<br>●使用圧力(MPa):0.7<br>●(mm):184<br>●奥行(mm):383<br>●高さ(mm):341<br>●色:青<br>●色：青<br>●蛇口側ホース:1.5m(パチット蛇口付)<br>●持ち運び用取手付<br>●ノズル:ワンタッチ取り付け<br>●本体:ポリプロピレン（PP）<br>●ホース:塩化ビニール（PVC）<br>●ノズルで水を止めたままの状で放置しないでください。使用後はず蛇口を閉め、製品及びホースの水抜きをしてください。<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ホースには防藻加工を施し、よごれを防止します。<br>●レバー操作が簡単で、片手操作可能なコンパクトノズルタイプです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タカギ/タカギ　オ&minus;ロラＮＡＮＯ　３０ｍ【RM330FJ】(3754073) 受注単位1：クローバー資材館,『カード対応OK！』■〒タカギ/タカギ　オ&minus;ロラＮＡＮＯ　３０ｍ【RM330FJ】(3754073) 受注単位1,環境安全用品\ホース・散水用品\ホースリール。『カード対応OK！』■〒タカギ/タカギ　オ&minus;ロラＮＡＮＯ　３０ｍ【RM330FJ】(3754073) 受注単位1[rn]
7-8203,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005345750.jpg?fitin=700:700,579.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　ニューオリーブテープ　ＮＯ．１４２　７５ｍｍＸ２５Ｍ【142 75X25】(4195931) 受注単位1,環境安全用品\テープ用品\梱包用テープ,"419-5931<br><br><br><br><br><br><br>●色:ダンボール<br>●(mm):75<br>●長さ(m):25<br>●厚み(mm):0.31<br>●手で切断可能<br>●粘着力:10.79N/25mm<br>●引張強度:186.3N/25mm<br>●芯径:3インチ(76mm）<br>●基材:スフ<br>●粘着剤:ゴム系<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●包装用の定番布テープです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　ニューオリーブテープ　ＮＯ．１４２　７５ｍｍＸ２５Ｍ【142 75X25】(4195931) 受注単位1：クローバー資材館,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　ニューオリーブテープ　ＮＯ．１４２　７５ｍｍＸ２５Ｍ【142 75X25】(4195931) 受注単位1,環境安全用品\テープ用品\梱包用テープ。『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　ニューオリーブテープ　ＮＯ．１４２　７５ｍｍＸ２５Ｍ【142 75X25】(4195931) 受注単位1[rn]
7-8204,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005167521.jpg?fitin=700:700,6512.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ステンレスホースリール　２１ｍ防藻ホース、レバーノズル付【SSD-20】(3990133) 受注単位1,環境安全用品\ホース・散水用品\ホースリール,"399-0133<br><br><br><br><br><br><br>●適合ホース長さ(m):21<br>●適合ホース(mm)径×外径:12×17<br>●使用圧力(MPa):0.3〜0.5<br>●(mm):349.5<br>●奥行(mm):408<br>●高さ(mm):357.5<br>●適合蛇口外径:15mm<br>●質量（kg）:5.1<br>●フレーム・ドラム:ステンレス（SUS430）<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ホースの巻き取りが楽な大型ハンドルです。<br>●耐寒・耐圧に優れた網入防藻ホース付です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ステンレスホースリール　２１ｍ防藻ホース、レバーノズル付【SSD-20】(3990133) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ステンレスホースリール　２１ｍ防藻ホース、レバーノズル付【SSD-20】(3990133) 受注単位1,環境安全用品\ホース・散水用品\ホースリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ステンレスホースリール　２１ｍ防藻ホース、レバーノズル付【SSD-20】(3990133) 受注単位1[rn]
7-8205,http://tshop.r10s.jp/clover9608/cabinet/pb2/t010002780846.jpg?fitin=700:700,7156.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホースリール　ホースガイド付　３０ｍ【THR-30G】(2760312) 受注単位1,(2760312),"276-0312<br><br><br><br><br><br><br>●適合ホース長さ(m):30<br>●適合ホース(mm)径×外径:12×16.5<br>●使用圧力(MPa):0.784<br>●(mm):380<br>●奥行(mm):368<br>●高さ(mm):399<br>●蛇口側ホース長さ:1.5m（パチット蛇口付）<br>●適合蛇口外径:14〜18mm<br>●フレーム:ポリプロピレン樹脂（PP）<br>●ドラム:ポリプロピレン樹脂（PP）<br>●ホース:塩化ビニール樹脂（PVC）（耐圧糸、径12mm）<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●「ホースガイド」により、きれいに巻き取ることができます。<br>●ホース表面を特殊加工することにより、貼りつきにくく、巻き取りがしやすくなります。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホースリール　ホースガイド付　３０ｍ【THR-30G】(2760312) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホースリール　ホースガイド付　３０ｍ【THR-30G】(2760312) 受注単位1,(2760312)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホースリール　ホースガイド付　３０ｍ【THR-30G】(2760312) 受注単位1[rn]
7-8206,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005147904.jpg?fitin=700:700,1950.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三洋化成/サンヨー　らくらく散水セット１０ｍ巻【RSS-10QB】(3604683) 受注単位1,環境安全用品\ホース・散水用品\ホースリール,"360-4683<br><br><br><br><br><br><br>●適合ホース(mm)径×外径:7×11<br>●使用圧力(MPa):0.7<br>●10m巻<br>●ポリ塩化ビニール（PVC）<br>●冬季は凍結による破損防止の為、中の水を完に抜いてください。<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ホースに摩擦抵抗低減処理を施し、ホースどうしのベタつきを解消しています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三洋化成/サンヨー　らくらく散水セット１０ｍ巻【RSS-10QB】(3604683) 受注単位1：クローバー資材館,『カード対応OK！』■〒三洋化成/サンヨー　らくらく散水セット１０ｍ巻【RSS-10QB】(3604683) 受注単位1,環境安全用品\ホース・散水用品\ホースリール。『カード対応OK！』■〒三洋化成/サンヨー　らくらく散水セット１０ｍ巻【RSS-10QB】(3604683) 受注単位1[rn]
7-8207,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002903498.jpg?fitin=700:700,11324.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ステンレス（ＳＵＳ３０４）ホースリール　２０ｍ用本体のみ【SSA-0】(1065181) 受注単位1,環境安全用品\ホース・散水用品\ホースリール,"106-5181<br><br><br><br><br><br><br>●巻取り長さ(m):20<br>●適合ホース(mm)径×外径:15×20<br>●(mm):366<br>●奥行(mm):413<br>●高さ(mm):405<br>●蛇口側ホース長さ:1.5m（ホースバンド付）<br>●ホース巻取り用<br>●フレーム・ドラム:ステンレス（SUS304）<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ホース巻き取り時に手を汚さないナラシ巻きホースガイド付です。<br>●巻き取りやすい大型ハンドル、足踏みペダル付です。<br>●シール部は水漏れのないダブルパッキン方式です。<br>●本体に最高級304ステンレスを採用しました。<br>●安定感抜群の大型脚ゴムです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ステンレス（ＳＵＳ３０４）ホースリール　２０ｍ用本体のみ【SSA-0】(1065181) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ステンレス（ＳＵＳ３０４）ホースリール　２０ｍ用本体のみ【SSA-0】(1065181) 受注単位1,環境安全用品\ホース・散水用品\ホースリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ステンレス（ＳＵＳ３０４）ホースリール　２０ｍ用本体のみ【SSA-0】(1065181) 受注単位1[rn]
7-8208,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004197567.jpg?fitin=700:700,13137.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タカギ/タカギ　オーロラＶ　５０ｍ【RS550FJPW】(3754081) 受注単位1,環境安全用品\ホース・散水用品\ホースリール,"375-4081<br><br><br><br><br><br><br>●適合ホース長さ(m):50<br>●適合ホース(mm)径×外径:15×20<br>●使用圧力(MPa):0.7<br>●(mm):372<br>●奥行(mm):420<br>●高さ(mm):395<br>●蛇口側ホース:1.5m<br>●補助ホース長さ:1.5m<br>●フレーム:ABS樹脂<br>●ドラム:ポリプロピレン樹脂（PP）<br>●ホース:塩化ビニール樹脂（PVC）（耐圧糸、径15mm）<br>●ノズルで水を止めたままの状で放置しないでください。使用後はず蛇口を閉め、製品及びホースの水抜きをしてください。<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●すぐに使える50m巻フルセットホースリールです。<br>●ベタ付きにくいすべホース使用です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タカギ/タカギ　オーロラＶ　５０ｍ【RS550FJPW】(3754081) 受注単位1：クローバー資材館,『カード対応OK！』■〒タカギ/タカギ　オーロラＶ　５０ｍ【RS550FJPW】(3754081) 受注単位1,環境安全用品\ホース・散水用品\ホースリール。『カード対応OK！』■〒タカギ/タカギ　オーロラＶ　５０ｍ【RS550FJPW】(3754081) 受注単位1[rn]
7-8209,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005167515.jpg?fitin=700:700,4276.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ステンレスホースリール　２０ｍ用本体【SSD-0】(3704424) 受注単位1,環境安全用品\ホース・散水用品\ホースリール,"370-4424<br><br><br><br><br><br><br>●巻取り長さ(m):20<br>●適合ホース(mm)径×外径:12〜15×17〜20<br>●(mm):349.5<br>●奥行(mm):408<br>●高さ(mm):357.5<br>●適合蛇口外径:15mm<br>●一次側継手:-<br>●二次側継手:-<br>●フレーム・ドラム:ステンレス（SUS430）<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ホースの巻き取りが楽な大型ハンドルです。<br>●耐寒・耐圧に優れた網入防藻ホース付です。<br>●丈夫で美しいステンレスタイプです。<br>●『コロコロガイド』で巻取りがスムーズです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ステンレスホースリール　２０ｍ用本体【SSD-0】(3704424) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ステンレスホースリール　２０ｍ用本体【SSD-0】(3704424) 受注単位1,環境安全用品\ホース・散水用品\ホースリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ステンレスホースリール　２０ｍ用本体【SSD-0】(3704424) 受注単位1[rn]
7-8210,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002894190.jpg?fitin=700:700,1791.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タカギ/タカギ　メタルガンＬ【G133】(3278506) 受注単位1,環境安全用品\ホース・散水用品\ホースリール,"327-8506<br><br><br><br><br><br><br>●適合ホース(mm)径×外径:12〜15×21<br>●高さ(mm):200<br>●水流切り替えレバー付<br>●コネクタ付<br>●亜鉛ダイカスト合金<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ホース内径12～15mm、外径21mmまで可能です。<br>●レバー操作で、キリからストレートまで水の出方が自在に調節できる丈夫なノズルです。<br>●ノズルが360度回転するのでホースがねじれません。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タカギ/タカギ　メタルガンＬ【G133】(3278506) 受注単位1：クローバー資材館,『カード対応OK！』■〒タカギ/タカギ　メタルガンＬ【G133】(3278506) 受注単位1,環境安全用品\ホース・散水用品\ホースリール。『カード対応OK！』■〒タカギ/タカギ　メタルガンＬ【G133】(3278506) 受注単位1[rn]
7-8211,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003636505.jpg?fitin=700:700,891.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　レバーノズル　（ＳＳＡ、ＳＬＡ、ＳＳＤ、ＳＬＤ、ＨＳＡ、ＨＬＡ型用）【LN-1】(3603504) 受注単位1,環境安全用品\ホース・散水用品\ホースリール,"360-3504<br><br><br><br><br><br><br>●適合ホース(mm)径×外径:12〜15×17〜20<br>●高さ(mm):184<br>●フレーム・ドラム:ステンレス（SUS430）<br>●アルミダイキャスト<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　レバーノズル　（ＳＳＡ、ＳＬＡ、ＳＳＤ、ＳＬＤ、ＨＳＡ、ＨＬＡ型用）【LN-1】(3603504) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　レバーノズル　（ＳＳＡ、ＳＬＡ、ＳＳＤ、ＳＬＤ、ＨＳＡ、ＨＬＡ型用）【LN-1】(3603504) 受注単位1,環境安全用品\ホース・散水用品\ホースリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　レバーノズル　（ＳＳＡ、ＳＬＡ、ＳＳＤ、ＳＬＤ、ＨＳＡ、ＨＬＡ型用）【LN-1】(3603504) 受注単位1[rn]
